Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
NTCO3;14/09/2023;15,32;15,47;15,18;15,19;5.206.669,00;339.600
NTCO3;13/09/2023;15,32;15,61;15,07;15,28;127.235.947,00;8.261.900
NTCO3;12/09/2023;15,07;15,33;14,95;15,22;66.443.727,00;4.369.100
NTCO3;11/09/2023;14,80;15,08;14,70;15,03;91.529.482,00;6.117.900
NTCO3;08/09/2023;14,96;15,02;14,71;14,76;69.784.076,00;4.711.300
NTCO3;06/09/2023;15,19;15,37;14,95;14,99;104.303.515,00;6.912.900
NTCO3;05/09/2023;15,21;15,42;14,95;15,26;136.097.425,00;8.956.400
NTCO3;04/09/2023;15,32;15,61;15,19;15,34;45.284.393,00;2.937.500
NTCO3;01/09/2023;15,22;15,57;15,17;15,37;80.840.728,00;5.242.500
NTCO3;31/08/2023;15,43;15,46;15,03;15,18;201.582.222,00;13.281.400
NTCO3;30/08/2023;15,68;15,71;15,33;15,38;71.154.469,00;4.604.100
NTCO3;29/08/2023;15,67;15,80;15,44;15,62;86.320.121,00;5.529.700
NTCO3;28/08/2023;16,01;16,26;15,47;15,62;331.305.690,00;21.088.700
NTCO3;25/08/2023;15,51;15,53;15,15;15,28;138.199.663,00;9.025.200
NTCO3;24/08/2023;15,90;15,96;15,46;15,54;102.955.361,00;6.601.200
NTCO3;23/08/2023;16,00;16,07;15,73;15,82;188.160.224,00;11.853.800
NTCO3;22/08/2023;15,93;16,05;15,71;16,00;204.723.481,00;12.898.000
NTCO3;21/08/2023;16,26;16,30;15,65;15,87;217.473.836,00;13.736.400
NTCO3;18/08/2023;16,00;16,51;15,78;16,24;247.372.666,00;15.328.100
NTCO3;17/08/2023;16,48;16,59;15,89;16,10;424.455.469,00;26.355.900
NTCO3;16/08/2023;18,07;18,18;16,37;16,48;525.003.161,00;30.872.300
NTCO3;15/08/2023;17,55;18,29;17,46;18,09;405.816.413,00;22.736.200
NTCO3;14/08/2023;17,51;17,56;16,93;17,15;251.846.450,00;14.551.700
NTCO3;11/08/2023;17,58;17,90;17,28;17,69;181.371.026,00;10.343.100
NTCO3;10/08/2023;17,32;17,76;17,31;17,56;190.871.006,00;10.894.000
NTCO3;09/08/2023;17,23;17,32;16,98;17,22;103.496.680,00;6.041.400
NTCO3;08/08/2023;17,13;17,61;16,89;17,36;120.589.033,00;6.941.400
NTCO3;07/08/2023;17,54;17,68;17,25;17,52;164.044.512,00;9.387.700
NTCO3;04/08/2023;17,64;18,10;17,55;17,73;138.954.124,00;7.806.300
NTCO3;03/08/2023;18,33;18,38;17,66;17,80;148.715.468,00;8.301.100
NTCO3;02/08/2023;18,22;18,41;17,95;18,09;217.414.780,00;12.008.300
NTCO3;01/08/2023;18,06;18,41;17,97;18,34;112.684.607,00;6.174.900
NTCO3;31/07/2023;18,15;18,33;18,01;18,27;170.708.787,00;9.372.900
NTCO3;28/07/2023;17,91;18,16;17,76;17,91;92.268.379,00;5.152.300
NTCO3;27/07/2023;17,92;18,21;17,72;17,87;111.658.435,00;6.239.800
NTCO3;26/07/2023;18,02;18,13;17,70;17,92;143.799.402,00;8.020.000
NTCO3;25/07/2023;18,00;18,27;17,66;18,02;263.442.863,00;14.669.000
NTCO3;24/07/2023;17,25;18,00;17,22;17,89;204.909.438,00;11.544.400
NTCO3;21/07/2023;16,80;17,57;16,80;17,27;294.006.643,00;16.947.500
NTCO3;20/07/2023;15,96;16,89;15,92;16,72;281.325.585,00;16.943.700
NTCO3;19/07/2023;15,50;16,09;15,38;15,93;174.672.346,00;11.004.800
NTCO3;18/07/2023;15,66;15,81;15,44;15,59;114.104.892,00;7.303.900
NTCO3;17/07/2023;15,46;15,79;15,42;15,66;100.364.012,00;6.404.600
NTCO3;14/07/2023;16,22;16,22;15,32;15,71;265.438.653,00;16.969.700
NTCO3;13/07/2023;16,27;16,61;16,18;16,31;118.523.190,00;7.234.800
NTCO3;12/07/2023;16,58;16,89;16,21;16,27;105.716.239,00;6.429.400
NTCO3;11/07/2023;16,41;16,45;15,96;16,35;137.381.137,00;8.449.300
NTCO3;10/07/2023;16,60;16,70;16,15;16,41;135.910.054,00;8.305.900
NTCO3;07/07/2023;16,60;17,08;16,57;16,73;164.969.158,00;9.809.700
NTCO3;06/07/2023;17,00;17,08;16,36;16,61;147.265.756,00;8.835.800
NTCO3;05/07/2023;16,80;17,27;16,72;17,02;133.936.153,00;7.834.200
NTCO3;04/07/2023;16,89;17,05;16,76;16,89;38.088.622,00;2.252.400
NTCO3;03/07/2023;16,80;17,17;16,61;16,90;87.420.431,00;5.152.600
NTCO3;30/06/2023;17,01;17,32;16,62;16,74;276.181.234,00;16.241.800
NTCO3;29/06/2023;16,79;16,99;16,49;16,83;405.613.088,00;24.275.300
NTCO3;28/06/2023;17,26;17,42;16,62;16,79;289.351.230,00;17.101.200
NTCO3;27/06/2023;17,61;17,67;17,07;17,35;289.401.065,00;16.717.700
NTCO3;26/06/2023;17,54;17,70;17,06;17,53;166.359.204,00;9.563.500
NTCO3;23/06/2023;17,50;17,79;17,25;17,49;186.548.265,00;10.611.100
NTCO3;22/06/2023;16,96;17,55;16,77;17,41;325.715.116,00;19.038.000
NTCO3;21/06/2023;16,22;17,51;16,16;17,28;690.810.608,00;40.624.900
NTCO3;20/06/2023;15,97;16,08;15,72;16,07;214.209.817,00;13.492.100
NTCO3;19/06/2023;16,46;16,55;15,91;16,07;139.180.763,00;8.603.100
NTCO3;16/06/2023;16,50;16,67;16,28;16,46;231.304.394,00;14.059.300
NTCO3;15/06/2023;16,45;16,75;16,20;16,60;135.319.366,00;8.174.500
NTCO3;14/06/2023;16,08;16,72;15,93;16,45;345.076.437,00;21.087.800
NTCO3;13/06/2023;16,10;16,20;15,76;15,94;290.667.284,00;18.193.100
NTCO3;12/06/2023;15,99;16,15;15,70;15,97;256.583.193,00;16.045.100
NTCO3;09/06/2023;15,68;16,29;15,57;15,95;502.874.266,00;31.446.800
NTCO3;07/06/2023;15,59;15,95;15,32;15,44;287.538.350,00;18.440.900
NTCO3;06/06/2023;14,82;15,47;14,72;15,33;308.845.777,00;20.442.500
NTCO3;05/06/2023;14,42;14,83;14,39;14,73;193.929.273,00;13.238.900
NTCO3;02/06/2023;14,60;14,72;14,37;14,42;221.211.036,00;15.265.100
NTCO3;01/06/2023;13,97;14,56;13,78;14,39;427.026.055,00;30.178.200
NTCO3;31/05/2023;13,82;13,90;13,58;13,89;311.794.635,00;22.622.300
NTCO3;30/05/2023;13,80;14,08;13,63;13,82;260.131.660,00;18.771.100
NTCO3;29/05/2023;13,89;13,94;13,52;13,70;68.036.691,00;4.963.400
NTCO3;26/05/2023;13,60;14,04;13,52;13,76;131.282.493,00;9.486.400
NTCO3;25/05/2023;13,46;13,79;13,43;13,50;98.611.072,00;7.259.000
NTCO3;24/05/2023;13,22;13,58;13,13;13,34;102.672.953,00;7.672.200
NTCO3;23/05/2023;13,48;13,80;13,34;13,36;175.292.617,00;12.933.400
NTCO3;22/05/2023;13,20;14,04;13,02;13,65;301.993.713,00;22.068.500
NTCO3;19/05/2023;13,54;13,54;13,17;13,22;222.716.828,00;16.681.700
NTCO3;18/05/2023;13,15;13,58;13,05;13,29;210.682.114,00;15.797.700
NTCO3;17/05/2023;12,93;13,30;12,82;13,22;189.831.040,00;14.521.600
NTCO3;16/05/2023;13,25;13,35;12,78;12,78;177.157.917,00;13.649.000
NTCO3;15/05/2023;13,27;13,54;13,15;13,28;155.683.416,00;11.640.600
NTCO3;12/05/2023;12,80;13,26;12,45;13,20;211.579.546,00;16.232.500
NTCO3;11/05/2023;12,81;13,00;12,43;12,92;208.116.683,00;16.421.600
NTCO3;10/05/2023;12,98;13,60;12,71;12,86;368.886.449,00;28.236.400
NTCO3;09/05/2023;12,10;13,19;12,00;12,97;716.415.681,00;56.479.500
NTCO3;08/05/2023;11,27;11,42;10,98;11,27;296.733.988,00;26.435.500
NTCO3;05/05/2023;11,06;11,35;10,95;11,21;118.938.367,00;10.619.800
NTCO3;04/05/2023;11,04;11,09;10,71;10,91;99.323.703,00;9.122.900
NTCO3;03/05/2023;10,86;10,98;10,74;10,85;66.892.069,00;6.154.900
NTCO3;02/05/2023;10,92;11,02;10,56;10,86;115.981.460,00;10.765.800
NTCO3;28/04/2023;10,81;11,11;10,68;11,06;109.300.788,00;9.954.200
NTCO3;27/04/2023;10,51;10,83;10,34;10,76;94.248.853,00;8.850.600
NTCO3;26/04/2023;10,57;10,69;10,45;10,56;76.150.838,00;7.183.900
NTCO3;25/04/2023;10,98;11,02;10,47;10,52;154.034.826,00;14.539.600
NTCO3;24/04/2023;10,91;11,07;10,66;10,98;119.709.400,00;10.974.700
NTCO3;20/04/2023;10,65;11,02;10,43;10,93;274.859.112,00;25.430.800
NTCO3;19/04/2023;10,76;10,80;10,38;10,57;257.158.916,00;24.294.000
NTCO3;18/04/2023;11,24;11,29;10,58;10,92;290.181.374,00;26.800.800
NTCO3;17/04/2023;11,53;11,58;11,12;11,20;212.065.206,00;18.811.200
NTCO3;14/04/2023;11,60;11,72;11,39;11,51;216.919.137,00;18.841.800
NTCO3;13/04/2023;11,73;11,82;11,59;11,70;137.381.670,00;11.731.300
NTCO3;12/04/2023;11,89;12,15;11,39;11,70;264.668.597,00;22.512.100
NTCO3;11/04/2023;11,32;12,16;11,32;11,82;336.379.720,00;28.535.400
NTCO3;10/04/2023;11,31;11,57;11,03;11,22;247.509.217,00;21.914.500
NTCO3;06/04/2023;11,99;12,29;10,84;11,20;763.948.356,00;67.495.200
NTCO3;05/04/2023;12,73;12,75;11,78;11,85;584.189.229,00;48.124.200
NTCO3;04/04/2023;14,51;14,93;13,11;13,11;1.248.096.158,00;89.368.600
NTCO3;03/04/2023;13,25;13,64;12,96;13,57;239.336.612,00;17.962.500
NTCO3;31/03/2023;13,66;13,66;12,68;13,20;411.656.388,00;31.098.700
