Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PCAR3;14/09/2023;4,74;4,79;4,70;4,70;3.017.834,00;637.100
PCAR3;13/09/2023;4,79;4,86;4,70;4,73;30.699.264,00;6.424.200
PCAR3;12/09/2023;4,85;4,91;4,78;4,80;35.878.502,00;7.442.700
PCAR3;11/09/2023;4,61;4,87;4,59;4,83;46.470.396,00;9.808.800
PCAR3;08/09/2023;4,66;4,68;4,54;4,59;22.010.892,00;4.790.900
PCAR3;06/09/2023;4,80;4,81;4,63;4,66;47.271.021,00;10.077.700
PCAR3;05/09/2023;4,95;5,02;4,78;4,80;42.403.415,00;8.728.900
PCAR3;04/09/2023;4,91;5,12;4,83;4,95;43.415.564,00;8.731.900
PCAR3;01/09/2023;5,01;5,05;4,72;4,92;60.171.803,00;12.256.000
PCAR3;31/08/2023;5,28;5,30;4,93;4,94;42.786.257,00;8.432.300
PCAR3;30/08/2023;5,31;5,46;5,23;5,28;62.347.416,00;11.721.400
PCAR3;29/08/2023;5,52;5,56;5,14;5,27;76.287.309,00;14.501.600
PCAR3;28/08/2023;5,93;5,99;5,50;5,50;66.336.542,00;11.752.000
PCAR3;25/08/2023;6,12;6,19;5,90;5,90;68.524.346,00;11.319.500
PCAR3;24/08/2023;6,65;6,78;6,35;6,36;99.418.810,00;15.258.300
PCAR3;23/08/2023;6,38;6,98;6,03;6,56;181.850.298,00;27.670.900
PCAR3;22/08/2023;19,94;19,95;18,85;19,65;209.197.450,00;10.717.600
PCAR3;21/08/2023;19,71;19,96;19,19;19,75;61.815.599,00;3.158.300
PCAR3;18/08/2023;19,07;19,85;18,98;19,78;59.165.752,00;3.033.400
PCAR3;17/08/2023;19,68;19,68;18,96;19,20;41.500.599,00;2.153.600
PCAR3;16/08/2023;19,32;19,65;19,18;19,44;41.797.605,00;2.149.800
PCAR3;15/08/2023;19,97;20,15;19,47;19,48;37.784.531,00;1.916.300
PCAR3;14/08/2023;20,41;20,43;19,93;19,96;28.478.802,00;1.416.900
PCAR3;11/08/2023;20,30;20,99;20,25;20,41;38.205.703,00;1.850.800
PCAR3;10/08/2023;20,25;20,58;20,20;20,28;20.991.158,00;1.029.600
PCAR3;09/08/2023;20,04;20,20;19,76;20,20;53.945.054,00;2.693.000
PCAR3;08/08/2023;20,15;20,20;19,84;19,89;39.571.281,00;1.981.400
PCAR3;07/08/2023;20,36;20,43;20,14;20,27;18.083.202,00;891.900
PCAR3;04/08/2023;20,55;21,46;20,29;20,36;44.797.674,00;2.148.900
PCAR3;03/08/2023;20,78;21,34;20,57;20,67;41.091.358,00;1.960.600
PCAR3;02/08/2023;20,25;20,87;20,07;20,70;43.210.955,00;2.103.600
PCAR3;01/08/2023;20,56;20,73;20,27;20,36;38.233.622,00;1.868.800
PCAR3;31/07/2023;20,61;20,88;20,46;20,70;56.916.203,00;2.751.000
PCAR3;28/07/2023;21,52;21,52;20,56;20,57;63.421.497,00;3.053.100
PCAR3;27/07/2023;21,65;21,95;21,12;21,40;40.528.937,00;1.880.200
