Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PETR3;14/09/2023;36,44;37,34;36,44;37,22;110.192.841,00;2.977.400
PETR3;13/09/2023;36,86;36,99;36,38;36,38;373.779.521,00;10.193.000
PETR3;12/09/2023;36,66;37,09;36,63;36,86;222.266.498,00;6.022.300
PETR3;11/09/2023;36,71;37,00;36,40;36,46;490.623.847,00;13.409.200
PETR3;08/09/2023;36,81;37,17;36,50;36,71;449.380.232,00;12.222.200
PETR3;06/09/2023;36,78;37,46;36,73;37,00;452.577.941,00;12.197.000
PETR3;05/09/2023;35,06;37,00;35,00;36,82;906.842.463,00;24.898.200
PETR3;04/09/2023;35,66;35,80;35,14;35,20;201.207.385,00;5.691.100
PETR3;01/09/2023;34,91;35,81;34,68;35,69;1.074.275.279,00;30.440.900
PETR3;31/08/2023;35,65;35,75;34,14;34,54;664.184.274,00;19.051.400
PETR3;30/08/2023;35,68;35,74;35,44;35,50;208.192.826,00;5.854.100
PETR3;29/08/2023;35,50;35,60;35,20;35,53;274.421.148,00;7.740.400
PETR3;28/08/2023;35,02;35,45;34,87;35,40;260.510.851,00;7.396.400
PETR3;25/08/2023;35,42;35,68;34,72;35,04;484.162.819,00;13.825.000
PETR3;24/08/2023;35,32;35,84;35,07;35,32;291.513.160,00;8.222.200
PETR3;23/08/2023;34,07;35,42;34,07;35,41;913.686.913,00;26.089.700
PETR3;22/08/2023;33,27;33,54;33,13;33,50;249.070.310,00;7.469.900
PETR3;21/08/2023;33,49;33,93;32,77;33,06;341.597.931,00;9.973.500
PETR3;18/08/2023;33,23;33,50;32,98;33,38;267.014.274,00;7.761.800
PETR3;17/08/2023;33,60;34,01;33,19;33,19;413.953.296,00;11.936.600
PETR3;16/08/2023;32,60;33,84;32,60;33,44;795.196.721,00;22.977.800
PETR3;15/08/2023;34,01;34,19;32,45;32,48;544.136.725,00;15.856.300
PETR3;14/08/2023;32,33;32,66;32,21;32,55;263.261.038,00;7.857.100
PETR3;11/08/2023;32,35;32,94;32,01;32,40;348.899.092,00;10.389.300
PETR3;10/08/2023;32,14;32,57;31,93;32,38;458.806.303,00;13.725.400
PETR3;09/08/2023;32,05;32,55;31,90;32,39;440.556.273,00;13.210.400
PETR3;08/08/2023;31,66;32,25;31,48;32,02;283.248.937,00;8.586.200
PETR3;07/08/2023;31,83;32,27;31,78;32,04;337.660.177,00;10.206.100
PETR3;04/08/2023;32,55;32,94;31,22;31,83;1.314.019.603,00;39.760.400
PETR3;03/08/2023;33,21;33,42;32,97;33,22;289.566.418,00;8.445.000
PETR3;02/08/2023;32,79;32,92;32,20;32,76;391.471.223,00;11.644.300
PETR3;01/08/2023;33,60;33,61;32,29;32,99;650.073.523,00;19.071.400
PETR3;31/07/2023;32,43;33,71;32,43;33,69;603.604.808,00;17.495.100
PETR3;28/07/2023;31,65;32,12;31,46;32,01;262.651.121,00;7.973.900
PETR3;27/07/2023;33,01;33,08;31,46;31,48;530.173.214,00;15.980.300
PETR3;26/07/2023;33,44;33,64;32,93;33,36;539.909.791,00;15.756.500
PETR3;25/07/2023;33,39;33,57;32,72;33,50;327.712.716,00;9.557.800
PETR3;24/07/2023;32,33;32,95;32,33;32,91;471.748.841,00;13.924.300
PETR3;21/07/2023;31,78;32,42;31,60;32,24;546.877.690,00;16.435.400
PETR3;20/07/2023;31,42;31,80;31,21;31,66;403.707.380,00;12.365.600
PETR3;19/07/2023;31,12;31,56;30,97;31,42;359.050.961,00;11.126.600
PETR3;18/07/2023;31,47;31,73;31,17;31,25;272.438.201,00;8.411.700
PETR3;17/07/2023;30,97;31,63;30,43;31,52;445.009.030,00;13.862.800
PETR3;14/07/2023;31,97;32,13;31,38;31,51;455.980.397,00;13.921.000
PETR3;13/07/2023;31,75;32,31;31,73;32,18;326.202.377,00;9.830.400
PETR3;12/07/2023;31,82;32,47;31,70;31,72;401.739.640,00;12.180.600
PETR3;11/07/2023;32,02;32,20;31,70;31,82;313.754.788,00;9.517.400
PETR3;10/07/2023;31,79;32,36;31,73;32,07;230.746.615,00;6.942.700
PETR3;07/07/2023;32,39;32,78;32,01;32,07;272.599.414,00;8.173.000
PETR3;06/07/2023;32,41;32,62;31,87;32,24;418.564.351,00;12.594.500
PETR3;05/07/2023;32,64;33,07;32,25;32,66;475.838.525,00;14.105.100
PETR3;04/07/2023;32,58;32,94;32,46;32,67;104.024.986,00;3.077.800
PETR3;03/07/2023;32,34;32,76;32,33;32,59;344.835.744,00;10.249.500
PETR3;30/06/2023;33,83;33,83;32,01;32,04;670.538.544,00;19.925.300
PETR3;29/06/2023;33,54;33,84;33,38;33,77;379.917.793,00;10.926.900
PETR3;28/06/2023;33,19;33,80;33,12;33,40;350.855.256,00;10.133.600
PETR3;27/06/2023;33,50;33,70;32,85;33,16;434.038.114,00;12.661.800
PETR3;26/06/2023;32,72;33,62;32,72;33,45;443.127.463,00;12.861.900
PETR3;23/06/2023;33,70;33,75;32,35;32,81;401.352.311,00;11.743.500
PETR3;22/06/2023;34,21;34,35;33,65;33,97;477.868.270,00;13.625.400
PETR3;21/06/2023;33,62;34,70;33,53;34,54;603.228.673,00;16.983.900
PETR3;20/06/2023;32,99;33,30;32,39;33,21;683.996.732,00;20.061.400
PETR3;19/06/2023;32,32;33,14;32,22;33,12;192.872.364,00;5.668.000
PETR3;16/06/2023;32,06;32,59;31,79;32,32;683.277.068,00;20.471.700
PETR3;15/06/2023;32,57;33,30;32,01;32,13;671.371.141,00;19.877.200
PETR3;14/06/2023;31,43;32,61;31,31;32,61;1.175.164.728,00;35.205.100
PETR3;13/06/2023;31,73;31,73;30,96;31,26;802.700.863,00;24.872.900
PETR3;12/06/2023;30,95;31,56;30,79;31,35;809.407.625,00;23.806.000
PETR3;09/06/2023;29,72;30,99;29,62;30,95;623.336.036,00;18.762.600
PETR3;07/06/2023;29,21;29,58;29,01;29,53;662.190.907,00;20.669.600
PETR3;06/06/2023;28,06;28,77;27,81;28,64;537.091.734,00;17.307.900
PETR3;05/06/2023;28,10;28,40;27,87;28,07;245.852.447,00;8.037.200
PETR3;02/06/2023;28,13;28,19;27,73;27,90;319.539.543,00;10.484.600
PETR3;01/06/2023;26,88;27,65;26,83;27,57;396.655.891,00;13.273.400
PETR3;31/05/2023;26,79;27,13;26,54;26,79;531.059.750,00;18.150.400
PETR3;30/05/2023;27,32;27,47;26,94;27,12;504.812.888,00;17.069.100
PETR3;29/05/2023;27,40;27,55;27,16;27,38;107.251.884,00;3.600.800
PETR3;26/05/2023;27,40;27,56;27,13;27,55;290.531.254,00;9.724.700
PETR3;25/05/2023;27,51;27,51;26,89;27,10;312.414.393,00;10.549.800
PETR3;24/05/2023;26,87;27,46;26,79;27,30;211.686.139,00;7.137.600
PETR3;23/05/2023;26,60;27,27;26,48;27,01;308.462.953,00;10.472.900
PETR3;22/05/2023;26,85;27,13;26,37;26,46;302.849.713,00;10.450.100
PETR3;19/05/2023;27,06;27,12;26,75;26,86;386.994.285,00;13.203.700
PETR3;18/05/2023;26,53;26,76;26,21;26,74;651.276.915,00;22.510.600
PETR3;17/05/2023;27,08;27,18;26,42;26,62;719.689.312,00;24.719.800
PETR3;16/05/2023;26,19;27,51;26,19;26,78;927.004.243,00;31.495.900
PETR3;15/05/2023;26,34;26,56;25,91;26,19;515.207.533,00;18.039.600
PETR3;12/05/2023;25,72;27,35;25,72;26,73;587.970.832,00;20.197.600
PETR3;11/05/2023;24,92;26,09;24,61;25,82;561.777.089,00;20.235.800
PETR3;10/05/2023;25,06;25,46;24,86;25,21;261.187.534,00;9.509.600
PETR3;09/05/2023;24,91;25,32;24,76;25,17;221.258.494,00;8.067.000
PETR3;08/05/2023;24,95;25,21;24,75;24,97;223.451.831,00;8.200.800
PETR3;05/05/2023;23,85;24,63;23,75;24,57;285.682.719,00;10.831.600
PETR3;04/05/2023;23,50;23,95;23,17;23,58;282.924.742,00;11.034.800
PETR3;03/05/2023;23,22;23,62;23,12;23,24;335.270.863,00;13.173.600
PETR3;02/05/2023;24,30;24,41;23,23;23,37;563.613.090,00;21.980.500
PETR3;28/04/2023;24,41;24,86;23,73;24,46;905.752.232,00;34.070.200
PETR3;27/04/2023;24,64;24,88;23,75;23,88;859.520.769,00;29.481.100
PETR3;26/04/2023;24,83;24,98;24,52;24,54;603.494.266,00;20.253.300
PETR3;25/04/2023;25,04;25,26;24,61;24,89;467.799.275,00;15.564.900
PETR3;24/04/2023;24,59;25,11;24,49;25,02;417.821.676,00;13.856.500
PETR3;20/04/2023;24,66;24,92;24,30;24,64;230.024.874,00;7.709.400
PETR3;19/04/2023;25,21;25,26;24,50;24,57;549.404.473,00;18.320.700
PETR3;18/04/2023;24,83;25,57;24,64;25,38;487.623.708,00;15.967.800
PETR3;17/04/2023;24,57;24,92;24,54;24,74;322.645.678,00;10.781.300
PETR3;14/04/2023;24,22;24,65;24,16;24,64;256.114.854,00;8.635.100
PETR3;13/04/2023;24,15;24,36;24,06;24,28;287.112.994,00;9.793.300
PETR3;12/04/2023;24,17;24,30;23,67;24,00;481.951.085,00;16.556.500
PETR3;11/04/2023;23,48;24,03;23,13;23,98;513.325.334,00;17.967.200
PETR3;10/04/2023;22,48;22,99;22,45;22,97;228.256.538,00;8.256.900
PETR3;06/04/2023;22,63;22,70;22,30;22,38;188.839.812,00;6.944.700
PETR3;05/04/2023;22,54;22,81;21,89;22,64;432.038.106,00;15.974.000
PETR3;04/04/2023;23,11;23,13;22,51;22,61;190.929.162,00;6.935.200
