Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PETZ3;14/09/2023;5,87;5,87;5,73;5,73;11.659.244,00;2.007.900
PETZ3;13/09/2023;5,86;5,98;5,80;5,86;84.728.646,00;14.394.200
PETZ3;12/09/2023;5,51;5,95;5,43;5,84;175.370.219,00;30.272.100
PETZ3;11/09/2023;5,67;5,73;5,38;5,52;103.010.615,00;18.765.600
PETZ3;08/09/2023;5,40;5,71;5,40;5,65;61.453.790,00;10.934.000
PETZ3;06/09/2023;5,54;5,58;5,40;5,44;30.953.774,00;5.664.200
PETZ3;05/09/2023;5,68;5,70;5,46;5,56;60.987.698,00;10.962.900
PETZ3;04/09/2023;5,77;5,80;5,67;5,71;35.590.074,00;6.212.800
PETZ3;01/09/2023;5,49;5,77;5,42;5,75;102.174.066,00;18.098.200
PETZ3;31/08/2023;5,25;5,50;5,08;5,48;166.996.707,00;31.172.100
PETZ3;30/08/2023;5,24;5,28;5,18;5,21;71.292.697,00;13.630.500
PETZ3;29/08/2023;5,39;5,43;5,10;5,24;152.523.289,00;29.227.700
PETZ3;28/08/2023;5,73;5,80;5,39;5,39;167.683.747,00;29.960.900
PETZ3;25/08/2023;5,38;5,45;5,30;5,40;125.065.810,00;23.359.500
PETZ3;24/08/2023;5,39;5,43;5,32;5,41;86.936.133,00;16.144.900
PETZ3;23/08/2023;5,41;5,45;5,12;5,43;290.646.382,00;55.161.900
PETZ3;22/08/2023;5,51;5,55;5,27;5,36;136.293.894,00;25.552.500
PETZ3;21/08/2023;5,31;5,51;5,30;5,44;105.142.834,00;19.434.600
PETZ3;18/08/2023;5,10;5,35;5,04;5,31;102.965.473,00;19.691.800
PETZ3;17/08/2023;5,15;5,19;4,98;5,11;148.284.838,00;29.099.900
PETZ3;16/08/2023;5,39;5,41;5,08;5,13;186.745.888,00;36.026.900
PETZ3;15/08/2023;5,59;5,60;5,29;5,34;213.425.677,00;39.778.700
PETZ3;14/08/2023;5,96;5,99;5,46;5,57;219.061.780,00;38.783.200
PETZ3;11/08/2023;6,40;6,77;5,93;5,95;246.432.033,00;39.601.800
PETZ3;10/08/2023;6,09;6,28;6,05;6,20;71.114.751,00;11.547.500
PETZ3;09/08/2023;6,30;6,30;6,00;6,01;154.253.990,00;25.276.800
PETZ3;08/08/2023;6,69;6,69;6,46;6,46;101.679.340,00;15.513.500
PETZ3;07/08/2023;7,03;7,04;6,84;6,88;44.983.589,00;6.520.900
PETZ3;04/08/2023;6,85;7,19;6,79;7,04;85.727.722,00;12.153.800
PETZ3;03/08/2023;7,28;7,33;6,85;6,85;69.448.666,00;9.870.300
PETZ3;02/08/2023;7,11;7,28;6,98;7,14;76.226.435,00;10.715.000
PETZ3;01/08/2023;6,95;7,20;6,90;7,15;63.162.504,00;8.893.000
PETZ3;31/07/2023;6,82;7,03;6,78;7,00;62.702.684,00;9.040.800
PETZ3;28/07/2023;6,63;6,87;6,59;6,78;54.484.479,00;8.066.700
PETZ3;27/07/2023;6,56;6,77;6,50;6,60;167.973.676,00;25.470.900
PETZ3;26/07/2023;6,27;6,56;6,24;6,52;57.236.477,00;8.911.100
PETZ3;25/07/2023;6,31;6,56;6,26;6,29;67.091.439,00;10.534.400
PETZ3;24/07/2023;6,17;6,30;6,07;6,25;64.126.862,00;10.298.700
PETZ3;21/07/2023;6,16;6,28;6,11;6,18;57.631.932,00;9.300.000
PETZ3;20/07/2023;6,21;6,23;6,04;6,15;68.234.444,00;11.165.200
PETZ3;19/07/2023;6,27;6,30;6,04;6,15;67.390.212,00;10.963.500
PETZ3;18/07/2023;6,35;6,48;6,25;6,29;41.308.148,00;6.528.900
PETZ3;17/07/2023;6,24;6,46;6,16;6,39;72.276.593,00;11.357.000
PETZ3;14/07/2023;6,47;6,47;6,14;6,25;84.578.770,00;13.519.800
PETZ3;13/07/2023;6,90;6,92;6,45;6,49;99.400.771,00;14.963.900
