Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PRIO3;14/09/2023;48,80;49,38;48,63;48,97;110.412.866,00;2.249.500
PRIO3;13/09/2023;48,31;48,83;47,94;48,20;393.759.364,00;8.132.400
PRIO3;12/09/2023;48,25;48,71;47,85;48,11;247.410.000,00;5.126.400
PRIO3;11/09/2023;47,48;48,34;46,82;47,71;312.627.672,00;6.598.000
PRIO3;08/09/2023;46,58;47,54;46,36;47,49;301.795.798,00;6.396.400
PRIO3;06/09/2023;47,50;47,80;46,73;46,79;287.277.813,00;6.111.100
PRIO3;05/09/2023;46,39;48,13;46,26;47,49;434.081.969,00;9.120.100
PRIO3;04/09/2023;46,80;47,02;46,41;46,61;161.192.609,00;3.458.800
PRIO3;01/09/2023;46,99;47,50;46,21;46,95;336.028.660,00;7.168.000
PRIO3;31/08/2023;46,01;47,30;45,71;46,42;595.977.942,00;12.781.900
PRIO3;30/08/2023;45,97;46,13;45,44;45,81;215.595.680,00;4.710.300
PRIO3;29/08/2023;47,00;47,18;45,63;45,85;392.590.737,00;8.522.700
PRIO3;28/08/2023;46,41;46,80;46,20;46,69;223.673.571,00;4.796.500
PRIO3;25/08/2023;46,46;46,88;45,62;46,39;262.920.877,00;5.697.500
PRIO3;24/08/2023;45,90;46,49;45,40;46,06;220.051.184,00;4.777.200
PRIO3;23/08/2023;44,79;46,18;44,10;45,85;447.755.262,00;9.838.700
PRIO3;22/08/2023;44,81;45,46;44,65;45,10;245.672.749,00;5.449.600
PRIO3;21/08/2023;45,50;46,10;44,32;44,75;339.621.192,00;7.557.800
PRIO3;18/08/2023;45,00;45,45;44,52;45,17;289.812.117,00;6.441.900
PRIO3;17/08/2023;46,74;46,99;45,14;45,38;376.637.224,00;8.229.600
PRIO3;16/08/2023;47,07;47,55;45,82;45,98;438.303.972,00;9.407.200
PRIO3;15/08/2023;47,90;48,00;45,91;46,82;656.573.253,00;14.040.800
PRIO3;14/08/2023;48,34;48,64;47,75;48,59;288.401.511,00;5.976.900
PRIO3;11/08/2023;47,78;48,65;47,67;48,36;711.915.826,00;14.735.100
PRIO3;10/08/2023;48,20;48,55;46,96;47,38;298.515.917,00;6.293.200
PRIO3;09/08/2023;48,36;48,63;47,68;48,12;280.008.964,00;5.814.000
PRIO3;08/08/2023;47,00;47,97;46,64;47,86;258.951.637,00;5.462.600
PRIO3;07/08/2023;47,50;48,20;46,92;47,81;323.286.325,00;6.785.900
PRIO3;04/08/2023;46,90;49,06;46,90;47,57;566.433.789,00;11.763.900
PRIO3;03/08/2023;46,30;47,40;46,22;47,16;568.558.565,00;12.093.900
PRIO3;02/08/2023;45,89;45,95;44,75;45,25;390.821.239,00;8.644.600
PRIO3;01/08/2023;45,27;46,16;44,93;45,80;316.724.041,00;6.963.300
PRIO3;31/07/2023;45,80;46,56;45,20;45,62;300.486.725,00;6.558.600
PRIO3;28/07/2023;45,36;45,89;44,70;45,16;254.504.216,00;5.649.300
PRIO3;27/07/2023;46,07;46,46;44,90;45,09;242.110.646,00;5.330.800
PRIO3;26/07/2023;44,44;45,67;44,08;45,59;776.928.437,00;17.234.100
PRIO3;25/07/2023;46,21;46,48;44,82;44,96;559.530.181,00;12.334.100
PRIO3;24/07/2023;45,58;46,17;45,26;46,17;359.676.600,00;7.849.300
PRIO3;21/07/2023;44,61;45,50;44,48;45,17;582.343.554,00;12.898.600
PRIO3;20/07/2023;44,40;44,54;44,05;44,20;317.668.026,00;7.173.400
PRIO3;19/07/2023;43,36;44,19;43,22;44,14;578.410.805,00;13.190.600
PRIO3;18/07/2023;43,00;43,56;42,31;43,18;539.607.873,00;12.520.400
PRIO3;17/07/2023;40,97;42,10;40,64;41,99;305.091.275,00;7.342.700
PRIO3;14/07/2023;42,73;43,05;41,18;41,52;608.521.610,00;14.446.100
PRIO3;13/07/2023;41,60;43,40;41,60;42,89;697.758.559,00;16.340.800
PRIO3;12/07/2023;41,06;41,80;40,74;41,55;590.967.262,00;14.253.100
PRIO3;11/07/2023;39,71;41,01;39,10;40,70;561.883.872,00;13.926.400
PRIO3;10/07/2023;39,27;39,90;39,21;39,49;278.812.910,00;7.035.700
PRIO3;07/07/2023;38,10;39,71;38,10;39,35;415.745.962,00;10.609.600
PRIO3;06/07/2023;38,45;38,78;37,89;38,15;262.381.313,00;6.863.500
PRIO3;05/07/2023;38,61;39,18;38,51;38,62;398.930.453,00;10.273.000
PRIO3;04/07/2023;37,76;38,53;37,75;38,04;350.934.343,00;9.197.300
PRIO3;03/07/2023;37,45;38,66;37,40;37,42;543.257.301,00;14.335.100
PRIO3;30/06/2023;36,50;37,74;36,50;37,08;435.942.774,00;11.735.200
PRIO3;29/06/2023;36,20;36,50;35,96;36,29;191.052.664,00;5.282.800
PRIO3;28/06/2023;35,76;36,52;35,63;36,14;248.752.176,00;6.862.100
PRIO3;27/06/2023;37,00;37,05;35,15;35,80;701.215.930,00;19.613.800
PRIO3;26/06/2023;38,21;38,55;37,04;37,04;470.998.624,00;12.588.000
PRIO3;23/06/2023;37,96;38,27;37,23;38,21;373.199.973,00;9.879.700
PRIO3;22/06/2023;38,01;38,37;37,43;38,30;436.438.877,00;11.484.500
PRIO3;21/06/2023;36,15;38,77;36,05;38,67;797.252.657,00;21.045.300
PRIO3;20/06/2023;35,95;36,22;35,05;36,16;311.819.666,00;8.717.900
PRIO3;19/06/2023;36,34;36,45;35,69;36,06;221.525.280,00;6.146.900
PRIO3;16/06/2023;35,56;36,37;35,16;36,27;488.469.221,00;13.553.300
PRIO3;15/06/2023;35,40;35,75;35,17;35,60;234.179.939,00;6.593.800
PRIO3;14/06/2023;34,49;35,40;34,27;35,40;552.238.428,00;15.737.300
PRIO3;13/06/2023;33,61;34,43;33,41;34,34;473.914.035,00;13.912.100
PRIO3;12/06/2023;34,40;34,40;32,91;33,14;621.437.933,00;18.671.500
PRIO3;09/06/2023;34,97;35,20;34,26;34,48;420.982.951,00;12.136.400
PRIO3;07/06/2023;34,60;35,13;34,28;34,79;756.654.234,00;21.784.700
PRIO3;06/06/2023;34,90;34,96;34,02;34,28;756.835.423,00;21.937.500
PRIO3;05/06/2023;35,91;35,92;34,69;35,35;265.676.381,00;7.530.700
PRIO3;02/06/2023;34,90;35,51;34,83;35,32;403.551.063,00;11.496.900
PRIO3;01/06/2023;34,29;34,54;33,68;34,17;489.526.018,00;14.348.300
PRIO3;31/05/2023;33,55;34,27;33,35;34,19;514.218.504,00;15.100.100
PRIO3;30/05/2023;35,15;35,41;33,58;34,13;695.249.682,00;20.309.500
PRIO3;29/05/2023;35,27;35,54;35,05;35,12;314.706.892,00;8.938.400
PRIO3;26/05/2023;36,09;36,34;35,18;35,35;315.372.261,00;8.845.900
PRIO3;25/05/2023;36,25;36,35;35,21;35,63;1.218.400.319,00;34.430.100
PRIO3;24/05/2023;36,21;36,80;35,83;35,95;433.184.329,00;11.957.600
PRIO3;23/05/2023;36,40;36,75;36,02;36,16;327.946.879,00;8.994.800
PRIO3;22/05/2023;36,98;37,32;35,98;36,19;365.043.352,00;10.031.100
PRIO3;19/05/2023;36,98;37,34;36,57;36,97;529.208.508,00;14.310.100
PRIO3;18/05/2023;36,41;36,49;35,61;36,35;401.228.459,00;11.097.600
PRIO3;17/05/2023;34,89;36,50;34,79;36,50;612.800.341,00;17.069.300
PRIO3;16/05/2023;34,50;35,09;34,27;34,50;273.196.884,00;7.867.700
PRIO3;15/05/2023;34,61;34,97;34,41;34,47;171.773.509,00;4.958.400
PRIO3;12/05/2023;34,62;35,14;34,30;34,50;217.457.731,00;6.277.200
PRIO3;11/05/2023;34,44;35,06;33,94;34,82;364.349.192,00;10.568.500
PRIO3;10/05/2023;34,70;34,83;34,12;34,65;196.129.019,00;5.678.000
PRIO3;09/05/2023;34,47;34,95;33,73;34,61;306.308.796,00;8.874.800
PRIO3;08/05/2023;34,82;35,17;34,42;34,51;473.570.198,00;13.639.100
PRIO3;05/05/2023;33,52;34,36;33,42;34,29;479.759.184,00;14.114.900
PRIO3;04/05/2023;34,40;34,63;32,35;32,70;828.019.289,00;25.100.100
PRIO3;03/05/2023;33,57;34,38;33,01;34,10;368.313.536,00;10.869.200
PRIO3;02/05/2023;34,55;34,61;32,86;33,52;310.778.555,00;9.279.500
PRIO3;28/04/2023;33,64;35,07;33,51;34,75;314.521.788,00;9.123.600
PRIO3;27/04/2023;33,80;33,87;33,16;33,64;363.758.590,00;10.845.900
PRIO3;26/04/2023;34,87;35,20;33,39;33,50;373.341.065,00;10.930.300
PRIO3;25/04/2023;35,20;35,65;34,36;34,65;332.495.173,00;9.561.100
PRIO3;24/04/2023;34,10;35,34;34,00;35,03;353.062.459,00;10.091.400
PRIO3;20/04/2023;34,05;34,64;33,82;34,00;283.236.030,00;8.281.100
PRIO3;19/04/2023;34,86;35,00;33,76;34,30;592.872.782,00;17.308.700
PRIO3;18/04/2023;36,30;36,30;35,05;35,30;533.499.142,00;15.067.000
PRIO3;17/04/2023;36,64;36,80;35,93;36,15;354.923.992,00;9.793.600
PRIO3;14/04/2023;36,42;36,98;36,11;36,68;266.687.812,00;7.287.200
PRIO3;13/04/2023;36,50;37,18;36,40;36,51;431.796.987,00;11.784.000
PRIO3;12/04/2023;36,00;37,09;35,92;36,43;448.995.067,00;12.304.000
PRIO3;11/04/2023;35,20;35,85;34,84;35,73;479.531.570,00;13.514.400
PRIO3;10/04/2023;34,91;35,22;34,60;34,92;235.232.011,00;6.741.600
PRIO3;06/04/2023;33,84;35,13;33,67;34,86;653.506.566,00;18.858.500
PRIO3;05/04/2023;33,50;33,89;32,47;33,50;520.478.100,00;15.685.900
PRIO3;04/04/2023;34,30;34,53;32,86;33,85;1.183.144.204,00;35.073.500
PRIO3;03/04/2023;32,60;33,24;32,15;32,40;703.562.784,00;21.609.400
PRIO3;31/03/2023;32,42;32,50;31,16;31,19;343.257.670,00;10.885.300
PRIO3;30/03/2023;32,48;32,80;32,02;32,35;224.735.432,00;6.951.900
PRIO3;29/03/2023;32,25;32,74;31,21;31,94;295.867.708,00;9.261.700
PRIO3;28/03/2023;31,64;32,20;31,14;31,88;357.005.608,00;11.214.300
PRIO3;27/03/2023;31,03;31,82;30,64;31,62;322.250.648,00;10.288.300
PRIO3;24/03/2023;29,64;30,44;29,01;30,28;355.412.867,00;11.879.600
PRIO3;23/03/2023;31,53;31,73;29,35;29,93;396.452.438,00;13.083.700
PRIO3;22/03/2023;31,86;32,19;31,10;31,35;303.072.155,00;9.626.100
PRIO3;21/03/2023;31,16;31,89;31,05;31,72;313.520.266,00;9.937.000
PRIO3;20/03/2023;31,30;31,73;30,68;30,99;251.683.918,00;8.111.500
PRIO3;17/03/2023;31,47;31,83;31,05;31,37;514.249.663,00;16.356.900
PRIO3;16/03/2023;31,19;31,99;30,50;31,70;812.223.376,00;26.018.800
PRIO3;15/03/2023;31,80;31,80;30,26;31,15;524.634.304,00;16.924.300
PRIO3;14/03/2023;31,70;32,88;31,67;32,21;417.053.714,00;12.897.700
PRIO3;13/03/2023;32,06;32,71;31,45;31,77;651.405.056,00;20.279.700
PRIO3;10/03/2023;33,14;33,50;32,80;33,21;573.901.766,00;17.321.800
PRIO3;09/03/2023;34,38;34,53;33,30;33,43;540.365.698,00;16.019.300
PRIO3;08/03/2023;33,59;34,95;33,28;34,47;503.411.172,00;14.658.100
PRIO3;07/03/2023;34,63;34,79;32,62;33,59;514.279.101,00;15.378.500
PRIO3;06/03/2023;34,60;34,94;33,69;34,63;345.101.540,00;10.023.800
PRIO3;03/03/2023;34,23;35,12;33,82;34,71;535.623.309,00;15.490.400
PRIO3;02/03/2023;33,65;35,33;33,50;33,96;1.051.937.506,00;30.384.000
PRIO3;01/03/2023;33,27;33,96;31,44;33,38;1.381.962.036,00;42.641.800
PRIO3;28/02/2023;36,94;37,26;33,70;33,70;1.532.190.661,00;43.307.300
PRIO3;27/02/2023;37,60;37,97;36,85;37,05;417.587.944,00;11.174.800
PRIO3;24/02/2023;37,79;38,25;37,11;37,60;270.147.416,00;7.194.800
PRIO3;23/02/2023;37,74;38,69;37,00;37,47;516.203.111,00;13.669.800
PRIO3;22/02/2023;37,68;37,68;36,57;37,60;333.231.395,00;8.947.600
PRIO3;17/02/2023;39,69;39,96;37,98;38,21;557.123.711,00;14.391.100
PRIO3;16/02/2023;40,36;41,02;39,92;40,25;324.943.237,00;8.065.700
PRIO3;15/02/2023;40,61;41,28;40,25;40,90;349.400.772,00;8.562.200
PRIO3;14/02/2023;41,80;41,97;40,40;40,86;425.830.668,00;10.415.700
PRIO3;13/02/2023;42,60;42,90;41,74;42,04;323.275.915,00;7.641.300
PRIO3;10/02/2023;42,30;43,17;42,16;42,75;417.903.494,00;9.761.600
PRIO3;09/02/2023;42,54;42,64;41,74;41,96;292.891.414,00;6.964.700
PRIO3;08/02/2023;41,80;42,57;41,44;42,55;337.425.492,00;8.021.200
PRIO3;07/02/2023;41,65;41,87;40,90;41,63;334.622.320,00;8.076.600
PRIO3;06/02/2023;40,19;41,39;40,12;41,20;363.639.538,00;8.921.200
PRIO3;03/02/2023;40,30;41,41;39,65;40,17;366.252.253,00;9.046.000
PRIO3;02/02/2023;40,69;41,76;39,56;40,05;347.033.314,00;8.603.300
PRIO3;01/02/2023;42,23;42,39;40,55;41,10;460.570.449,00;11.182.600
PRIO3;31/01/2023;41,29;42,70;40,96;42,10;364.223.816,00;8.640.600
PRIO3;30/01/2023;41,85;42,01;41,02;41,50;243.168.987,00;5.871.900
PRIO3;27/01/2023;42,93;43,79;41,61;41,79;452.579.366,00;10.644.000
PRIO3;26/01/2023;42,25;42,94;42,08;42,34;417.750.454,00;9.836.900
PRIO3;25/01/2023;40,98;42,31;40,35;41,92;316.594.727,00;7.655.500
PRIO3;24/01/2023;41,59;41,93;40,27;41,03;459.101.509,00;11.209.500
PRIO3;23/01/2023;41,31;42,83;40,97;41,56;645.012.719,00;15.356.200
PRIO3;20/01/2023;40,31;41,49;39,53;41,10;526.116.814,00;12.911.200
PRIO3;19/01/2023;38,82;40,54;38,52;40,52;416.715.810,00;10.453.000
PRIO3;18/01/2023;39,21;39,78;38,92;38,97;388.512.374,00;9.918.100
PRIO3;17/01/2023;39,27;39,85;37,64;38,74;462.076.676,00;11.896.000
PRIO3;16/01/2023;38,77;39,35;38,68;39,07;179.027.360,00;4.586.700
PRIO3;13/01/2023;39,70;39,75;38,60;39,05;258.918.850,00;6.640.700
PRIO3;12/01/2023;39,03;39,80;38,83;39,75;339.665.555,00;8.608.700
PRIO3;11/01/2023;36,52;39,02;36,44;39,02;707.607.448,00;18.629.200
PRIO3;10/01/2023;36,30;36,37;35,37;36,21;224.750.968,00;6.245.600
PRIO3;09/01/2023;35,84;36,65;35,63;36,01;304.423.941,00;8.449.600
PRIO3;06/01/2023;34,21;35,41;33,90;35,18;346.256.704,00;9.947.800
PRIO3;05/01/2023;34,79;35,29;34,13;34,97;308.333.028,00;8.847.600
PRIO3;04/01/2023;33,90;34,75;33,10;34,09;371.666.916,00;10.889.600
PRIO3;03/01/2023;36,50;36,81;34,25;34,30;455.376.623,00;12.918.600
PRIO3;02/01/2023;36,88;37,66;36,45;36,76;242.559.312,00;6.577.200
PRIO3;29/12/2022;37,25;37,48;36,62;37,21;293.045.793,00;7.890.300
PRIO3;28/12/2022;35,68;37,49;35,58;37,25;396.085.802,00;10.775.200
PRIO3;27/12/2022;35,69;35,87;35,21;35,58;448.050.297,00;12.627.800
PRIO3;26/12/2022;35,20;35,58;35,00;35,44;146.514.147,00;4.152.200
PRIO3;23/12/2022;35,95;36,05;35,36;35,49;263.461.995,00;7.403.800
PRIO3;22/12/2022;36,19;36,25;34,62;35,26;484.614.304,00;13.665.600
PRIO3;21/12/2022;36,32;36,75;35,16;35,63;382.478.623,00;10.712.800
PRIO3;20/12/2022;35,68;36,19;35,40;35,86;459.071.084,00;12.800.600
PRIO3;19/12/2022;35,42;35,85;35,16;35,78;328.950.788,00;9.261.200
PRIO3;16/12/2022;35,39;35,53;34,95;35,35;526.883.558,00;14.955.900
PRIO3;15/12/2022;35,93;36,35;35,31;35,77;325.907.774,00;9.106.500
PRIO3;14/12/2022;34,89;36,57;34,70;36,18;692.550.230,00;19.388.600
PRIO3;13/12/2022;35,06;35,50;34,39;34,89;489.568.433,00;13.975.600
PRIO3;12/12/2022;33,40;34,99;32,77;34,64;426.559.140,00;12.620.000
PRIO3;09/12/2022;33,30;33,85;33,16;33,65;322.557.212,00;9.605.800
PRIO3;08/12/2022;33,00;33,81;32,72;33,17;540.255.301,00;16.274.400
PRIO3;07/12/2022;34,39;34,47;32,19;32,67;729.733.453,00;22.026.300
PRIO3;06/12/2022;35,60;36,67;33,90;34,64;518.159.568,00;14.712.000
PRIO3;05/12/2022;37,11;37,36;35,73;36,02;269.510.531,00;7.380.100
PRIO3;02/12/2022;36,91;37,60;36,13;36,69;268.651.905,00;7.288.600
PRIO3;01/12/2022;36,10;37,29;36,00;36,70;429.584.777,00;11.703.800
PRIO3;30/11/2022;35,98;36,60;35,23;36,05;604.785.173,00;16.829.200
PRIO3;29/11/2022;35,49;35,85;35,24;35,28;357.722.999,00;10.079.100
PRIO3;28/11/2022;33,86;35,19;33,70;34,90;368.157.799,00;10.612.800
PRIO3;25/11/2022;36,65;36,85;34,24;34,65;345.271.393,00;9.833.600
PRIO3;24/11/2022;35,40;36,71;35,12;36,51;321.055.250,00;8.927.000
PRIO3;23/11/2022;34,98;36,00;34,74;35,27;488.258.946,00;13.810.900
PRIO3;22/11/2022;34,96;35,99;34,83;35,47;478.963.724,00;13.516.800
PRIO3;21/11/2022;34,33;34,86;32,86;34,49;542.253.570,00;16.010.300
PRIO3;18/11/2022;36,10;36,45;34,25;34,50;647.801.803,00;18.498.300
PRIO3;17/11/2022;35,21;35,80;34,20;35,80;755.555.130,00;21.667.300
PRIO3;16/11/2022;38,57;38,65;35,34;36,27;762.196.278,00;20.821.900
PRIO3;14/11/2022;37,90;39,25;37,46;38,50;544.880.433,00;14.149.500
PRIO3;11/11/2022;36,91;38,30;36,91;37,70;619.579.165,00;16.452.100
PRIO3;10/11/2022;37,00;37,34;36,03;36,58;513.935.757,00;14.014.900
PRIO3;09/11/2022;37,20;38,75;36,95;37,22;608.810.085,00;16.105.800
PRIO3;08/11/2022;36,25;37,65;35,99;37,43;391.787.426,00;10.536.200
PRIO3;07/11/2022;37,59;37,60;36,33;36,42;423.935.850,00;11.505.300
PRIO3;04/11/2022;37,82;38,75;37,26;37,65;584.184.651,00;15.457.400
