Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
PSSA3;14/09/2023;27,11;27,29;27,03;27,05;5.086.118,00;187.300
PSSA3;13/09/2023;26,77;27,09;26,63;27,05;47.738.563,00;1.774.000
PSSA3;12/09/2023;26,60;26,81;26,39;26,70;38.638.592,00;1.454.100
PSSA3;11/09/2023;26,11;26,63;26,11;26,61;29.414.168,00;1.111.900
PSSA3;08/09/2023;26,00;26,21;25,68;26,12;36.367.057,00;1.396.200
PSSA3;06/09/2023;26,01;26,23;25,73;26,03;37.867.626,00;1.455.700
PSSA3;05/09/2023;25,92;26,12;25,64;26,01;37.222.445,00;1.434.800
PSSA3;04/09/2023;26,02;26,19;25,90;26,01;10.192.357,00;391.400
PSSA3;01/09/2023;26,17;26,46;25,73;26,10;64.926.111,00;2.499.300
PSSA3;31/08/2023;26,75;26,76;26,03;26,10;37.393.342,00;1.429.000
PSSA3;30/08/2023;26,97;27,01;26,54;26,54;32.739.698,00;1.228.200
PSSA3;29/08/2023;26,95;27,13;26,70;27,01;40.872.287,00;1.515.200
PSSA3;28/08/2023;27,03;27,06;26,42;26,96;33.833.994,00;1.265.500
PSSA3;25/08/2023;27,10;27,12;26,55;27,06;47.989.923,00;1.788.000
PSSA3;24/08/2023;26,64;27,24;26,40;27,11;115.710.618,00;4.333.900
PSSA3;23/08/2023;26,55;26,82;26,36;26,64;42.893.019,00;1.617.200
PSSA3;22/08/2023;26,62;26,73;26,33;26,55;43.910.290,00;1.654.300
PSSA3;21/08/2023;27,02;27,09;26,32;26,60;82.062.332,00;3.085.600
PSSA3;18/08/2023;27,20;27,54;26,96;27,52;37.765.805,00;1.379.000
PSSA3;17/08/2023;26,97;27,32;26,71;27,20;48.628.504,00;1.794.200
PSSA3;16/08/2023;27,31;27,48;26,81;26,97;40.262.601,00;1.484.900
PSSA3;15/08/2023;27,70;27,80;27,23;27,34;45.426.772,00;1.653.300
PSSA3;14/08/2023;28,22;28,24;27,23;27,75;75.670.831,00;2.729.000
PSSA3;11/08/2023;28,40;28,87;27,78;28,30;117.274.804,00;4.178.800
PSSA3;10/08/2023;27,47;27,58;27,33;27,46;39.568.344,00;1.440.600
PSSA3;09/08/2023;27,60;27,65;27,17;27,47;34.138.822,00;1.245.700
PSSA3;08/08/2023;27,71;27,83;27,52;27,59;35.911.445,00;1.296.800
PSSA3;07/08/2023;27,71;28,17;27,71;27,83;41.604.150,00;1.491.100
PSSA3;04/08/2023;27,64;28,12;27,64;27,70;60.194.208,00;2.159.800
PSSA3;03/08/2023;28,11;28,57;27,59;27,69;62.408.572,00;2.239.300
PSSA3;02/08/2023;27,92;28,22;27,70;28,11;60.008.062,00;2.140.400
PSSA3;01/08/2023;28,60;28,60;28,08;28,14;63.320.757,00;2.243.400
PSSA3;31/07/2023;29,52;29,65;28,63;28,63;56.671.991,00;1.959.800
PSSA3;28/07/2023;28,88;29,29;28,88;29,29;26.344.911,00;905.100
PSSA3;27/07/2023;29,02;29,24;28,87;28,87;70.275.272,00;2.420.400
PSSA3;26/07/2023;29,17;29,21;28,79;29,02;38.755.100,00;1.336.300
PSSA3;25/07/2023;29,12;29,37;28,97;29,20;125.846.445,00;4.309.400
PSSA3;24/07/2023;29,11;29,21;28,72;28,97;107.317.887,00;3.715.300
PSSA3;21/07/2023;28,72;29,12;28,63;29,12;69.498.353,00;2.399.500
PSSA3;20/07/2023;28,46;28,80;28,43;28,53;57.338.985,00;2.003.800
PSSA3;19/07/2023;29,00;29,00;28,44;28,46;23.396.560,00;819.000
PSSA3;18/07/2023;28,83;29,08;28,71;28,91;145.462.543,00;5.041.400
PSSA3;17/07/2023;28,79;29,04;28,50;28,91;54.998.478,00;1.905.400
PSSA3;14/07/2023;28,91;29,10;28,38;28,60;44.431.802,00;1.553.200
PSSA3;13/07/2023;29,43;29,48;28,90;29,00;46.302.330,00;1.594.000
PSSA3;12/07/2023;29,38;29,38;29,11;29,26;46.043.493,00;1.575.400
