Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
QUAL3;24/08/2023;3,81;3,90;3,77;3,86;9.319.198,00;2.417.500
QUAL3;23/08/2023;3,84;3,92;3,77;3,83;17.195.159,00;4.479.800
QUAL3;22/08/2023;3,70;3,82;3,67;3,82;21.319.498,00;5.688.000
QUAL3;21/08/2023;3,84;3,84;3,66;3,68;17.116.273,00;4.603.100
QUAL3;18/08/2023;3,89;3,96;3,81;3,84;13.834.426,00;3.568.600
QUAL3;17/08/2023;3,88;3,99;3,88;3,90;13.073.612,00;3.322.200
QUAL3;16/08/2023;4,00;4,09;3,87;3,87;21.267.496,00;5.383.000
QUAL3;15/08/2023;4,15;4,16;3,87;3,99;21.023.146,00;5.301.500
QUAL3;14/08/2023;4,32;4,36;4,17;4,17;14.604.323,00;3.434.600
QUAL3;11/08/2023;4,47;4,47;4,27;4,34;15.676.359,00;3.604.500
QUAL3;10/08/2023;4,37;4,48;4,33;4,45;12.456.150,00;2.815.000
QUAL3;09/08/2023;4,44;4,45;4,30;4,35;12.360.970,00;2.836.500
QUAL3;08/08/2023;4,35;4,45;4,22;4,42;16.224.631,00;3.723.100
QUAL3;07/08/2023;4,48;4,50;4,29;4,38;15.870.649,00;3.635.500
QUAL3;04/08/2023;4,30;4,40;4,28;4,40;15.622.812,00;3.579.100
QUAL3;03/08/2023;4,28;4,37;4,25;4,30;20.257.449,00;4.712.300
QUAL3;02/08/2023;4,27;4,37;4,22;4,22;18.100.036,00;4.245.900
QUAL3;01/08/2023;4,30;4,34;4,22;4,29;20.858.071,00;4.862.800
QUAL3;31/07/2023;4,31;4,43;4,26;4,29;23.043.165,00;5.322.600
QUAL3;28/07/2023;4,44;4,44;4,26;4,28;18.304.760,00;4.222.900
QUAL3;27/07/2023;4,51;4,61;4,37;4,40;22.933.035,00;5.117.800
QUAL3;26/07/2023;4,65;4,65;4,41;4,52;29.280.838,00;6.511.600
QUAL3;25/07/2023;4,61;4,85;4,59;4,61;37.999.457,00;8.072.900
QUAL3;24/07/2023;4,61;4,61;4,41;4,58;23.945.483,00;5.298.000
QUAL3;21/07/2023;4,54;4,72;4,52;4,60;16.619.076,00;3.596.100
QUAL3;20/07/2023;4,59;4,68;4,51;4,53;10.822.515,00;2.374.800
QUAL3;19/07/2023;4,53;4,65;4,48;4,59;13.645.027,00;2.993.500
QUAL3;18/07/2023;4,59;4,62;4,50;4,53;11.137.249,00;2.450.100
QUAL3;17/07/2023;4,54;4,67;4,46;4,58;12.543.755,00;2.756.300
QUAL3;14/07/2023;4,59;4,60;4,45;4,53;15.216.420,00;3.380.500
QUAL3;13/07/2023;4,57;4,68;4,55;4,57;9.447.527,00;2.047.600
QUAL3;12/07/2023;4,66;4,77;4,55;4,59;17.178.196,00;3.699.500
QUAL3;11/07/2023;4,65;4,66;4,46;4,66;13.763.116,00;3.001.900
QUAL3;10/07/2023;4,74;4,80;4,65;4,69;11.610.401,00;2.462.800
