Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RADL3;14/09/2023;27,91;27,97;27,65;27,68;7.658.810,00;275.900
RADL3;13/09/2023;27,76;28,28;27,57;27,84;109.031.584,00;3.898.500
RADL3;12/09/2023;27,40;27,78;27,32;27,75;75.253.489,00;2.724.300
RADL3;11/09/2023;26,76;27,30;26,55;27,21;106.814.936,00;3.959.000
RADL3;08/09/2023;26,71;26,93;26,57;26,81;105.500.870,00;3.944.300
RADL3;06/09/2023;27,49;27,72;26,74;26,82;115.837.914,00;4.283.700
RADL3;05/09/2023;27,50;27,68;27,39;27,49;117.732.306,00;4.275.800
RADL3;04/09/2023;27,59;27,84;27,33;27,64;63.719.537,00;2.307.000
RADL3;01/09/2023;27,57;27,95;27,33;27,54;149.745.900,00;5.423.900
RADL3;31/08/2023;27,60;27,81;27,03;27,48;177.520.724,00;6.470.500
RADL3;30/08/2023;27,94;28,08;27,63;27,63;89.436.557,00;3.215.700
RADL3;29/08/2023;27,10;27,81;26,91;27,81;156.016.969,00;5.660.800
RADL3;28/08/2023;27,01;27,12;26,63;26,92;58.712.531,00;2.189.100
RADL3;25/08/2023;27,29;27,35;26,83;27,04;82.095.252,00;3.037.900
RADL3;24/08/2023;27,24;27,55;27,10;27,29;81.217.653,00;2.972.200
RADL3;23/08/2023;27,09;27,33;26,98;27,33;105.012.288,00;3.860.800
RADL3;22/08/2023;26,84;27,32;26,79;27,16;118.176.931,00;4.349.700
RADL3;21/08/2023;26,70;26,84;26,37;26,69;125.327.515,00;4.711.200
RADL3;18/08/2023;26,71;26,88;26,57;26,70;90.698.555,00;3.393.700
RADL3;17/08/2023;27,32;27,37;26,56;26,70;189.115.333,00;7.048.300
RADL3;16/08/2023;27,27;27,53;26,99;27,12;133.317.207,00;4.903.200
RADL3;15/08/2023;27,32;27,63;27,27;27,30;72.330.464,00;2.638.700
RADL3;14/08/2023;27,34;27,39;27,09;27,39;124.685.338,00;4.565.700
RADL3;11/08/2023;27,32;27,58;27,09;27,41;112.400.758,00;4.104.800
RADL3;10/08/2023;27,44;27,87;27,07;27,28;117.028.640,00;4.274.400
RADL3;09/08/2023;27,60;27,80;27,06;27,45;179.081.201,00;6.548.200
RADL3;08/08/2023;27,73;28,15;27,53;27,78;123.971.762,00;4.459.800
RADL3;07/08/2023;27,78;28,01;27,71;27,92;105.107.056,00;3.772.500
RADL3;04/08/2023;28,16;28,52;27,69;27,85;151.844.399,00;5.409.200
RADL3;03/08/2023;28,59;28,96;28,17;28,34;218.328.841,00;7.651.100
RADL3;02/08/2023;28,80;28,87;28,46;28,58;102.697.807,00;3.588.300
RADL3;01/08/2023;28,69;29,04;28,59;28,88;192.128.197,00;6.682.400
RADL3;31/07/2023;29,16;29,25;28,83;28,97;129.943.904,00;4.481.800
RADL3;28/07/2023;28,89;29,28;28,48;29,11;127.941.341,00;4.399.400
RADL3;27/07/2023;28,67;29,10;28,54;28,54;97.403.493,00;3.390.100
RADL3;26/07/2023;28,40;28,80;28,40;28,74;78.748.617,00;2.745.400
RADL3;25/07/2023;28,93;28,94;28,28;28,46;104.228.864,00;3.663.900
RADL3;24/07/2023;28,65;28,74;28,23;28,56;112.117.889,00;3.931.700
RADL3;21/07/2023;28,58;28,92;28,46;28,63;145.814.953,00;5.084.500
RADL3;20/07/2023;28,02;28,47;27,97;28,38;95.505.484,00;3.378.700
RADL3;19/07/2023;28,00;28,10;27,67;27,99;116.693.693,00;4.181.200
RADL3;18/07/2023;28,48;28,60;27,90;28,17;170.639.599,00;6.041.900
RADL3;17/07/2023;28,29;28,69;28,23;28,69;116.044.073,00;4.076.700
RADL3;14/07/2023;28,71;28,77;28,24;28,42;148.729.926,00;5.233.200
RADL3;13/07/2023;28,22;29,01;28,22;28,76;154.354.739,00;5.367.300
RADL3;12/07/2023;28,09;28,57;28,09;28,33;171.635.962,00;6.062.100
RADL3;11/07/2023;28,35;28,38;27,68;28,17;116.645.934,00;4.162.700
RADL3;10/07/2023;28,37;28,69;28,30;28,48;114.535.659,00;4.020.200
RADL3;07/07/2023;28,18;28,65;27,98;28,49;126.705.795,00;4.452.500
RADL3;06/07/2023;28,46;28,53;27,94;28,05;141.866.516,00;5.045.000
RADL3;05/07/2023;28,35;28,81;28,08;28,57;127.384.806,00;4.448.800
RADL3;04/07/2023;28,65;28,78;28,09;28,39;113.420.571,00;3.999.100
RADL3;03/07/2023;29,69;29,85;28,45;28,72;267.904.021,00;9.269.800
RADL3;30/06/2023;28,81;29,70;28,46;29,55;301.422.193,00;10.313.400
RADL3;29/06/2023;28,49;28,94;28,34;28,67;161.561.434,00;5.626.500
RADL3;28/06/2023;28,60;28,93;28,41;28,54;118.095.024,00;4.116.400
RADL3;27/06/2023;28,86;28,95;28,22;28,85;147.526.837,00;5.138.700
RADL3;26/06/2023;29,10;29,11;28,39;28,75;124.957.910,00;4.351.400
RADL3;23/06/2023;28,53;29,04;28,47;29,02;119.087.017,00;4.122.400
RADL3;22/06/2023;28,76;28,85;28,38;28,55;121.663.862,00;4.253.900
RADL3;21/06/2023;28,68;28,91;28,51;28,76;127.233.954,00;4.418.100
RADL3;20/06/2023;28,44;28,67;28,21;28,65;104.321.118,00;3.648.100
RADL3;19/06/2023;28,48;28,88;28,37;28,54;74.523.924,00;2.602.600
RADL3;16/06/2023;28,55;28,77;28,23;28,45;202.266.746,00;7.093.600
RADL3;15/06/2023;28,56;28,74;28,41;28,69;127.264.803,00;4.440.300
RADL3;14/06/2023;28,59;28,70;28,19;28,56;262.134.863,00;9.193.800
RADL3;13/06/2023;28,93;28,97;28,30;28,55;180.827.544,00;6.324.100
RADL3;12/06/2023;28,75;29,10;28,63;28,82;198.796.224,00;6.875.600
RADL3;09/06/2023;28,48;29,27;28,38;28,61;200.730.121,00;6.991.700
RADL3;07/06/2023;28,35;28,58;28,10;28,28;134.767.627,00;4.753.000
RADL3;06/06/2023;27,78;28,34;27,57;28,25;177.295.643,00;6.311.300
RADL3;05/06/2023;27,59;27,75;27,39;27,55;252.316.769,00;9.144.000
RADL3;02/06/2023;28,71;28,72;27,38;27,54;336.147.192,00;12.020.300
RADL3;01/06/2023;28,25;28,90;28,12;28,57;241.932.561,00;8.448.000
RADL3;31/05/2023;28,30;28,72;28,28;28,28;700.469.673,00;24.656.800
RADL3;30/05/2023;28,92;28,95;28,20;28,41;195.208.547,00;6.820.900
RADL3;29/05/2023;28,69;28,84;28,41;28,65;67.126.841,00;2.340.300
RADL3;26/05/2023;28,42;28,90;28,25;28,67;171.781.121,00;5.994.200
RADL3;25/05/2023;28,83;29,07;28,04;28,14;193.363.680,00;6.814.500
RADL3;24/05/2023;28,05;28,77;27,96;28,27;386.251.996,00;13.526.800
RADL3;23/05/2023;28,10;28,28;27,65;28,04;156.571.957,00;5.581.000
RADL3;22/05/2023;27,90;28,09;27,69;27,87;108.334.928,00;3.877.900
RADL3;19/05/2023;27,50;27,93;27,10;27,50;214.964.300,00;7.793.968
RADL3;18/05/2023;26,95;27,38;26,75;27,36;124.884.281,00;4.588.688
RADL3;17/05/2023;27,08;27,30;26,77;26,95;86.341.503,00;3.197.376
RADL3;16/05/2023;27,01;27,46;26,99;26,99;180.838.032,00;6.641.128
RADL3;15/05/2023;26,88;27,09;26,47;27,01;103.064.206,00;3.832.712
RADL3;12/05/2023;26,61;26,89;26,41;26,83;127.920.684,00;4.769.544
RADL3;11/05/2023;26,41;26,88;26,35;26,76;134.415.288,00;5.025.800
RADL3;10/05/2023;26,04;26,59;25,97;26,46;158.060.885,00;5.969.704
RADL3;09/05/2023;25,72;26,26;25,68;26,04;135.547.677,00;5.200.832
RADL3;08/05/2023;25,56;26,01;25,52;25,74;160.554.552,00;6.210.464
RADL3;05/05/2023;25,44;25,55;24,81;25,51;233.379.109,00;9.220.120
RADL3;04/05/2023;25,15;25,57;25,10;25,33;162.004.415,00;6.379.776
RADL3;03/05/2023;25,70;25,88;24,86;25,13;259.811.156,00;10.273.640
RADL3;02/05/2023;25,15;25,53;24,97;25,53;203.554.245,00;8.018.920
RADL3;28/04/2023;25,17;25,41;25,02;25,22;150.261.952,00;5.943.704
RADL3;27/04/2023;25,32;25,46;24,89;25,17;125.499.945,00;4.970.056
RADL3;26/04/2023;24,87;25,48;24,87;25,23;140.365.873,00;5.573.672
RADL3;25/04/2023;24,94;25,21;24,80;24,95;84.612.576,00;3.388.112
RADL3;24/04/2023;24,57;25,14;24,55;24,96;211.997.775,00;8.478.912
RADL3;20/04/2023;24,20;24,70;24,08;24,61;137.346.235,00;5.586.464
RADL3;19/04/2023;24,41;24,49;24,02;24,14;131.661.941,00;5.424.640
RADL3;18/04/2023;24,81;24,81;24,43;24,60;78.123.633,00;3.161.080
RADL3;17/04/2023;24,91;25,09;24,57;24,70;66.328.783,00;2.678.104
RADL3;14/04/2023;24,63;25,00;24,40;24,91;152.488.796,00;6.114.680
RADL3;13/04/2023;25,19;25,37;24,47;24,61;165.358.326,00;6.661.720
RADL3;12/04/2023;24,24;25,34;24,24;25,06;471.427.422,00;18.867.888
RADL3;11/04/2023;24,05;24,53;23,97;24,34;279.333.186,00;11.456.432
RADL3;10/04/2023;23,93;24,11;23,85;23,95;115.197.974,00;4.791.384
RADL3;06/04/2023;23,45;24,06;23,44;23,95;216.815.635,00;9.049.456
RADL3;05/04/2023;23,53;23,71;23,28;23,64;214.124.394,00;9.069.632
RADL3;04/04/2023;22,90;23,47;22,77;23,43;166.100.587,00;7.082.088
RADL3;03/04/2023;23,36;23,54;22,73;22,84;160.539.383,00;6.941.688
RADL3;31/03/2023;23,89;24,01;23,26;23,39;192.060.632,00;8.094.632
RADL3;30/03/2023;23,40;23,95;23,17;23,83;211.483.991,00;8.915.816
RADL3;29/03/2023;23,40;23,43;23,07;23,33;148.384.458,00;6.340.984
RADL3;28/03/2023;22,71;23,46;22,68;23,41;134.709.691,00;5.773.768
RADL3;27/03/2023;23,05;23,22;22,76;22,76;88.520.616,00;3.840.096
RADL3;24/03/2023;22,68;23,03;22,60;22,96;107.281.540,00;4.666.272
RADL3;23/03/2023;22,61;22,90;22,30;22,54;122.184.155,00;5.368.064
RADL3;22/03/2023;22,77;22,91;22,50;22,62;240.600.890,00;10.588.344
RADL3;21/03/2023;22,64;22,96;22,54;22,69;135.212.758,00;5.922.280
RADL3;20/03/2023;22,72;22,81;22,38;22,57;140.519.404,00;6.178.640
RADL3;17/03/2023;23,40;23,40;22,56;22,74;274.526.323,00;11.999.936
RADL3;16/03/2023;23,44;23,83;23,30;23,36;188.879.070,00;7.990.216
RADL3;15/03/2023;23,15;23,69;23,07;23,43;233.853.471,00;9.928.152
RADL3;14/03/2023;23,10;23,47;23,09;23,34;151.194.953,00;6.454.552
RADL3;13/03/2023;22,90;23,25;22,69;23,12;98.617.365,00;4.253.496
