Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RAIL3;14/09/2023;23,45;23,87;23,36;23,71;71.833.162,00;3.031.900
RAIL3;13/09/2023;22,77;23,64;22,64;23,32;682.429.777,00;29.344.800
RAIL3;12/09/2023;22,17;22,84;22,02;22,76;253.241.733,00;11.236.600
RAIL3;11/09/2023;22,20;22,32;21,75;22,14;210.708.458,00;9.577.400
RAIL3;08/09/2023;21,98;22,21;21,74;22,08;261.837.633,00;11.887.100
RAIL3;06/09/2023;22,05;22,34;21,81;21,87;249.943.377,00;11.353.900
RAIL3;05/09/2023;22,66;22,69;22,01;22,08;235.990.714,00;10.615.100
RAIL3;04/09/2023;22,59;22,81;22,51;22,60;90.596.599,00;4.001.000
RAIL3;01/09/2023;22,40;22,82;22,31;22,67;248.830.766,00;10.997.400
RAIL3;31/08/2023;22,50;22,62;22,20;22,35;280.232.277,00;12.516.700
RAIL3;30/08/2023;22,76;22,87;22,56;22,63;128.419.466,00;5.657.400
RAIL3;29/08/2023;22,99;23,14;22,80;22,87;339.957.664,00;14.786.900
RAIL3;28/08/2023;22,62;22,95;22,56;22,75;227.790.002,00;10.012.200
RAIL3;25/08/2023;23,05;23,10;22,37;22,65;308.298.328,00;13.652.600
RAIL3;24/08/2023;23,43;23,43;22,96;23,13;305.436.614,00;13.207.200
RAIL3;23/08/2023;22,85;23,45;22,83;23,30;361.324.094,00;15.518.300
RAIL3;22/08/2023;22,12;22,88;22,12;22,83;279.402.284,00;12.324.500
RAIL3;21/08/2023;22,15;22,20;21,74;22,11;217.924.653,00;9.905.900
RAIL3;18/08/2023;22,08;22,46;22,05;22,27;207.498.756,00;9.337.600
RAIL3;17/08/2023;22,79;22,81;22,02;22,22;344.910.418,00;15.465.300
RAIL3;16/08/2023;23,00;23,12;22,68;22,72;387.566.098,00;16.890.300
RAIL3;15/08/2023;23,03;23,18;22,79;23,02;449.731.507,00;19.548.600
RAIL3;14/08/2023;22,86;22,91;22,33;22,84;219.439.589,00;9.685.200
RAIL3;11/08/2023;23,50;23,59;22,38;22,80;1.380.334.026,00;60.528.100
RAIL3;10/08/2023;24,09;24,36;23,86;23,98;307.251.242,00;12.762.400
RAIL3;09/08/2023;23,20;23,87;23,12;23,86;409.892.309,00;17.304.300
RAIL3;08/08/2023;23,12;23,44;22,68;23,32;285.143.615,00;12.324.100
RAIL3;07/08/2023;23,33;23,59;22,86;23,24;298.013.409,00;12.812.400
RAIL3;04/08/2023;23,20;23,44;23,04;23,21;274.580.396,00;11.793.100
RAIL3;03/08/2023;23,14;23,37;23,05;23,29;469.662.257,00;20.196.100
RAIL3;02/08/2023;22,87;23,12;22,82;23,04;224.920.168,00;9.781.200
RAIL3;01/08/2023;23,06;23,27;22,86;23,00;283.327.588,00;12.328.900
RAIL3;31/07/2023;23,65;23,65;23,02;23,24;374.016.611,00;16.118.600
RAIL3;28/07/2023;23,37;23,45;22,83;23,37;320.200.976,00;13.830.800
RAIL3;27/07/2023;23,86;24,09;23,18;23,37;260.432.710,00;11.081.700
RAIL3;26/07/2023;23,86;24,16;23,74;24,00;448.703.428,00;18.711.400
RAIL3;25/07/2023;24,20;24,44;23,99;24,09;488.127.322,00;20.190.900
RAIL3;24/07/2023;23,70;24,20;23,70;24,02;604.140.503,00;25.233.500
RAIL3;21/07/2023;22,83;23,55;22,83;23,35;281.750.060,00;12.049.100
RAIL3;20/07/2023;22,95;23,14;22,60;22,94;208.699.451,00;9.093.300
RAIL3;19/07/2023;22,65;22,80;22,31;22,80;215.544.425,00;9.523.900
RAIL3;18/07/2023;22,51;22,77;22,32;22,63;178.728.157,00;7.912.500
RAIL3;17/07/2023;22,51;22,70;22,31;22,67;128.995.843,00;5.718.000
RAIL3;14/07/2023;22,89;22,89;22,30;22,44;195.722.572,00;8.718.700
RAIL3;13/07/2023;22,89;22,97;22,64;22,79;267.598.113,00;11.729.000
RAIL3;12/07/2023;22,44;22,81;22,24;22,64;362.863.421,00;16.024.100
RAIL3;11/07/2023;22,06;22,31;21,41;22,22;462.475.641,00;21.126.200
RAIL3;10/07/2023;22,60;22,66;22,17;22,20;255.954.251,00;11.455.700
RAIL3;07/07/2023;22,34;22,97;22,22;22,72;285.544.740,00;12.543.500
RAIL3;06/07/2023;22,60;22,74;22,11;22,42;310.415.554,00;13.858.700
RAIL3;05/07/2023;22,65;22,95;22,45;22,88;373.529.527,00;16.393.100
RAIL3;04/07/2023;22,53;22,97;22,32;22,75;189.794.002,00;8.371.000
RAIL3;03/07/2023;21,86;23,00;21,80;22,64;510.797.859,00;22.533.100
RAIL3;30/06/2023;22,00;22,39;21,96;22,20;609.415.695,00;27.373.000
RAIL3;29/06/2023;21,68;22,00;21,56;21,87;268.901.845,00;12.345.600
RAIL3;28/06/2023;21,66;21,72;21,43;21,56;126.282.263,00;5.844.400
RAIL3;27/06/2023;21,85;21,98;21,38;21,64;173.346.031,00;8.029.400
RAIL3;26/06/2023;21,69;21,84;21,43;21,68;176.217.867,00;8.136.000
RAIL3;23/06/2023;22,28;22,28;21,69;21,82;601.484.088,00;27.325.700
RAIL3;22/06/2023;22,12;22,20;21,54;22,16;239.682.191,00;10.920.400
RAIL3;21/06/2023;22,34;22,35;21,81;22,27;400.389.715,00;18.111.800
RAIL3;20/06/2023;22,13;22,52;21,88;22,42;409.198.993,00;18.439.900
RAIL3;19/06/2023;21,81;22,33;21,69;22,13;209.677.131,00;9.469.800
RAIL3;16/06/2023;22,83;22,83;21,81;21,87;858.619.195,00;38.892.400
RAIL3;15/06/2023;22,50;23,03;22,43;22,96;310.459.362,00;13.628.400
RAIL3;14/06/2023;22,74;23,00;22,52;22,95;319.633.231,00;14.003.300
RAIL3;13/06/2023;22,56;22,68;22,29;22,58;210.538.908,00;9.342.900
RAIL3;12/06/2023;22,83;22,89;22,27;22,50;270.149.767,00;12.018.200
RAIL3;09/06/2023;22,74;23,10;22,32;22,40;239.859.764,00;10.639.000
RAIL3;07/06/2023;23,00;23,37;22,39;22,57;421.072.141,00;18.533.800
RAIL3;06/06/2023;22,73;23,03;22,59;22,93;413.326.886,00;18.065.500
RAIL3;05/06/2023;22,79;23,05;22,45;22,57;266.638.380,00;11.779.200
RAIL3;02/06/2023;22,19;22,82;22,03;22,63;562.727.677,00;24.884.000
RAIL3;01/06/2023;20,83;22,11;20,61;21,97;565.995.050,00;26.195.100
RAIL3;31/05/2023;20,84;20,89;20,52;20,82;291.169.757,00;14.038.900
RAIL3;30/05/2023;21,05;21,09;20,67;20,81;152.804.038,00;7.338.400
RAIL3;29/05/2023;20,82;20,97;20,59;20,75;127.983.816,00;6.163.800
RAIL3;26/05/2023;21,34;21,34;20,85;21,00;146.449.497,00;6.962.900
RAIL3;25/05/2023;20,98;21,29;20,91;20,99;183.518.639,00;8.705.700
RAIL3;24/05/2023;20,84;21,04;20,67;20,75;171.025.831,00;8.221.600
RAIL3;23/05/2023;20,97;21,31;20,61;21,01;137.781.979,00;6.525.700
RAIL3;22/05/2023;21,15;21,42;21,07;21,13;148.199.900,00;6.985.200
RAIL3;19/05/2023;21,25;21,40;20,92;21,18;166.812.429,00;7.892.900
RAIL3;18/05/2023;20,71;21,12;20,69;21,07;172.209.790,00;8.210.400
RAIL3;17/05/2023;20,96;21,02;20,65;20,82;309.156.738,00;14.854.100
RAIL3;16/05/2023;20,96;21,10;20,64;20,72;167.443.516,00;8.032.900
RAIL3;15/05/2023;20,93;21,09;20,83;20,99;136.501.629,00;6.512.400
RAIL3;12/05/2023;20,78;21,04;20,67;20,85;152.955.515,00;7.341.200
RAIL3;11/05/2023;20,29;20,94;20,21;20,84;264.782.176,00;12.813.900
RAIL3;10/05/2023;20,52;20,65;20,34;20,49;177.734.559,00;8.675.400
RAIL3;09/05/2023;20,51;20,84;20,43;20,49;167.774.394,00;8.132.500
RAIL3;08/05/2023;21,05;21,10;20,53;20,56;248.060.438,00;11.967.000
RAIL3;05/05/2023;20,80;21,13;20,43;20,95;712.972.201,00;34.242.800
RAIL3;04/05/2023;20,13;20,15;19,67;19,90;205.611.653,00;10.324.600
RAIL3;03/05/2023;19,68;20,12;19,54;19,94;274.402.787,00;13.781.300
RAIL3;02/05/2023;19,60;19,85;19,43;19,68;203.847.299,00;10.376.400
RAIL3;28/04/2023;19,50;19,85;19,39;19,70;165.435.539,00;8.410.000
RAIL3;27/04/2023;19,49;19,59;19,22;19,47;127.048.910,00;6.550.600
RAIL3;26/04/2023;19,60;19,82;19,39;19,50;100.348.754,00;5.133.400
RAIL3;25/04/2023;19,72;19,89;19,49;19,70;179.697.902,00;9.142.900
RAIL3;24/04/2023;19,84;19,91;19,48;19,75;159.339.541,00;8.066.100
RAIL3;20/04/2023;19,24;19,83;19,06;19,64;211.825.543,00;10.817.200
RAIL3;19/04/2023;19,36;19,46;19,12;19,24;140.486.879,00;7.259.500
RAIL3;18/04/2023;19,60;19,70;19,16;19,55;234.242.242,00;11.983.500
RAIL3;17/04/2023;19,22;19,72;19,19;19,63;277.201.612,00;14.130.500
RAIL3;14/04/2023;19,13;19,22;18,79;19,22;298.644.811,00;15.618.500
RAIL3;13/04/2023;19,43;19,49;19,07;19,17;175.186.389,00;9.094.700
RAIL3;12/04/2023;19,03;19,58;18,89;19,25;261.138.959,00;13.470.500
RAIL3;11/04/2023;18,94;19,08;18,55;18,97;232.258.914,00;12.286.600
RAIL3;10/04/2023;18,75;18,76;18,43;18,53;95.817.727,00;5.151.400
RAIL3;06/04/2023;18,57;18,74;18,44;18,60;97.778.506,00;5.240.300
RAIL3;05/04/2023;19,23;19,43;18,37;18,59;219.488.998,00;11.757.800
RAIL3;04/04/2023;18,98;19,51;18,96;19,14;255.659.728,00;13.225.200
RAIL3;03/04/2023;18,90;19,02;18,64;18,91;184.994.572,00;9.770.800
RAIL3;31/03/2023;19,04;19,31;18,70;18,79;254.274.781,00;13.402.400
RAIL3;30/03/2023;18,74;19,15;18,68;18,98;229.702.236,00;12.121.400
RAIL3;29/03/2023;18,59;18,71;18,25;18,64;113.726.273,00;6.125.700
RAIL3;28/03/2023;18,17;18,70;18,15;18,47;157.302.765,00;8.487.900
RAIL3;27/03/2023;18,19;18,40;18,10;18,27;93.208.304,00;5.089.600
RAIL3;24/03/2023;17,77;18,22;17,70;18,09;107.614.274,00;5.956.800
RAIL3;23/03/2023;18,36;18,52;17,52;17,77;186.294.119,00;10.396.100
RAIL3;22/03/2023;18,55;18,81;18,29;18,36;113.843.720,00;6.131.500
RAIL3;21/03/2023;18,46;18,67;18,36;18,51;91.343.899,00;4.924.500
RAIL3;20/03/2023;18,75;18,83;18,31;18,45;193.771.220,00;10.474.000
RAIL3;17/03/2023;18,51;18,79;18,14;18,72;280.982.428,00;15.079.000
RAIL3;16/03/2023;18,37;18,79;18,01;18,59;201.254.451,00;10.840.900
RAIL3;15/03/2023;17,94;18,61;17,72;18,43;346.985.719,00;18.948.100
RAIL3;14/03/2023;19,04;19,19;18,35;18,51;310.302.500,00;16.562.400
RAIL3;13/03/2023;18,79;19,11;18,61;18,90;124.863.920,00;6.577.000
RAIL3;10/03/2023;18,96;19,17;18,65;18,95;211.916.102,00;11.173.200
RAIL3;09/03/2023;18,94;19,54;18,93;19,01;248.503.087,00;12.899.800
RAIL3;08/03/2023;18,41;19,03;18,30;18,94;282.295.754,00;14.928.600
RAIL3;07/03/2023;18,04;18,57;18,01;18,31;257.718.811,00;14.025.000
RAIL3;06/03/2023;17,79;18,21;17,60;18,00;135.803.984,00;7.539.000
RAIL3;03/03/2023;17,70;17,84;17,51;17,63;227.810.376,00;12.829.100
RAIL3;02/03/2023;17,36;17,87;17,24;17,71;224.196.797,00;12.680.600
RAIL3;01/03/2023;18,00;18,02;17,10;17,37;239.241.236,00;13.692.700
RAIL3;28/02/2023;18,04;18,18;17,86;17,90;163.914.566,00;9.087.300
RAIL3;27/02/2023;17,95;18,12;17,81;18,02;140.892.028,00;7.794.500
RAIL3;24/02/2023;17,90;18,10;17,59;17,95;117.547.202,00;6.578.000
RAIL3;23/02/2023;17,94;18,13;17,51;17,85;99.773.165,00;5.588.400
RAIL3;22/02/2023;17,59;17,98;17,23;17,94;115.309.084,00;6.473.200
RAIL3;17/02/2023;17,75;18,42;17,75;18,20;181.352.371,00;9.952.500
RAIL3;16/02/2023;17,42;18,23;17,34;17,89;270.690.054,00;15.009.800
RAIL3;15/02/2023;17,33;17,63;16,91;17,37;201.362.486,00;11.563.400
RAIL3;14/02/2023;17,54;17,58;16,91;17,30;109.053.720,00;6.322.400
