Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RAIZ4;14/09/2023;3,97;4,01;3,95;3,99;7.099.930,00;1.781.900
RAIZ4;13/09/2023;3,88;4,02;3,88;3,94;69.461.365,00;17.539.200
RAIZ4;12/09/2023;3,80;3,94;3,78;3,88;60.665.682,00;15.643.400
RAIZ4;11/09/2023;3,74;3,79;3,71;3,78;41.134.950,00;10.948.100
RAIZ4;08/09/2023;3,69;3,75;3,67;3,71;96.497.946,00;26.012.500
RAIZ4;06/09/2023;3,74;3,87;3,70;3,74;85.001.767,00;22.601.400
RAIZ4;05/09/2023;3,55;3,78;3,54;3,74;93.531.024,00;25.454.100
RAIZ4;04/09/2023;3,63;3,68;3,58;3,60;31.688.256,00;8.761.800
RAIZ4;01/09/2023;3,66;3,74;3,63;3,63;62.888.459,00;17.137.800
RAIZ4;31/08/2023;3,75;3,76;3,62;3,63;79.854.283,00;21.834.900
RAIZ4;30/08/2023;3,82;3,85;3,71;3,75;56.305.973,00;14.976.600
RAIZ4;29/08/2023;3,78;3,83;3,74;3,82;51.152.243,00;13.500.400
RAIZ4;28/08/2023;3,84;3,84;3,70;3,74;104.186.282,00;27.825.500
RAIZ4;25/08/2023;3,78;3,83;3,71;3,79;80.058.736,00;21.145.500
RAIZ4;24/08/2023;3,61;3,81;3,60;3,73;155.563.932,00;42.061.000
RAIZ4;23/08/2023;3,55;3,72;3,53;3,61;158.813.620,00;43.671.600
RAIZ4;22/08/2023;3,53;3,56;3,43;3,52;79.135.079,00;22.700.700
RAIZ4;21/08/2023;3,60;3,62;3,48;3,50;43.178.825,00;12.245.200
RAIZ4;18/08/2023;3,51;3,63;3,49;3,59;56.624.099,00;15.827.600
RAIZ4;17/08/2023;3,61;3,63;3,49;3,52;77.436.054,00;22.006.300
RAIZ4;16/08/2023;3,78;3,79;3,53;3,60;99.458.422,00;27.173.700
RAIZ4;15/08/2023;3,74;3,99;3,69;3,78;145.456.200,00;38.223.200
RAIZ4;14/08/2023;3,83;3,83;3,73;3,77;75.279.028,00;20.013.700
