Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RDOR3;14/09/2023;29,43;29,68;28,82;28,84;27.854.556,00;954.500
RDOR3;13/09/2023;29,00;29,92;28,76;29,37;200.331.569,00;6.818.500
RDOR3;12/09/2023;29,42;30,18;29,03;29,08;255.253.491,00;8.594.900
RDOR3;11/09/2023;28,00;29,44;28,00;29,38;166.796.625,00;5.740.100
RDOR3;08/09/2023;28,24;28,46;27,90;28,25;90.718.879,00;3.219.100
RDOR3;06/09/2023;28,72;29,33;28,32;28,32;135.656.922,00;4.727.100
RDOR3;05/09/2023;28,73;29,05;28,49;28,73;130.746.205,00;4.542.300
RDOR3;04/09/2023;28,65;29,23;28,64;29,10;67.825.155,00;2.335.400
RDOR3;01/09/2023;28,70;29,01;28,55;28,86;153.729.567,00;5.335.300
RDOR3;31/08/2023;28,78;29,22;28,50;28,66;144.603.416,00;5.031.800
RDOR3;30/08/2023;29,74;29,74;28,51;28,64;138.745.163,00;4.806.400
RDOR3;29/08/2023;29,45;29,71;29,01;29,56;125.765.270,00;4.268.300
RDOR3;28/08/2023;29,21;29,49;28,91;29,14;89.663.787,00;3.078.500
RDOR3;25/08/2023;29,66;29,90;29,05;29,21;152.629.897,00;5.208.100
RDOR3;24/08/2023;30,04;30,06;29,57;29,66;125.408.547,00;4.218.400
RDOR3;23/08/2023;29,84;30,28;29,70;29,99;285.400.056,00;9.513.000
RDOR3;22/08/2023;30,09;30,28;29,85;29,89;150.594.133,00;5.023.500
RDOR3;21/08/2023;29,46;30,30;29,10;29,98;172.808.956,00;5.761.200
RDOR3;18/08/2023;30,30;30,60;29,61;29,74;230.025.914,00;7.656.700
RDOR3;17/08/2023;30,02;30,66;29,98;30,30;195.428.236,00;6.445.600
RDOR3;16/08/2023;30,75;30,79;29,78;30,05;353.830.859,00;11.718.200
RDOR3;15/08/2023;30,95;31,35;30,69;30,75;215.551.373,00;6.958.500
