Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RECV3;14/09/2023;21,70;22,10;21,67;21,93;12.515.533,00;572.500
RECV3;13/09/2023;21,97;22,17;21,58;21,58;66.100.457,00;3.026.200
RECV3;12/09/2023;22,03;22,41;21,89;22,06;64.796.271,00;2.928.000
RECV3;11/09/2023;22,07;22,36;21,71;21,97;54.348.294,00;2.472.100
RECV3;08/09/2023;21,58;22,20;21,15;22,07;39.497.339,00;1.801.600
RECV3;06/09/2023;22,56;22,56;21,70;21,75;88.913.147,00;4.049.200
RECV3;05/09/2023;23,70;23,92;22,51;22,57;178.977.364,00;7.842.700
RECV3;04/09/2023;23,58;23,88;23,29;23,88;54.344.156,00;2.295.900
RECV3;01/09/2023;23,45;23,56;23,00;23,56;173.703.455,00;7.407.800
RECV3;31/08/2023;23,40;23,48;22,93;23,16;78.030.627,00;3.357.500
RECV3;30/08/2023;23,38;23,55;23,14;23,20;64.618.598,00;2.774.600
RECV3;29/08/2023;22,74;23,29;22,74;23,26;42.155.238,00;1.823.800
RECV3;28/08/2023;23,23;23,51;22,78;22,78;50.482.287,00;2.197.900
RECV3;25/08/2023;23,54;23,69;22,99;23,26;50.791.492,00;2.188.700
RECV3;24/08/2023;23,61;23,91;23,37;23,38;31.694.199,00;1.344.000
RECV3;23/08/2023;22,94;23,78;22,59;23,71;46.577.014,00;1.997.100
RECV3;22/08/2023;22,90;23,24;22,57;23,00;44.047.593,00;1.923.700
RECV3;21/08/2023;22,85;23,48;22,51;22,76;74.094.906,00;3.232.700
RECV3;18/08/2023;22,50;23,30;22,40;22,82;57.786.677,00;2.526.400
RECV3;17/08/2023;22,50;22,91;22,28;22,54;42.108.701,00;1.862.400
RECV3;16/08/2023;22,70;23,08;22,28;22,28;75.933.824,00;3.357.400
RECV3;15/08/2023;23,21;23,35;22,33;22,44;62.675.400,00;2.766.300
RECV3;14/08/2023;23,05;23,47;22,72;23,18;51.361.333,00;2.219.300
RECV3;11/08/2023;23,84;24,10;22,71;23,20;122.079.286,00;5.230.600
