Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RENT3;14/09/2023;62,80;63,03;61,51;61,71;83.534.564,00;1.349.300
RENT3;13/09/2023;62,56;64,05;61,87;62,93;285.434.707,00;4.517.200
RENT3;12/09/2023;61,15;62,50;60,85;62,17;301.552.356,00;4.857.900
RENT3;11/09/2023;60,58;61,65;60,01;61,24;327.374.008,00;5.382.000
RENT3;08/09/2023;60,63;61,09;60,05;60,35;377.899.414,00;6.259.800
RENT3;06/09/2023;62,22;62,60;60,42;60,59;401.479.532,00;6.564.600
RENT3;05/09/2023;62,37;63,06;61,91;62,21;241.548.699,00;3.876.000
RENT3;04/09/2023;63,49;64,30;63,13;63,35;121.388.160,00;1.907.300
RENT3;01/09/2023;63,75;64,53;63,36;63,73;423.219.477,00;6.630.700
RENT3;31/08/2023;63,10;64,14;61,90;63,25;670.062.877,00;10.605.600
RENT3;30/08/2023;64,00;64,10;63,07;63,47;197.696.603,00;3.107.000
RENT3;29/08/2023;63,08;64,28;62,95;63,64;250.936.033,00;3.948.800
RENT3;28/08/2023;63,27;63,32;62,12;62,86;255.750.624,00;4.085.900
RENT3;25/08/2023;65,53;65,68;62,77;63,01;325.949.602,00;5.142.400
RENT3;24/08/2023;66,23;66,56;65,48;65,53;408.097.805,00;6.201.000
RENT3;23/08/2023;64,85;67,03;64,27;66,40;597.947.786,00;9.031.800
RENT3;22/08/2023;62,88;64,78;62,68;64,70;419.356.441,00;6.539.200
RENT3;21/08/2023;62,34;62,90;61,92;62,50;334.881.898,00;5.375.500
RENT3;18/08/2023;62,48;63,62;62,08;62,97;513.888.265,00;8.158.600
RENT3;17/08/2023;63,93;64,68;62,74;62,75;447.387.729,00;7.083.300
RENT3;16/08/2023;64,10;66,05;63,95;64,09;455.210.367,00;7.032.500
RENT3;15/08/2023;63,59;65,74;62,87;64,99;645.715.363,00;10.000.000
RENT3;14/08/2023;66,97;66,97;63,87;64,27;404.055.732,00;6.232.200
RENT3;11/08/2023;66,55;67,05;66,03;66,61;229.706.195,00;3.456.400
RENT3;10/08/2023;67,00;68,08;66,35;66,55;323.664.970,00;4.828.300
RENT3;09/08/2023;66,21;66,74;65,76;66,22;318.527.493,00;4.809.500
RENT3;08/08/2023;66,00;66,55;65,31;66,37;219.388.085,00;3.316.000
RENT3;07/08/2023;67,40;67,41;66,11;66,39;181.376.128,00;2.731.100
RENT3;04/08/2023;66,71;68,03;66,15;67,02;257.194.504,00;3.831.200
RENT3;03/08/2023;68,10;68,37;66,40;66,72;446.807.176,00;6.668.900
