Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
RRRP3;14/09/2023;32,41;32,75;32,31;32,52;29.429.170,00;903.700
RRRP3;13/09/2023;32,17;32,69;32,01;32,20;235.266.859,00;7.288.100
RRRP3;12/09/2023;32,55;33,23;32,33;32,91;117.976.394,00;3.587.700
RRRP3;11/09/2023;32,60;32,60;32,04;32,35;176.170.217,00;5.451.700
RRRP3;08/09/2023;32,50;32,58;32,16;32,31;88.681.861,00;2.743.400
RRRP3;06/09/2023;33,24;33,30;32,50;32,58;147.488.391,00;4.497.400
RRRP3;05/09/2023;32,85;33,52;32,65;33,22;200.051.703,00;6.024.000
RRRP3;04/09/2023;32,80;33,14;32,64;32,85;86.844.715,00;2.645.100
RRRP3;01/09/2023;33,41;33,75;32,85;33,20;111.095.288,00;3.354.800
RRRP3;31/08/2023;32,59;33,56;32,15;32,92;229.918.197,00;6.972.500
RRRP3;30/08/2023;32,06;32,27;31,52;32,20;104.293.763,00;3.258.400
RRRP3;29/08/2023;31,62;32,12;31,18;31,86;118.561.358,00;3.733.000
RRRP3;28/08/2023;31,78;32,08;31,25;31,32;152.455.271,00;4.847.200
RRRP3;25/08/2023;31,70;31,98;31,27;31,68;127.738.408,00;4.033.300
RRRP3;24/08/2023;31,61;31,87;31,11;31,47;108.782.738,00;3.458.600
RRRP3;23/08/2023;31,65;31,80;31,23;31,61;151.111.889,00;4.794.600
RRRP3;22/08/2023;31,63;32,03;30,86;31,77;150.560.600,00;4.780.600
RRRP3;21/08/2023;31,87;32,27;31,51;31,59;91.237.133,00;2.872.700
RRRP3;18/08/2023;31,70;31,97;31,31;31,75;147.925.563,00;4.665.600
RRRP3;17/08/2023;32,03;32,31;31,52;31,83;143.577.995,00;4.504.600
RRRP3;16/08/2023;32,63;32,79;31,59;31,59;268.162.685,00;8.367.200
RRRP3;15/08/2023;33,25;33,38;31,87;32,48;170.911.030,00;5.248.400
RRRP3;14/08/2023;33,36;33,41;32,69;33,04;168.826.647,00;5.110.000
RRRP3;11/08/2023;35,07;35,31;33,06;33,40;331.552.885,00;9.798.700
RRRP3;10/08/2023;36,90;37,20;34,85;35,05;335.241.693,00;9.425.600
RRRP3;09/08/2023;38,34;38,98;36,61;36,88;390.165.740,00;10.390.500
RRRP3;08/08/2023;35,39;37,17;34,92;37,00;191.391.612,00;5.246.700
RRRP3;07/08/2023;36,70;36,80;35,71;36,32;137.758.091,00;3.802.100
RRRP3;04/08/2023;35,97;37,23;35,97;36,68;204.483.222,00;5.570.500
RRRP3;03/08/2023;35,49;36,65;35,28;35,88;170.839.726,00;4.724.700
RRRP3;02/08/2023;35,00;35,20;34,32;35,06;118.607.974,00;3.405.100
RRRP3;01/08/2023;35,50;35,69;34,95;35,16;111.615.730,00;3.169.100
RRRP3;31/07/2023;35,75;35,85;35,38;35,55;80.736.288,00;2.268.200
RRRP3;28/07/2023;35,51;35,69;34,96;35,40;98.016.844,00;2.777.800
RRRP3;27/07/2023;36,80;36,95;35,01;35,19;150.121.049,00;4.209.100
RRRP3;26/07/2023;35,59;36,23;35,33;36,03;140.969.089,00;3.933.000
RRRP3;25/07/2023;37,02;37,02;35,65;35,91;179.236.697,00;4.963.500
RRRP3;24/07/2023;35,28;36,61;35,15;36,44;198.460.740,00;5.515.100
RRRP3;21/07/2023;34,76;35,67;34,70;35,00;290.102.513,00;8.260.600
RRRP3;20/07/2023;34,52;34,73;34,25;34,53;123.294.833,00;3.573.600
RRRP3;19/07/2023;33,64;34,65;33,64;34,25;255.676.590,00;7.449.400
RRRP3;18/07/2023;32,76;33,63;32,61;33,50;158.623.385,00;4.763.500
RRRP3;17/07/2023;32,31;32,88;32,04;32,76;103.600.299,00;3.184.500
RRRP3;14/07/2023;33,08;33,30;32,22;32,52;155.166.335,00;4.743.500
RRRP3;13/07/2023;31,70;33,00;31,50;32,95;184.717.852,00;5.667.700
RRRP3;12/07/2023;32,34;32,66;31,60;31,63;143.063.732,00;4.464.200
RRRP3;11/07/2023;31,69;32,25;30,68;32,03;149.072.888,00;4.703.500
RRRP3;10/07/2023;32,13;32,51;31,40;31,63;232.672.681,00;7.303.600
RRRP3;07/07/2023;30,83;32,55;30,81;32,25;415.432.257,00;12.945.800
