Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SANB11;14/09/2023;27,10;27,15;26,94;27,05;12.479.568,00;461.800
SANB11;13/09/2023;27,13;27,32;26,93;27,05;71.841.809,00;2.647.900
SANB11;12/09/2023;27,03;27,13;26,68;27,13;63.659.283,00;2.363.100
SANB11;11/09/2023;26,63;26,99;26,57;26,97;33.388.850,00;1.245.500
SANB11;08/09/2023;26,65;26,73;26,41;26,50;45.060.657,00;1.698.900
SANB11;06/09/2023;26,88;27,07;26,64;26,70;50.813.318,00;1.896.800
SANB11;05/09/2023;27,15;27,35;26,84;26,90;36.540.441,00;1.353.500
SANB11;04/09/2023;27,29;27,55;27,21;27,21;24.531.242,00;896.600
SANB11;01/09/2023;27,45;27,49;27,19;27,34;44.261.036,00;1.618.900
SANB11;31/08/2023;27,53;27,63;26,98;27,11;92.256.195,00;3.392.900
SANB11;30/08/2023;28,09;28,14;27,48;27,53;28.211.402,00;1.021.300
SANB11;29/08/2023;27,32;28,12;27,22;27,91;74.520.808,00;2.681.100
SANB11;28/08/2023;26,90;27,25;26,60;27,17;36.185.006,00;1.343.500
SANB11;25/08/2023;26,91;26,91;26,47;26,75;49.711.600,00;1.861.600
SANB11;24/08/2023;27,03;27,03;26,63;26,78;29.336.016,00;1.096.000
SANB11;23/08/2023;26,70;27,02;26,58;26,95;35.514.028,00;1.322.500
SANB11;22/08/2023;26,41;26,71;26,38;26,65;27.865.154,00;1.048.100
SANB11;21/08/2023;26,52;26,52;26,21;26,32;33.950.305,00;1.290.400
SANB11;18/08/2023;26,52;26,65;26,38;26,44;32.040.666,00;1.209.100
SANB11;17/08/2023;26,70;26,76;26,28;26,31;49.283.523,00;1.868.900
SANB11;16/08/2023;26,89;27,02;26,57;26,60;43.115.527,00;1.611.900
SANB11;15/08/2023;27,24;27,25;26,86;26,89;42.413.212,00;1.570.200
SANB11;14/08/2023;27,20;27,27;26,96;27,08;27.194.665,00;1.004.400
SANB11;11/08/2023;27,05;27,42;26,92;27,20;44.009.795,00;1.618.600
SANB11;10/08/2023;27,15;27,48;27,01;27,06;30.575.947,00;1.123.300
SANB11;09/08/2023;27,50;27,52;26,87;27,14;49.389.848,00;1.822.700
SANB11;08/08/2023;27,61;27,69;27,40;27,49;35.248.693,00;1.279.100
SANB11;07/08/2023;27,85;28,05;27,73;27,84;21.028.966,00;755.300
SANB11;04/08/2023;28,28;28,35;27,80;27,82;55.278.761,00;1.971.400
SANB11;03/08/2023;28,59;28,85;28,34;28,44;41.542.851,00;1.457.300
SANB11;02/08/2023;28,52;28,65;28,31;28,51;28.857.432,00;1.013.700
SANB11;01/08/2023;28,56;28,74;28,31;28,63;39.073.440,00;1.369.400
SANB11;31/07/2023;28,83;29,00;28,52;28,56;36.094.424,00;1.259.400
SANB11;28/07/2023;28,51;29,01;28,33;28,79;67.191.900,00;2.340.300
SANB11;27/07/2023;29,42;29,67;28,40;28,40;52.567.894,00;1.824.300
SANB11;26/07/2023;29,10;29,59;28,89;29,35;57.112.518,00;1.943.500
SANB11;25/07/2023;30,15;30,18;29,24;29,45;67.930.631,00;2.308.200
SANB11;24/07/2023;29,90;30,20;29,63;29,78;62.850.403,00;2.103.800
SANB11;21/07/2023;29,29;30,05;29,19;30,01;39.787.754,00;1.334.700
SANB11;20/07/2023;29,31;29,63;29,17;29,32;38.062.592,00;1.284.000
SANB11;19/07/2023;29,56;29,56;29,16;29,16;25.326.680,00;855.000
SANB11;18/07/2023;29,51;29,78;29,26;29,44;35.250.540,00;1.182.600
SANB11;17/07/2023;28,96;29,80;28,96;29,59;32.142.074,00;1.074.900
SANB11;14/07/2023;29,36;29,44;28,97;28,97;32.259.110,00;1.092.500
SANB11;13/07/2023;29,01;29,47;28,84;29,17;28.651.957,00;966.700
SANB11;12/07/2023;29,16;29,52;28,80;28,80;38.375.763,00;1.305.400
SANB11;11/07/2023;29,31;29,31;28,73;29,16;34.636.877,00;1.178.600
SANB11;10/07/2023;29,52;29,65;29,20;29,39;30.216.065,00;1.018.900
SANB11;07/07/2023;29,70;29,95;29,35;29,48;37.718.169,00;1.257.200
SANB11;06/07/2023;29,89;30,02;29,35;29,35;40.499.207,00;1.358.800
SANB11;05/07/2023;30,35;30,36;29,85;29,98;61.393.043,00;2.019.400
SANB11;04/07/2023;31,03;31,13;30,38;30,41;39.727.619,00;1.285.500
SANB11;03/07/2023;30,31;31,58;30,31;31,05;116.994.019,00;3.713.600
SANB11;30/06/2023;30,41;30,74;30,28;30,28;42.338.165,00;1.374.400
SANB11;29/06/2023;30,05;30,38;29,91;30,27;28.085.743,00;919.400
SANB11;28/06/2023;30,43;30,43;29,80;29,80;30.607.771,00;1.007.800
SANB11;27/06/2023;30,64;30,71;30,04;30,22;35.298.635,00;1.152.800
SANB11;26/06/2023;30,35;30,62;29,96;30,43;40.601.519,00;1.321.100
SANB11;23/06/2023;30,02;30,47;30,02;30,36;23.413.948,00;763.200
SANB11;22/06/2023;30,84;30,87;30,30;30,33;24.296.603,00;789.000
SANB11;21/06/2023;30,58;31,09;30,41;30,94;40.888.610,00;1.309.000
SANB11;20/06/2023;30,48;30,69;30,18;30,58;35.796.482,00;1.161.300
SANB11;19/06/2023;30,10;30,63;30,01;30,61;19.718.470,00;641.000
SANB11;16/06/2023;30,24;30,48;29,99;30,18;75.904.485,00;2.482.800
SANB11;15/06/2023;29,64;30,63;29,59;30,41;54.637.441,00;1.783.400
SANB11;14/06/2023;29,78;29,88;29,14;29,88;155.071.659,00;5.189.400
SANB11;13/06/2023;29,20;30,14;29,20;29,95;100.578.498,00;3.333.300
SANB11;12/06/2023;30,50;30,59;29,47;29,48;87.528.391,00;2.893.500
SANB11;09/06/2023;30,49;30,85;30,31;30,46;54.522.008,00;1.761.200
SANB11;07/06/2023;30,15;30,59;29,96;30,16;44.454.297,00;1.454.900
SANB11;06/06/2023;29,43;30,05;29,43;30,04;43.688.625,00;1.445.100
SANB11;05/06/2023;29,37;29,51;29,01;29,50;20.986.982,00;708.100
SANB11;02/06/2023;29,03;29,56;28,98;29,45;33.582.764,00;1.130.200
SANB11;01/06/2023;28,20;28,99;28,17;28,78;44.328.403,00;1.525.800
SANB11;31/05/2023;28,49;28,68;28,22;28,27;91.607.573,00;3.191.500
SANB11;30/05/2023;29,17;29,23;28,42;28,54;61.201.654,00;2.118.300
SANB11;29/05/2023;28,88;29,16;28,54;28,97;16.307.039,00;558.000
SANB11;26/05/2023;29,00;29,23;28,45;28,88;58.714.112,00;2.018.400
SANB11;25/05/2023;29,44;29,61;28,58;28,84;76.349.848,00;2.612.400
SANB11;24/05/2023;29,03;29,28;28,86;29,14;19.638.245,00;667.700
SANB11;23/05/2023;29,44;29,72;29,20;29,27;26.248.017,00;881.600
SANB11;22/05/2023;29,65;29,96;29,37;29,44;17.313.495,00;579.700
