Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SBSP3;14/09/2023;60,22;60,71;60,05;60,50;18.732.297,00;310.000
SBSP3;13/09/2023;59,72;60,24;59,12;60,08;118.700.655,00;1.982.100
SBSP3;12/09/2023;59,17;59,65;58,63;59,48;122.259.405,00;2.061.300
SBSP3;11/09/2023;58,16;59,44;57,80;59,00;148.498.981,00;2.525.800
SBSP3;08/09/2023;57,86;57,96;57,15;57,68;88.917.559,00;1.541.600
SBSP3;06/09/2023;58,44;59,25;57,86;57,86;97.200.760,00;1.666.700
SBSP3;05/09/2023;58,44;59,07;57,80;58,57;120.149.020,00;2.049.900
SBSP3;04/09/2023;58,82;59,00;58,32;58,85;46.238.032,00;787.300
SBSP3;01/09/2023;58,06;58,93;57,59;58,72;99.171.420,00;1.693.700
SBSP3;31/08/2023;58,46;58,69;57,70;57,92;123.639.998,00;2.129.100
SBSP3;30/08/2023;59,33;59,78;58,60;58,75;84.063.528,00;1.423.400
SBSP3;29/08/2023;59,21;59,49;58,23;59,05;125.581.273,00;2.132.900
SBSP3;28/08/2023;58,88;59,37;58,55;59,03;99.874.102,00;1.692.700
SBSP3;25/08/2023;59,30;59,60;58,31;58,94;128.049.126,00;2.172.500
SBSP3;24/08/2023;59,67;60,37;58,68;59,19;134.501.385,00;2.267.700
SBSP3;23/08/2023;59,82;60,44;58,85;59,05;117.104.706,00;1.975.500
SBSP3;22/08/2023;58,99;60,18;58,75;59,75;139.168.872,00;2.332.800
SBSP3;21/08/2023;59,60;59,88;58,30;58,47;88.500.422,00;1.507.300
SBSP3;18/08/2023;58,55;59,85;57,23;59,84;221.532.920,00;3.756.900
SBSP3;17/08/2023;58,13;59,40;57,83;58,55;317.927.705,00;5.442.500
SBSP3;16/08/2023;55,51;58,84;55,33;57,80;586.668.960,00;10.181.500
SBSP3;15/08/2023;56,08;56,23;54,77;54,77;79.929.101,00;1.448.300
SBSP3;14/08/2023;56,00;56,68;55,23;56,17;210.011.118,00;3.744.500
SBSP3;11/08/2023;54,21;56,38;54,02;56,16;386.249.288,00;6.951.700
SBSP3;10/08/2023;53,05;54,19;53,05;53,16;115.850.559,00;2.166.800
SBSP3;09/08/2023;53,63;53,63;52,69;53,31;76.193.490,00;1.432.300
SBSP3;08/08/2023;52,11;54,14;52,10;53,77;139.990.247,00;2.608.000
SBSP3;07/08/2023;53,26;53,49;52,64;53,18;103.431.480,00;1.949.400
SBSP3;04/08/2023;53,54;53,79;52,92;53,26;121.173.740,00;2.273.400
SBSP3;03/08/2023;55,43;55,71;53,40;53,60;172.171.684,00;3.191.900
SBSP3;02/08/2023;55,55;56,48;55,25;55,28;110.767.521,00;1.992.400
SBSP3;01/08/2023;58,07;58,07;54,84;55,70;415.693.223,00;7.442.200
SBSP3;31/07/2023;57,30;58,13;56,66;58,10;181.867.388,00;3.149.600
SBSP3;28/07/2023;56,48;57,24;56,14;56,69;166.973.490,00;2.949.800
SBSP3;27/07/2023;56,70;56,74;55,62;56,48;166.583.277,00;2.959.700
SBSP3;26/07/2023;55,81;56,35;55,23;56,27;101.432.066,00;1.814.100
