Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SIMH3;14/09/2023;9,91;10,01;9,89;9,92;4.374.228,00;439.700
SIMH3;13/09/2023;9,71;10,03;9,70;9,86;29.712.145,00;3.003.600
SIMH3;12/09/2023;9,64;9,79;9,54;9,68;21.738.654,00;2.236.400
SIMH3;11/09/2023;9,50;9,61;9,35;9,57;21.494.966,00;2.261.000
SIMH3;08/09/2023;9,53;9,61;9,41;9,43;18.035.161,00;1.902.900
SIMH3;06/09/2023;9,93;9,94;9,47;9,52;37.174.213,00;3.868.400
SIMH3;05/09/2023;10,06;10,09;9,75;9,89;27.678.463,00;2.799.600
SIMH3;04/09/2023;10,13;10,34;10,06;10,10;18.442.483,00;1.811.700
SIMH3;01/09/2023;9,85;10,16;9,85;10,10;25.845.375,00;2.573.700
SIMH3;31/08/2023;10,16;10,19;9,72;9,75;32.688.862,00;3.321.900
SIMH3;30/08/2023;10,17;10,35;10,10;10,10;22.359.723,00;2.195.000
SIMH3;29/08/2023;9,96;10,15;9,82;10,09;24.240.804,00;2.422.200
SIMH3;28/08/2023;9,97;10,07;9,78;9,90;27.430.363,00;2.775.500
SIMH3;25/08/2023;10,58;10,59;9,92;9,97;44.473.531,00;4.395.800
SIMH3;24/08/2023;10,61;10,75;10,54;10,57;17.997.055,00;1.695.200
SIMH3;23/08/2023;10,56;10,77;10,38;10,68;24.622.726,00;2.314.900
SIMH3;22/08/2023;10,17;10,53;10,16;10,48;23.033.781,00;2.218.200
SIMH3;21/08/2023;10,30;10,41;10,04;10,04;18.193.545,00;1.792.800
SIMH3;18/08/2023;9,90;10,29;9,82;10,24;31.221.733,00;3.069.200
SIMH3;17/08/2023;10,33;10,43;9,91;10,03;30.243.753,00;3.009.100
SIMH3;16/08/2023;10,38;10,57;10,25;10,32;22.664.164,00;2.176.700
SIMH3;15/08/2023;10,51;10,60;10,22;10,41;26.192.763,00;2.518.400
SIMH3;14/08/2023;10,54;10,81;10,35;10,50;23.716.496,00;2.240.200
SIMH3;11/08/2023;10,88;11,08;10,57;10,61;38.783.011,00;3.606.800
SIMH3;10/08/2023;10,80;10,97;10,75;10,97;23.163.450,00;2.125.600
SIMH3;09/08/2023;10,74;10,85;10,52;10,69;23.994.967,00;2.247.100
SIMH3;08/08/2023;10,60;10,91;10,46;10,75;21.794.432,00;2.033.300
