Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SLCE3;14/09/2023;40,33;40,38;39,87;39,93;7.414.342,00;184.800
SLCE3;13/09/2023;40,46;41,00;40,08;40,24;97.371.208,00;2.405.800
SLCE3;12/09/2023;39,82;40,98;39,46;40,47;88.309.661,00;2.180.900
SLCE3;11/09/2023;39,60;39,70;39,26;39,60;59.714.933,00;1.508.100
SLCE3;08/09/2023;39,90;39,92;39,32;39,60;24.968.706,00;631.800
SLCE3;06/09/2023;40,18;40,74;39,61;39,85;54.234.273,00;1.355.800
SLCE3;05/09/2023;40,50;40,82;39,98;40,24;42.996.430,00;1.065.900
SLCE3;04/09/2023;40,75;40,91;40,18;40,54;28.128.680,00;693.300
SLCE3;01/09/2023;40,72;40,82;40,18;40,57;48.905.828,00;1.206.300
SLCE3;31/08/2023;41,00;41,51;40,18;40,22;63.222.298,00;1.558.600
SLCE3;30/08/2023;41,41;41,59;41,01;41,15;32.617.782,00;791.700
SLCE3;29/08/2023;40,70;41,89;40,65;41,32;62.899.463,00;1.518.100
SLCE3;28/08/2023;39,95;40,77;39,92;40,61;70.172.336,00;1.737.700
SLCE3;25/08/2023;39,06;40,26;38,82;39,83;56.261.108,00;1.418.100
SLCE3;24/08/2023;40,12;40,15;38,34;39,09;72.015.057,00;1.846.900
SLCE3;23/08/2023;39,85;40,10;39,20;40,03;30.254.109,00;759.300
SLCE3;22/08/2023;39,42;39,90;39,22;39,68;25.633.213,00;646.200
SLCE3;21/08/2023;39,42;39,80;38,76;39,21;41.207.299,00;1.055.100
SLCE3;18/08/2023;39,28;39,59;38,67;39,26;32.250.151,00;822.600
SLCE3;17/08/2023;39,42;39,76;38,85;39,15;41.022.868,00;1.045.400
SLCE3;16/08/2023;40,18;40,18;39,07;39,36;89.039.306,00;2.250.300
SLCE3;15/08/2023;41,03;41,04;39,73;39,89;96.177.672,00;2.398.200
SLCE3;14/08/2023;42,85;42,85;41,07;41,20;85.900.254,00;2.062.100
SLCE3;11/08/2023;42,90;43,20;42,13;42,85;49.841.285,00;1.169.300
SLCE3;10/08/2023;42,85;43,59;41,74;42,90;105.890.680,00;2.477.100
SLCE3;09/08/2023;43,29;43,78;43,10;43,43;56.592.620,00;1.300.500
SLCE3;08/08/2023;43,81;44,04;42,95;43,47;68.141.598,00;1.567.500
SLCE3;07/08/2023;45,00;45,10;43,36;44,21;80.297.941,00;1.826.500
SLCE3;04/08/2023;44,24;45,45;44,12;44,90;69.678.034,00;1.551.900
SLCE3;03/08/2023;44,62;44,94;44,25;44,57;58.467.442,00;1.313.500
SLCE3;02/08/2023;44,44;44,95;44,06;44,30;78.659.372,00;1.769.400
SLCE3;01/08/2023;43,50;44,71;43,41;44,31;134.086.261,00;3.016.800
SLCE3;31/07/2023;44,07;44,28;43,33;43,65;79.404.821,00;1.818.800
SLCE3;28/07/2023;44,28;44,84;43,63;43,95;46.905.469,00;1.065.000
SLCE3;27/07/2023;43,01;45,03;43,01;44,30;202.556.249,00;4.553.900
SLCE3;26/07/2023;42,53;43,18;42,31;42,95;72.849.180,00;1.700.200
SLCE3;25/07/2023;42,43;42,73;42,19;42,52;65.080.234,00;1.533.700
SLCE3;24/07/2023;41,89;42,29;41,38;42,23;33.687.230,00;803.900
SLCE3;21/07/2023;41,90;42,05;41,51;41,82;58.643.700,00;1.403.600
SLCE3;20/07/2023;41,48;41,84;41,41;41,65;34.557.281,00;831.500
SLCE3;19/07/2023;40,88;41,75;40,65;41,44;57.697.535,00;1.393.900
SLCE3;18/07/2023;40,70;41,02;40,28;40,75;46.786.612,00;1.149.500
SLCE3;17/07/2023;40,35;40,98;40,18;40,63;82.257.736,00;2.025.200
SLCE3;14/07/2023;40,57;41,20;40,08;40,45;41.642.930,00;1.028.300
SLCE3;13/07/2023;40,78;40,83;40,07;40,60;69.168.242,00;1.710.400
