Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SMTO3;14/09/2023;39,17;39,75;38,85;39,37;11.935.941,00;302.900
SMTO3;13/09/2023;39,23;39,84;38,88;39,08;86.655.085,00;2.207.700
SMTO3;12/09/2023;38,32;39,39;38,18;39,19;60.827.488,00;1.556.800
SMTO3;11/09/2023;38,64;39,00;38,20;38,45;93.108.313,00;2.417.300
SMTO3;08/09/2023;38,57;38,95;38,45;38,55;45.262.563,00;1.174.300
SMTO3;06/09/2023;38,66;39,18;38,30;38,44;71.026.811,00;1.843.600
SMTO3;05/09/2023;38,00;39,04;37,68;38,43;130.286.185,00;3.399.200
SMTO3;04/09/2023;37,26;38,37;37,11;37,69;50.542.837,00;1.339.800
SMTO3;01/09/2023;36,49;37,46;36,49;37,26;57.684.586,00;1.556.300
SMTO3;31/08/2023;37,77;37,90;35,91;36,13;104.925.474,00;2.864.100
SMTO3;30/08/2023;38,00;38,28;37,54;37,68;104.285.832,00;2.753.800
SMTO3;29/08/2023;37,12;37,82;36,80;37,63;64.239.224,00;1.714.700
SMTO3;28/08/2023;36,87;37,16;36,13;37,02;49.361.339,00;1.346.000
SMTO3;25/08/2023;36,06;36,91;35,41;36,50;101.715.481,00;2.815.100
SMTO3;24/08/2023;34,80;35,49;34,45;35,09;73.111.638,00;2.081.600
SMTO3;23/08/2023;32,33;35,01;32,10;34,80;165.261.751,00;4.808.700
SMTO3;22/08/2023;32,80;32,81;32,00;32,33;52.907.651,00;1.640.200
SMTO3;21/08/2023;32,11;32,85;31,96;32,48;44.979.457,00;1.386.000
SMTO3;18/08/2023;31,80;32,28;31,58;32,10;47.407.538,00;1.480.200
SMTO3;17/08/2023;34,06;34,17;31,99;32,22;109.808.525,00;3.366.800
SMTO3;16/08/2023;35,49;35,80;33,91;34,06;65.165.412,00;1.885.000
SMTO3;15/08/2023;34,30;35,56;34,30;35,12;78.875.984,00;2.238.300
SMTO3;14/08/2023;34,66;34,80;34,23;34,33;38.431.803,00;1.114.500
