Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SOMA3;14/09/2023;8,03;8,10;7,78;7,78;17.446.559,00;2.196.500
SOMA3;13/09/2023;8,01;8,25;7,92;8,02;149.868.477,00;18.492.200
SOMA3;12/09/2023;7,70;8,00;7,59;7,93;92.605.010,00;11.800.700
SOMA3;11/09/2023;7,60;7,75;7,54;7,68;68.295.114,00;8.910.800
SOMA3;08/09/2023;7,64;7,69;7,41;7,52;60.994.806,00;8.081.900
SOMA3;06/09/2023;7,64;7,80;7,54;7,64;108.494.291,00;14.158.800
SOMA3;05/09/2023;7,54;7,75;7,28;7,59;173.210.112,00;23.112.000
SOMA3;04/09/2023;7,70;7,78;7,48;7,57;59.517.794,00;7.826.900
SOMA3;01/09/2023;7,59;7,94;7,53;7,70;191.201.943,00;24.688.700
SOMA3;31/08/2023;7,88;7,88;7,39;7,49;151.798.455,00;20.143.300
SOMA3;30/08/2023;8,02;8,09;7,85;7,92;76.388.822,00;9.615.600
SOMA3;29/08/2023;8,13;8,18;7,88;8,04;74.128.000,00;9.303.600
SOMA3;28/08/2023;8,15;8,24;7,87;8,09;108.134.760,00;13.480.400
SOMA3;25/08/2023;8,44;8,53;8,08;8,15;120.245.363,00;14.681.500
SOMA3;24/08/2023;8,82;8,82;8,43;8,48;81.906.445,00;9.596.800
SOMA3;23/08/2023;8,81;8,86;8,62;8,83;68.402.244,00;7.792.600
SOMA3;22/08/2023;8,70;9,02;8,62;8,80;129.281.328,00;14.694.700
SOMA3;21/08/2023;8,85;8,86;8,51;8,62;97.724.387,00;11.303.000
SOMA3;18/08/2023;8,64;8,99;8,56;8,87;142.084.553,00;16.042.400
SOMA3;17/08/2023;8,82;8,92;8,49;8,70;117.707.741,00;13.627.900
SOMA3;16/08/2023;9,05;9,23;8,72;8,78;136.005.824,00;15.188.800
SOMA3;15/08/2023;9,19;9,31;8,93;9,01;237.977.006,00;26.243.300
SOMA3;14/08/2023;9,30;9,61;9,14;9,19;146.436.144,00;15.613.700
SOMA3;11/08/2023;9,95;10,12;9,18;9,25;209.003.822,00;22.211.100
SOMA3;10/08/2023;10,44;10,49;9,73;9,98;494.014.638,00;48.947.800
SOMA3;09/08/2023;11,19;11,24;10,78;10,81;73.090.453,00;6.701.400
SOMA3;08/08/2023;11,07;11,37;10,78;11,25;51.009.230,00;4.555.800
SOMA3;07/08/2023;11,35;11,36;11,11;11,17;74.220.285,00;6.614.900
SOMA3;04/08/2023;11,11;11,68;11,11;11,36;80.600.339,00;7.038.400
SOMA3;03/08/2023;11,65;11,80;11,20;11,24;95.662.774,00;8.362.100
SOMA3;02/08/2023;11,36;11,57;11,33;11,42;69.379.935,00;6.065.600
SOMA3;01/08/2023;11,19;11,55;11,05;11,44;92.507.628,00;8.110.700
SOMA3;31/07/2023;11,19;11,39;11,11;11,24;84.498.409,00;7.489.900
SOMA3;28/07/2023;11,34;11,34;10,95;11,09;94.797.991,00;8.559.900
SOMA3;27/07/2023;11,39;11,54;11,17;11,22;82.364.080,00;7.250.300
SOMA3;26/07/2023;11,27;11,38;11,02;11,30;83.681.977,00;7.460.400
SOMA3;25/07/2023;11,53;11,71;11,22;11,29;108.052.372,00;9.449.200
SOMA3;24/07/2023;11,11;11,27;10,85;11,24;81.661.731,00;7.342.500
SOMA3;21/07/2023;10,63;10,99;10,58;10,99;89.575.507,00;8.225.500
SOMA3;20/07/2023;10,64;10,72;10,47;10,58;77.735.772,00;7.353.600
SOMA3;19/07/2023;10,75;10,75;10,35;10,54;110.495.333,00;10.497.900
SOMA3;18/07/2023;10,78;10,99;10,70;10,78;56.106.708,00;5.194.800
SOMA3;17/07/2023;10,65;10,90;10,59;10,84;81.133.161,00;7.511.700
SOMA3;14/07/2023;10,81;10,89;10,50;10,72;175.185.116,00;16.396.500
SOMA3;13/07/2023;11,20;11,38;10,89;10,95;158.853.915,00;14.319.800
SOMA3;12/07/2023;11,68;11,78;11,11;11,20;115.637.097,00;10.193.200
SOMA3;11/07/2023;11,62;11,65;11,26;11,54;106.770.128,00;9.280.900
SOMA3;10/07/2023;12,00;12,03;11,59;11,72;125.193.933,00;10.660.800
SOMA3;07/07/2023;12,01;12,36;11,93;12,02;110.767.656,00;9.156.000
SOMA3;06/07/2023;12,14;12,15;11,89;11,96;96.517.187,00;8.030.000
SOMA3;05/07/2023;12,02;12,37;11,93;12,27;89.319.034,00;7.327.100
SOMA3;04/07/2023;11,96;12,20;11,73;12,04;50.338.120,00;4.197.600
SOMA3;03/07/2023;12,11;12,22;11,86;12,07;83.925.041,00;6.963.100
SOMA3;30/06/2023;12,33;12,50;11,99;12,00;192.141.609,00;15.782.800
SOMA3;29/06/2023;11,85;12,26;11,79;12,18;76.381.964,00;6.291.200
SOMA3;28/06/2023;11,82;12,21;11,68;11,88;129.429.329,00;10.804.900
SOMA3;27/06/2023;12,27;12,48;11,53;11,78;209.608.627,00;17.708.800
SOMA3;26/06/2023;12,00;12,03;11,54;11,79;100.609.052,00;8.561.600
SOMA3;23/06/2023;12,04;12,23;11,94;12,03;86.449.342,00;7.166.700
SOMA3;22/06/2023;11,87;11,97;11,45;11,95;173.356.101,00;14.783.800
SOMA3;21/06/2023;11,75;12,14;11,63;12,03;130.195.903,00;10.901.500
SOMA3;20/06/2023;11,75;11,84;11,43;11,78;96.723.601,00;8.295.700
SOMA3;19/06/2023;11,77;11,93;11,61;11,80;84.961.500,00;7.220.300
SOMA3;16/06/2023;11,52;11,85;11,40;11,78;215.442.243,00;18.350.700
SOMA3;15/06/2023;11,41;11,73;11,28;11,57;80.064.535,00;6.910.600
SOMA3;14/06/2023;11,20;11,60;11,07;11,39;111.434.343,00;9.832.000
SOMA3;13/06/2023;11,39;11,48;11,06;11,13;94.396.733,00;8.413.300
SOMA3;12/06/2023;11,24;11,41;11,14;11,29;100.746.502,00;8.925.800
SOMA3;09/06/2023;11,27;11,52;11,06;11,18;110.453.938,00;9.816.200
SOMA3;07/06/2023;11,20;11,58;10,92;11,12;141.641.462,00;12.667.600
SOMA3;06/06/2023;10,77;11,15;10,68;11,00;115.276.891,00;10.481.300
SOMA3;05/06/2023;10,67;10,74;10,33;10,66;93.088.570,00;8.790.700
SOMA3;02/06/2023;10,82;11,20;10,57;10,69;190.808.291,00;17.639.200
SOMA3;01/06/2023;10,41;10,72;10,08;10,62;115.588.834,00;11.062.900
SOMA3;31/05/2023;10,25;10,44;10,13;10,35;67.923.605,00;6.574.500
SOMA3;30/05/2023;10,34;10,58;10,25;10,31;189.933.948,00;18.354.900
SOMA3;29/05/2023;10,30;10,38;10,13;10,23;75.984.303,00;7.427.300
