Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
STBP3;14/09/2023;9,44;9,44;9,28;9,35;3.076.481,00;329.500
STBP3;13/09/2023;9,38;9,53;9,32;9,37;48.404.408,00;5.121.300
STBP3;12/09/2023;9,03;9,34;9,00;9,32;30.908.911,00;3.341.900
STBP3;11/09/2023;9,00;9,13;8,89;9,04;30.145.165,00;3.347.800
STBP3;08/09/2023;8,96;9,21;8,79;8,99;66.496.138,00;7.321.500
STBP3;06/09/2023;8,70;9,03;8,63;8,96;62.332.291,00;6.961.500
STBP3;05/09/2023;8,69;8,77;8,48;8,70;35.885.087,00;4.144.000
STBP3;04/09/2023;8,78;8,88;8,68;8,70;14.934.332,00;1.707.700
STBP3;01/09/2023;8,65;8,82;8,58;8,75;42.901.964,00;4.902.100
STBP3;31/08/2023;8,72;8,74;8,45;8,63;44.029.879,00;5.147.200
STBP3;30/08/2023;8,81;8,93;8,71;8,74;15.460.594,00;1.756.400
STBP3;29/08/2023;8,97;9,00;8,78;8,85;31.000.916,00;3.502.600
STBP3;28/08/2023;8,85;9,01;8,81;8,92;56.531.873,00;6.337.600
STBP3;25/08/2023;9,08;9,14;8,76;8,83;54.697.040,00;6.169.200
STBP3;24/08/2023;9,32;9,32;8,98;9,09;48.380.114,00;5.329.900
STBP3;23/08/2023;9,30;9,43;9,19;9,30;24.056.013,00;2.585.300
STBP3;22/08/2023;9,06;9,25;9,03;9,24;35.133.254,00;3.851.300
STBP3;21/08/2023;9,14;9,15;8,95;9,05;26.523.671,00;2.937.900
STBP3;18/08/2023;9,22;9,23;8,89;9,14;29.382.318,00;3.234.000
STBP3;17/08/2023;9,34;9,39;9,08;9,18;21.694.053,00;2.366.000
STBP3;16/08/2023;9,28;9,48;9,26;9,32;49.218.069,00;5.273.300
STBP3;15/08/2023;9,31;9,46;9,30;9,30;18.559.073,00;1.987.000
STBP3;14/08/2023;9,73;9,73;9,28;9,34;45.117.767,00;4.818.800
STBP3;11/08/2023;9,99;10,09;9,63;9,73;30.732.999,00;3.138.600
STBP3;10/08/2023;9,75;9,99;9,75;9,99;49.172.962,00;4.897.200
STBP3;09/08/2023;9,70;9,79;9,43;9,75;40.123.758,00;4.107.200
STBP3;08/08/2023;9,54;9,77;9,42;9,74;16.195.054,00;1.654.700
STBP3;07/08/2023;9,80;9,82;9,57;9,64;25.377.906,00;2.608.300
STBP3;04/08/2023;9,49;9,87;9,47;9,78;39.698.667,00;4.026.700
STBP3;03/08/2023;9,51;9,54;9,32;9,43;38.572.208,00;4.053.900
STBP3;02/08/2023;9,50;9,54;9,41;9,48;19.643.014,00;2.054.300
STBP3;01/08/2023;9,48;9,67;9,39;9,50;40.869.473,00;4.248.300
