Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
SUZB3;14/09/2023;50,22;50,67;50,09;50,40;31.157.053,00;618.300
SUZB3;13/09/2023;50,05;50,58;49,67;50,25;191.324.789,00;3.816.200
SUZB3;12/09/2023;49,96;50,50;49,80;50,27;118.894.071,00;2.363.800
SUZB3;11/09/2023;48,88;50,35;48,46;49,97;271.153.458,00;5.462.400
SUZB3;08/09/2023;48,64;49,06;47,48;48,80;325.400.133,00;6.703.400
SUZB3;06/09/2023;50,82;50,98;49,77;49,86;155.861.639,00;3.107.100
SUZB3;05/09/2023;51,05;51,39;50,44;50,67;145.901.942,00;2.867.000
SUZB3;04/09/2023;50,93;51,47;50,65;50,97;90.842.256,00;1.780.100
SUZB3;01/09/2023;50,32;51,37;50,32;51,10;215.889.531,00;4.225.900
SUZB3;31/08/2023;50,81;51,20;50,15;50,15;237.146.854,00;4.708.800
SUZB3;30/08/2023;51,15;51,88;50,68;50,83;161.039.529,00;3.158.900
SUZB3;29/08/2023;50,30;51,19;50,30;51,15;104.276.393,00;2.046.800
SUZB3;28/08/2023;49,86;50,37;49,56;50,30;155.736.246,00;3.110.500
SUZB3;25/08/2023;49,12;50,13;49,12;49,90;125.637.616,00;2.530.100
SUZB3;24/08/2023;49,64;49,64;48,81;49,35;132.580.830,00;2.696.800
SUZB3;23/08/2023;49,83;49,92;49,14;49,48;184.049.184,00;3.721.600
SUZB3;22/08/2023;50,29;50,38;49,50;49,85;136.653.908,00;2.739.900
SUZB3;21/08/2023;50,61;50,84;49,83;50,08;130.596.062,00;2.601.300
SUZB3;18/08/2023;50,60;51,50;50,16;50,68;328.931.425,00;6.478.500
SUZB3;17/08/2023;50,23;50,85;49,82;50,40;348.809.339,00;6.931.400
SUZB3;16/08/2023;50,00;50,85;49,44;49,91;388.317.475,00;7.721.400
SUZB3;15/08/2023;51,40;51,40;49,83;50,04;131.951.120,00;2.621.900
SUZB3;14/08/2023;50,47;51,05;49,71;50,92;207.224.957,00;4.083.100
SUZB3;11/08/2023;49,45;50,40;49,31;50,17;308.300.640,00;6.151.900
SUZB3;10/08/2023;49,49;49,92;49,19;49,35;145.229.079,00;2.934.600
SUZB3;09/08/2023;49,70;49,80;48,45;49,30;207.235.438,00;4.221.500
SUZB3;08/08/2023;50,49;50,49;49,42;49,75;183.494.733,00;3.683.800
SUZB3;07/08/2023;50,65;51,00;50,18;50,52;172.419.888,00;3.411.900
SUZB3;04/08/2023;49,45;51,50;49,25;50,27;395.153.563,00;7.808.300
SUZB3;03/08/2023;48,40;50,47;48,07;49,64;449.514.739,00;9.053.300
SUZB3;02/08/2023;48,37;48,37;47,67;47,89;171.834.317,00;3.588.300
SUZB3;01/08/2023;48,11;48,88;47,93;48,38;160.521.328,00;3.310.700
SUZB3;31/07/2023;47,39;48,61;47,34;48,07;221.626.707,00;4.599.800
SUZB3;28/07/2023;47,26;47,31;46,42;47,21;149.330.579,00;3.174.900
SUZB3;27/07/2023;46,53;47,41;46,30;47,20;172.980.615,00;3.681.600
SUZB3;26/07/2023;44,82;46,65;44,82;46,47;282.423.766,00;6.158.200
SUZB3;25/07/2023;45,16;45,84;44,81;45,23;171.137.518,00;3.786.600
SUZB3;24/07/2023;43,92;45,06;43,60;45,02;290.579.737,00;6.553.100
SUZB3;21/07/2023;43,60;44,11;43,29;44,06;136.241.192,00;3.101.800
SUZB3;20/07/2023;43,55;43,97;43,50;43,65;101.683.433,00;2.327.000
SUZB3;19/07/2023;44,67;44,67;43,28;43,47;185.312.348,00;4.247.900
SUZB3;18/07/2023;44,50;44,80;44,16;44,57;127.010.990,00;2.857.600
SUZB3;17/07/2023;44,73;45,09;44,22;44,40;162.233.901,00;3.649.200
SUZB3;14/07/2023;44,42;44,66;44,15;44,55;124.997.534,00;2.813.200
SUZB3;13/07/2023;44,32;44,96;44,19;44,37;164.131.110,00;3.679.900
SUZB3;12/07/2023;44,39;44,50;43,91;44,18;111.535.723,00;2.521.600
SUZB3;11/07/2023;44,00;44,26;43,68;44,05;312.313.794,00;7.097.500
SUZB3;10/07/2023;44,37;44,48;43,92;44,03;103.483.079,00;2.343.300
SUZB3;07/07/2023;44,10;45,13;44,08;44,51;176.874.562,00;3.957.500
SUZB3;06/07/2023;44,19;44,65;43,84;44,11;160.552.785,00;3.634.100
SUZB3;05/07/2023;44,60;45,16;44,15;44,45;196.584.595,00;4.418.600
SUZB3;04/07/2023;44,20;44,87;43,98;44,73;159.425.759,00;3.587.800
SUZB3;03/07/2023;44,31;45,49;44,00;44,22;523.669.747,00;11.744.200
