Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TAEE11;14/09/2023;34,90;35,00;34,75;34,95;12.843.471,00;367.800
TAEE11;13/09/2023;34,83;34,96;34,65;34,78;72.618.337,00;2.081.600
TAEE11;12/09/2023;34,71;34,89;34,61;34,78;45.877.200,00;1.319.900
TAEE11;11/09/2023;34,30;34,81;34,19;34,70;84.867.041,00;2.452.500
TAEE11;08/09/2023;34,08;34,39;34,00;34,25;43.317.992,00;1.265.400
TAEE11;06/09/2023;34,40;34,60;34,00;34,00;78.695.379,00;2.305.600
TAEE11;05/09/2023;34,97;34,97;34,30;34,30;86.046.802,00;2.494.600
TAEE11;04/09/2023;35,07;35,13;34,80;34,86;36.297.653,00;1.037.700
TAEE11;01/09/2023;34,31;35,05;34,25;34,91;162.995.095,00;4.697.800
TAEE11;31/08/2023;34,82;34,83;34,20;34,20;85.343.327,00;2.482.300
TAEE11;30/08/2023;35,09;35,09;34,65;34,81;58.581.186,00;1.685.300
TAEE11;29/08/2023;34,82;35,10;34,78;34,94;64.345.934,00;1.842.300
TAEE11;28/08/2023;34,79;34,83;34,43;34,73;55.287.786,00;1.596.900
TAEE11;25/08/2023;34,95;34,99;34,77;34,77;51.223.203,00;1.468.200
TAEE11;24/08/2023;34,90;34,90;34,60;34,90;50.529.846,00;1.453.700
TAEE11;23/08/2023;34,55;34,62;34,39;34,57;56.556.897,00;1.638.800
TAEE11;22/08/2023;34,54;34,59;34,36;34,50;53.232.222,00;1.544.400
TAEE11;21/08/2023;34,75;34,85;34,40;34,45;103.539.032,00;3.003.500
TAEE11;18/08/2023;34,55;35,09;34,55;34,72;75.226.533,00;2.158.500
TAEE11;17/08/2023;34,51;34,62;34,36;34,50;52.898.940,00;1.533.300
TAEE11;16/08/2023;34,56;34,74;34,34;34,45;70.571.772,00;2.044.600
TAEE11;15/08/2023;34,88;35,03;34,50;34,50;57.410.223,00;1.655.900
TAEE11;14/08/2023;34,94;34,98;34,73;34,82;47.535.955,00;1.363.600
TAEE11;11/08/2023;34,98;35,17;34,60;34,83;69.742.718,00;2.003.700
TAEE11;10/08/2023;34,83;35,25;34,83;34,88;51.030.933,00;1.459.200
TAEE11;09/08/2023;35,36;35,45;34,69;34,69;117.727.783,00;3.369.300
TAEE11;08/08/2023;35,47;35,62;35,28;35,31;80.693.113,00;2.278.800
TAEE11;07/08/2023;35,90;36,03;35,53;35,53;136.731.959,00;3.746.200
TAEE11;04/08/2023;35,73;36,24;35,68;35,68;83.010.978,00;2.254.500
TAEE11;03/08/2023;35,68;35,90;35,54;35,60;108.028.059,00;2.955.500
TAEE11;02/08/2023;35,37;35,50;35,18;35,39;94.930.294,00;2.624.400
TAEE11;01/08/2023;35,34;35,42;35,14;35,32;57.178.491,00;1.584.300
TAEE11;31/07/2023;35,40;35,54;35,19;35,19;103.183.214,00;2.854.100
TAEE11;28/07/2023;35,55;35,58;35,36;35,38;28.878.854,00;796.600
TAEE11;27/07/2023;35,50;35,69;35,29;35,29;97.716.470,00;2.688.300
