Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TIMS3;14/09/2023;14,94;15,10;14,93;14,98;5.723.652,00;381.600
TIMS3;13/09/2023;14,90;15,06;14,90;14,90;58.910.650,00;3.936.600
TIMS3;12/09/2023;14,66;15,00;14,66;14,90;63.257.278,00;4.246.300
TIMS3;11/09/2023;14,44;14,72;14,39;14,71;69.041.747,00;4.726.900
TIMS3;08/09/2023;14,28;14,64;14,18;14,44;68.061.823,00;4.700.100
TIMS3;06/09/2023;14,32;14,55;14,29;14,38;69.908.338,00;4.836.600
TIMS3;05/09/2023;14,45;14,59;14,15;14,32;85.892.026,00;5.960.900
TIMS3;04/09/2023;14,52;14,67;14,52;14,53;35.890.249,00;2.461.700
TIMS3;01/09/2023;14,50;14,75;14,42;14,52;196.768.820,00;13.551.700
TIMS3;31/08/2023;14,64;14,85;14,41;14,41;110.436.591,00;7.600.400
TIMS3;30/08/2023;15,00;15,03;14,72;14,72;74.059.248,00;5.009.600
TIMS3;29/08/2023;14,58;15,00;14,58;14,99;80.301.439,00;5.392.700
TIMS3;28/08/2023;14,69;14,85;14,56;14,57;71.742.381,00;4.916.700
TIMS3;25/08/2023;14,66;14,79;14,65;14,70;100.317.114,00;6.820.900
TIMS3;24/08/2023;14,64;14,73;14,58;14,66;40.486.908,00;2.761.000
TIMS3;23/08/2023;14,73;14,80;14,60;14,68;77.527.556,00;5.278.100
TIMS3;22/08/2023;14,55;14,80;14,48;14,73;74.450.959,00;5.059.200
TIMS3;21/08/2023;14,76;14,83;14,54;14,55;58.166.226,00;3.975.900
TIMS3;18/08/2023;14,85;15,00;14,76;14,90;83.046.696,00;5.574.200
TIMS3;17/08/2023;15,05;15,05;14,72;14,79;187.782.656,00;12.604.400
TIMS3;16/08/2023;14,85;15,08;14,81;15,00;167.286.414,00;11.151.300
TIMS3;15/08/2023;14,91;15,05;14,87;14,87;78.529.429,00;5.247.700
TIMS3;14/08/2023;14,97;15,01;14,76;14,91;87.259.064,00;5.845.100
TIMS3;11/08/2023;14,83;15,00;14,77;14,89;138.003.318,00;9.264.300
TIMS3;10/08/2023;14,75;14,98;14,71;14,87;83.708.593,00;5.635.500
TIMS3;09/08/2023;14,57;14,85;14,53;14,71;98.910.744,00;6.725.300
TIMS3;08/08/2023;14,27;14,64;14,10;14,57;99.508.512,00;6.863.600
TIMS3;07/08/2023;14,54;14,58;14,26;14,40;62.658.659,00;4.360.100
TIMS3;04/08/2023;14,18;14,67;14,06;14,50;97.010.071,00;6.715.000
TIMS3;03/08/2023;14,34;14,46;14,05;14,28;144.833.843,00;10.184.700
TIMS3;02/08/2023;14,37;14,45;14,27;14,35;153.960.570,00;10.706.800
TIMS3;01/08/2023;14,60;14,67;14,11;14,35;203.754.505,00;14.145.900
TIMS3;31/07/2023;14,63;14,63;14,26;14,34;164.306.623,00;11.378.100
TIMS3;28/07/2023;14,39;14,58;14,33;14,46;51.869.713,00;3.582.900
TIMS3;27/07/2023;14,60;14,81;14,37;14,39;119.771.945,00;8.255.200
TIMS3;26/07/2023;14,24;14,73;14,17;14,67;151.072.716,00;10.367.600
TIMS3;25/07/2023;14,40;14,46;14,08;14,20;78.032.068,00;5.492.200
TIMS3;24/07/2023;14,06;14,37;13,97;14,19;131.461.917,00;9.250.100
TIMS3;21/07/2023;14,08;14,32;13,96;14,17;53.628.204,00;3.776.400
TIMS3;20/07/2023;13,74;14,00;13,71;14,00;77.090.221,00;5.541.500
TIMS3;19/07/2023;13,86;13,94;13,69;13,78;62.838.498,00;4.558.700
TIMS3;18/07/2023;13,91;14,07;13,82;13,86;56.249.883,00;4.042.700
TIMS3;17/07/2023;14,07;14,09;13,88;13,98;54.376.254,00;3.895.700
TIMS3;14/07/2023;14,18;14,25;14,02;14,06;56.021.509,00;3.969.900
TIMS3;13/07/2023;14,00;14,42;13,95;14,25;62.756.509,00;4.402.300
TIMS3;12/07/2023;13,99;14,25;13,83;14,03;100.184.716,00;7.102.600
TIMS3;11/07/2023;14,12;14,12;13,74;13,99;87.999.709,00;6.324.500
TIMS3;10/07/2023;14,12;14,31;14,04;14,13;124.767.582,00;8.809.800
TIMS3;07/07/2023;14,16;14,29;13,99;14,19;94.140.363,00;6.657.600
TIMS3;06/07/2023;14,30;14,39;13,89;14,08;119.177.220,00;8.487.000
TIMS3;05/07/2023;14,37;14,49;14,34;14,37;56.883.114,00;3.946.100
TIMS3;04/07/2023;14,29;14,55;14,28;14,47;47.989.063,00;3.321.400
TIMS3;03/07/2023;14,65;14,65;14,22;14,29;80.557.213,00;5.598.500
TIMS3;30/06/2023;14,59;14,81;14,52;14,62;85.170.511,00;5.803.900
TIMS3;29/06/2023;14,27;14,55;14,27;14,52;59.489.938,00;4.111.900
TIMS3;28/06/2023;14,20;14,34;14,06;14,20;163.738.664,00;11.561.200
TIMS3;27/06/2023;14,34;14,38;14,10;14,20;60.069.539,00;4.229.500
TIMS3;26/06/2023;14,50;14,53;14,21;14,30;61.357.507,00;4.290.600
TIMS3;23/06/2023;14,76;14,76;14,46;14,53;65.116.179,00;4.464.000
TIMS3;22/06/2023;14,68;14,80;14,56;14,63;60.590.560,00;4.111.600
TIMS3;21/06/2023;14,90;15,00;14,65;14,76;90.012.979,00;6.063.700
TIMS3;20/06/2023;14,79;14,90;14,63;14,89;80.809.436,00;5.431.200
TIMS3;19/06/2023;14,77;14,94;14,61;14,82;72.171.085,00;4.852.100
TIMS3;16/06/2023;14,97;15,14;14,67;14,80;108.297.900,00;7.263.700
TIMS3;15/06/2023;15,06;15,10;14,87;15,02;89.795.578,00;5.964.500
TIMS3;14/06/2023;14,66;15,11;14,52;15,08;119.993.048,00;7.957.600
TIMS3;13/06/2023;14,80;15,06;14,62;14,62;73.228.636,00;4.926.000
TIMS3;12/06/2023;14,52;14,75;14,42;14,75;53.459.735,00;3.634.400
TIMS3;09/06/2023;14,25;14,67;14,18;14,52;97.987.729,00;6.697.500
TIMS3;07/06/2023;14,29;14,36;14,09;14,19;103.256.344,00;7.207.400
TIMS3;06/06/2023;13,87;14,26;13,74;14,15;68.007.537,00;4.802.300
TIMS3;05/06/2023;13,88;13,97;13,73;13,83;48.661.343,00;3.494.400
TIMS3;02/06/2023;13,73;13,94;13,63;13,92;70.377.577,00;5.051.700
TIMS3;01/06/2023;13,86;13,92;13,57;13,66;145.799.145,00;10.596.500
TIMS3;31/05/2023;14,20;14,30;13,72;13,86;201.648.832,00;14.409.700
TIMS3;30/05/2023;14,32;14,46;14,23;14,27;86.976.582,00;6.030.300
TIMS3;29/05/2023;14,24;14,32;14,14;14,27;22.974.417,00;1.602.500
TIMS3;26/05/2023;14,33;14,38;14,16;14,23;42.079.329,00;2.934.700
TIMS3;25/05/2023;14,26;14,38;14,09;14,30;49.117.534,00;3.421.700
TIMS3;24/05/2023;13,96;14,25;13,94;14,10;62.311.712,00;4.375.800
TIMS3;23/05/2023;13,90;14,25;13,90;14,07;86.294.994,00;6.058.500
TIMS3;22/05/2023;13,97;14,18;13,81;13,96;57.991.227,00;4.116.100
TIMS3;19/05/2023;13,74;14,01;13,68;13,88;123.384.544,00;8.823.900
TIMS3;18/05/2023;13,63;13,88;13,53;13,74;72.296.061,00;5.211.300
TIMS3;17/05/2023;13,83;13,96;13,60;13,65;51.916.504,00;3.756.800
TIMS3;16/05/2023;13,80;13,94;13,76;13,78;53.533.367,00;3.838.800
TIMS3;15/05/2023;13,91;13,91;13,72;13,77;47.954.084,00;3.453.900
TIMS3;12/05/2023;14,02;14,05;13,75;13,87;65.302.223,00;4.666.500
TIMS3;11/05/2023;13,58;14,01;13,57;14,01;135.742.776,00;9.720.500
TIMS3;10/05/2023;13,48;13,71;13,25;13,65;111.492.789,00;8.216.900
TIMS3;09/05/2023;13,91;13,94;13,14;13,52;144.102.479,00;10.689.500
TIMS3;08/05/2023;13,83;13,92;13,70;13,91;135.631.924,00;9.734.000
