Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TOTS3;14/09/2023;28,69;29,16;28,69;28,96;26.378.686,00;909.600
TOTS3;13/09/2023;28,52;29,25;28,43;28,70;255.766.111,00;8.853.200
TOTS3;12/09/2023;28,03;28,70;27,97;28,62;73.322.175,00;2.579.000
TOTS3;11/09/2023;27,77;28,19;27,53;28,03;282.976.227,00;10.169.200
TOTS3;08/09/2023;27,69;27,86;27,43;27,70;113.753.744,00;4.111.500
TOTS3;06/09/2023;27,67;27,90;27,60;27,76;143.718.737,00;5.174.000
TOTS3;05/09/2023;27,88;28,03;27,60;27,73;95.802.687,00;3.446.800
TOTS3;04/09/2023;27,65;27,94;27,48;27,94;39.735.497,00;1.429.100
TOTS3;01/09/2023;27,75;28,26;27,74;27,80;65.301.827,00;2.343.700
TOTS3;31/08/2023;28,41;28,59;27,41;27,74;173.000.110,00;6.218.100
TOTS3;30/08/2023;28,82;28,98;28,40;28,51;74.342.846,00;2.600.300
TOTS3;29/08/2023;28,42;28,78;28,31;28,63;54.837.104,00;1.916.900
TOTS3;28/08/2023;28,08;28,39;28,01;28,26;80.443.483,00;2.845.800
TOTS3;25/08/2023;28,17;28,18;27,60;27,85;106.591.579,00;3.826.300
TOTS3;24/08/2023;28,35;28,57;28,10;28,19;75.454.677,00;2.667.400
TOTS3;23/08/2023;27,87;28,43;27,86;28,26;109.574.065,00;3.880.800
TOTS3;22/08/2023;27,69;28,50;27,69;27,88;148.912.521,00;5.314.500
TOTS3;21/08/2023;27,89;28,19;27,60;27,63;82.353.920,00;2.964.800
TOTS3;18/08/2023;27,72;28,43;27,57;27,92;134.162.664,00;4.785.600
TOTS3;17/08/2023;27,58;28,36;27,49;27,72;243.731.232,00;8.731.500
TOTS3;16/08/2023;27,44;27,83;27,36;27,39;122.493.886,00;4.444.700
TOTS3;15/08/2023;27,47;27,67;27,12;27,50;117.228.626,00;4.270.700
TOTS3;14/08/2023;27,11;27,62;26,86;27,51;119.231.603,00;4.358.300
TOTS3;11/08/2023;27,75;28,01;27,03;27,33;230.990.024,00;8.443.900
TOTS3;10/08/2023;28,51;28,75;27,88;27,90;209.679.396,00;7.443.800
TOTS3;09/08/2023;28,40;28,75;27,46;28,29;557.926.775,00;19.692.700
TOTS3;08/08/2023;29,18;29,60;28,77;29,47;97.261.007,00;3.326.900
TOTS3;07/08/2023;29,21;29,67;29,03;29,62;51.946.544,00;1.763.000
TOTS3;04/08/2023;29,57;29,85;29,14;29,31;53.684.202,00;1.820.800
TOTS3;03/08/2023;29,85;30,39;29,51;29,57;121.403.677,00;4.064.200
TOTS3;02/08/2023;29,64;29,78;29,33;29,47;57.195.764,00;1.938.300
TOTS3;01/08/2023;29,35;30,01;29,23;29,61;109.227.409,00;3.692.300
TOTS3;31/07/2023;29,38;29,84;29,15;29,57;112.459.453,00;3.801.500
TOTS3;28/07/2023;29,33;29,37;28,95;29,21;47.121.996,00;1.616.800
TOTS3;27/07/2023;29,43;29,84;28,99;29,02;96.349.158,00;3.267.200
TOTS3;26/07/2023;29,25;29,59;29,04;29,53;55.256.606,00;1.870.000
TOTS3;25/07/2023;29,70;29,88;29,10;29,25;64.339.137,00;2.175.000
TOTS3;24/07/2023;29,07;29,40;28,83;29,33;57.583.062,00;1.961.800
TOTS3;21/07/2023;28,54;29,07;28,43;29,07;119.639.655,00;4.108.900
TOTS3;20/07/2023;28,74;28,84;28,10;28,34;160.530.068,00;5.625.000
TOTS3;19/07/2023;28,94;29,06;28,54;28,82;149.206.061,00;5.147.500
TOTS3;18/07/2023;28,69;29,33;28,56;28,95;247.912.004,00;8.494.600
TOTS3;17/07/2023;28,82;29,51;28,54;29,38;93.297.181,00;3.178.700
TOTS3;14/07/2023;29,54;29,98;29,15;29,23;75.195.598,00;2.533.500
TOTS3;13/07/2023;29,42;30,29;29,21;29,74;86.087.383,00;2.861.800
TOTS3;12/07/2023;29,55;29,99;29,37;29,42;159.991.256,00;5.356.300
TOTS3;11/07/2023;29,55;29,83;29,07;29,48;105.926.805,00;3.568.700
TOTS3;10/07/2023;30,27;30,34;29,79;29,82;62.463.199,00;2.071.900
TOTS3;07/07/2023;29,93;30,43;29,81;30,30;84.999.013,00;2.788.300
TOTS3;06/07/2023;30,44;30,44;29,69;29,75;81.027.569,00;2.689.800
TOTS3;05/07/2023;29,85;30,82;29,75;30,62;89.650.621,00;2.915.200
TOTS3;04/07/2023;30,38;30,68;30,05;30,09;38.597.519,00;1.264.000
TOTS3;03/07/2023;30,08;30,88;29,76;30,38;153.122.055,00;4.992.900
TOTS3;30/06/2023;29,61;30,36;29,45;29,78;122.852.863,00;4.067.200
TOTS3;29/06/2023;28,91;29,59;28,86;29,37;67.305.840,00;2.279.600
TOTS3;28/06/2023;29,20;29,41;28,60;28,80;89.816.371,00;3.081.600
TOTS3;27/06/2023;29,50;29,63;28,70;29,03;92.805.791,00;3.174.100
TOTS3;26/06/2023;29,57;29,61;28,66;29,17;122.704.877,00;4.197.000
TOTS3;23/06/2023;29,21;29,66;28,78;29,57;114.058.307,00;3.864.300
TOTS3;22/06/2023;29,11;29,11;28,18;28,78;151.414.573,00;5.261.500
TOTS3;21/06/2023;29,60;29,68;28,65;29,30;120.155.269,00;4.095.600
TOTS3;20/06/2023;29,66;29,80;29,19;29,73;149.620.182,00;5.025.600
TOTS3;19/06/2023;29,66;29,97;29,57;29,79;47.737.953,00;1.592.300
TOTS3;16/06/2023;30,07;30,21;29,62;29,68;174.128.223,00;5.813.500
TOTS3;15/06/2023;29,67;30,15;29,49;30,15;177.061.231,00;5.877.900
TOTS3;14/06/2023;29,70;30,10;29,20;29,70;206.432.526,00;6.920.200
TOTS3;13/06/2023;30,34;30,53;29,59;29,75;205.440.095,00;6.837.900
TOTS3;12/06/2023;30,03;30,48;29,84;30,31;119.877.799,00;3.941.500
TOTS3;09/06/2023;29,70;29,95;29,43;29,66;108.018.941,00;3.615.600
TOTS3;07/06/2023;29,55;29,91;29,11;29,50;144.166.073,00;4.861.400
TOTS3;06/06/2023;28,75;29,47;28,69;29,37;141.105.040,00;4.793.800
TOTS3;05/06/2023;28,44;28,56;28,01;28,51;94.227.938,00;3.304.600
TOTS3;02/06/2023;30,20;30,24;28,04;28,64;244.072.579,00;8.440.800
TOTS3;01/06/2023;28,66;30,02;28,54;29,89;133.550.541,00;4.499.700
TOTS3;31/05/2023;28,67;28,94;28,44;28,57;139.178.170,00;4.830.400
TOTS3;30/05/2023;29,12;29,39;28,70;28,92;95.111.396,00;3.263.600
TOTS3;29/05/2023;29,37;29,51;28,99;29,10;72.619.501,00;2.472.500
TOTS3;26/05/2023;29,96;29,96;29,24;29,56;106.547.580,00;3.578.200
TOTS3;25/05/2023;28,60;29,88;28,49;29,64;206.297.705,00;6.926.600
