Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
TRPL4;14/09/2023;23,89;24,02;23,83;23,99;6.603.221,00;275.400
TRPL4;13/09/2023;24,22;24,22;23,81;23,81;108.031.463,00;4.500.500
TRPL4;12/09/2023;24,34;24,41;24,08;24,15;66.266.920,00;2.739.000
TRPL4;11/09/2023;24,11;24,34;23,96;24,27;57.385.827,00;2.377.200
TRPL4;08/09/2023;24,19;24,26;24,08;24,11;34.462.228,00;1.426.800
TRPL4;06/09/2023;24,32;24,44;24,12;24,15;64.336.470,00;2.658.700
TRPL4;05/09/2023;24,55;24,62;24,28;24,28;104.692.582,00;4.280.800
TRPL4;04/09/2023;24,86;24,98;24,68;24,77;50.611.309,00;2.043.200
TRPL4;01/09/2023;24,95;25,06;24,79;24,79;59.628.484,00;2.397.100
TRPL4;31/08/2023;25,16;25,16;24,87;24,92;30.888.675,00;1.236.700
TRPL4;30/08/2023;25,35;25,37;25,01;25,14;54.576.288,00;2.172.500
TRPL4;29/08/2023;25,27;25,38;25,14;25,32;29.366.082,00;1.162.300
TRPL4;28/08/2023;25,15;25,26;24,97;25,25;24.392.163,00;971.800
TRPL4;25/08/2023;25,26;25,35;25,10;25,15;40.628.381,00;1.610.900
TRPL4;24/08/2023;25,12;25,25;24,99;25,25;60.727.611,00;2.417.400
TRPL4;23/08/2023;25,08;25,16;24,93;25,12;38.404.667,00;1.534.800
TRPL4;22/08/2023;25,08;25,11;24,87;25,08;52.070.834,00;2.082.300
TRPL4;21/08/2023;25,21;25,28;24,98;25,05;47.099.308,00;1.878.400
TRPL4;18/08/2023;25,29;25,42;25,10;25,21;25.093.635,00;993.300
TRPL4;17/08/2023;25,25;25,33;25,07;25,29;37.555.329,00;1.489.300
TRPL4;16/08/2023;25,04;25,28;24,93;25,22;58.151.995,00;2.311.800
TRPL4;15/08/2023;25,50;25,53;25,00;25,00;34.830.985,00;1.383.500
TRPL4;14/08/2023;25,53;25,66;25,37;25,53;35.071.871,00;1.374.400
TRPL4;11/08/2023;25,11;25,53;25,00;25,52;43.958.806,00;1.738.700
TRPL4;10/08/2023;25,13;25,30;25,00;25,10;24.241.866,00;963.000
TRPL4;09/08/2023;25,18;25,25;24,99;25,13;43.361.730,00;1.727.900
TRPL4;08/08/2023;25,23;25,40;25,10;25,11;45.734.169,00;1.813.800
TRPL4;07/08/2023;25,93;25,94;25,15;25,23;66.522.395,00;2.612.300
TRPL4;04/08/2023;25,67;26,08;25,51;25,55;28.100.859,00;1.089.300
TRPL4;03/08/2023;25,71;25,91;25,59;25,66;36.668.405,00;1.424.300
TRPL4;02/08/2023;25,54;25,89;25,50;25,64;38.655.458,00;1.505.600
TRPL4;01/08/2023;25,15;25,59;25,09;25,45;51.214.206,00;2.012.100
TRPL4;31/07/2023;25,11;25,25;25,04;25,10;46.265.423,00;1.839.600
TRPL4;28/07/2023;25,23;25,40;24,98;25,07;24.330.172,00;968.500
TRPL4;27/07/2023;25,31;25,40;25,12;25,23;34.322.868,00;1.359.100
TRPL4;26/07/2023;25,08;25,42;25,04;25,30;37.611.947,00;1.490.800
TRPL4;25/07/2023;25,13;25,25;24,95;25,06;38.334.950,00;1.529.200
TRPL4;24/07/2023;24,94;25,24;24,92;25,13;18.877.859,00;752.400
TRPL4;21/07/2023;24,82;25,03;24,80;24,93;22.276.870,00;893.000
TRPL4;20/07/2023;24,85;24,94;24,65;24,82;24.692.634,00;997.300
TRPL4;19/07/2023;24,94;25,00;24,72;24,81;16.767.762,00;674.800
TRPL4;18/07/2023;25,03;25,07;24,82;24,93;31.306.231,00;1.257.300
TRPL4;17/07/2023;25,00;25,04;24,75;24,95;54.871.706,00;2.205.600
TRPL4;14/07/2023;24,90;25,19;24,89;25,02;50.328.835,00;2.009.400
TRPL4;13/07/2023;25,05;25,29;25,01;25,27;25.794.190,00;1.022.600
TRPL4;12/07/2023;24,92;25,29;24,89;24,99;30.491.394,00;1.215.300
TRPL4;11/07/2023;25,20;25,20;24,67;24,88;48.033.477,00;1.931.700
TRPL4;10/07/2023;25,27;25,34;25,12;25,16;23.498.858,00;932.100
TRPL4;07/07/2023;25,05;25,36;25,01;25,23;24.239.779,00;960.100
TRPL4;06/07/2023;25,23;25,28;24,93;25,05;36.380.129,00;1.451.900
TRPL4;05/07/2023;25,20;25,41;25,08;25,30;30.673.556,00;1.212.800
TRPL4;04/07/2023;25,08;25,27;25,01;25,23;27.711.574,00;1.102.100
TRPL4;03/07/2023;25,40;25,48;25,00;25,08;57.012.609,00;2.266.100
TRPL4;30/06/2023;25,32;25,65;25,22;25,36;58.058.275,00;2.288.100
TRPL4;29/06/2023;24,96;25,33;24,81;25,22;44.539.421,00;1.772.300
TRPL4;28/06/2023;25,00;25,12;24,86;24,86;35.919.235,00;1.438.500
TRPL4;27/06/2023;25,20;25,41;24,78;24,98;102.924.637,00;4.116.400
TRPL4;26/06/2023;25,76;25,81;25,57;25,60;30.551.817,00;1.192.100
TRPL4;23/06/2023;25,29;25,99;25,13;25,78;65.867.680,00;2.565.600
TRPL4;22/06/2023;25,28;25,33;25,05;25,15;19.256.333,00;766.200
TRPL4;21/06/2023;25,38;25,44;25,14;25,31;62.316.044,00;2.463.900
TRPL4;20/06/2023;25,16;25,48;24,98;25,38;52.137.858,00;2.063.800
TRPL4;19/06/2023;25,13;25,47;24,98;25,16;38.702.614,00;1.534.800
TRPL4;16/06/2023;25,05;25,33;24,90;24,90;51.008.422,00;2.037.100
TRPL4;15/06/2023;25,44;25,44;25,01;25,21;47.833.647,00;1.900.500
TRPL4;14/06/2023;25,17;25,65;25,04;25,44;69.435.219,00;2.738.900
TRPL4;13/06/2023;25,36;25,38;25,00;25,16;28.279.881,00;1.125.900
TRPL4;12/06/2023;25,29;25,39;25,14;25,35;28.399.769,00;1.123.100
TRPL4;09/06/2023;24,59;25,35;24,59;25,24;56.431.496,00;2.249.500
TRPL4;07/06/2023;24,42;24,67;24,42;24,59;27.999.982,00;1.139.200
TRPL4;06/06/2023;24,17;24,52;24,11;24,42;37.274.459,00;1.531.700
TRPL4;05/06/2023;24,32;24,46;24,12;24,15;30.268.679,00;1.251.400
TRPL4;02/06/2023;24,28;24,39;24,11;24,31;45.823.194,00;1.888.800
TRPL4;01/06/2023;24,41;24,51;24,09;24,21;70.763.211,00;2.918.300
TRPL4;31/05/2023;25,20;25,20;24,40;24,40;52.164.865,00;2.108.900
TRPL4;30/05/2023;25,28;25,34;25,03;25,20;34.707.388,00;1.376.700
TRPL4;29/05/2023;24,97;25,26;24,96;25,15;32.446.762,00;1.289.400
TRPL4;26/05/2023;25,00;25,09;24,79;24,97;32.068.343,00;1.285.300
TRPL4;25/05/2023;24,76;24,96;24,76;24,89;19.129.588,00;768.800
TRPL4;24/05/2023;24,60;24,75;24,51;24,68;25.840.370,00;1.047.200
TRPL4;23/05/2023;24,42;24,90;24,39;24,57;34.094.545,00;1.383.600
TRPL4;22/05/2023;24,45;24,84;24,45;24,46;29.700.936,00;1.208.600
TRPL4;19/05/2023;24,50;24,78;24,44;24,45;64.201.739,00;2.612.400
TRPL4;18/05/2023;24,70;24,94;24,47;24,49;68.873.097,00;2.795.300
TRPL4;17/05/2023;24,70;24,92;24,65;24,71;32.996.253,00;1.331.400
TRPL4;16/05/2023;24,82;25,04;24,68;24,70;41.824.728,00;1.683.700
TRPL4;15/05/2023;24,62;24,93;24,53;24,82;59.204.551,00;2.391.700
TRPL4;12/05/2023;24,59;24,74;24,46;24,64;38.071.690,00;1.546.400
TRPL4;11/05/2023;24,50;24,78;24,24;24,62;67.611.376,00;2.760.500
TRPL4;10/05/2023;24,40;24,54;24,20;24,50;34.426.690,00;1.410.100
TRPL4;09/05/2023;24,23;24,48;24,16;24,37;60.491.269,00;2.486.800
TRPL4;08/05/2023;23,96;24,44;23,96;24,23;65.387.798,00;2.698.900
TRPL4;05/05/2023;23,85;24,22;23,72;24,04;64.154.642,00;2.665.500
TRPL4;04/05/2023;23,67;23,95;23,56;23,82;59.215.017,00;2.489.900
TRPL4;03/05/2023;23,21;23,69;23,18;23,45;52.097.277,00;2.217.500
TRPL4;02/05/2023;23,00;23,18;22,88;23,12;45.132.712,00;1.957.600
TRPL4;28/04/2023;22,48;23,15;22,41;23,05;58.752.830,00;2.560.800
TRPL4;27/04/2023;22,35;22,52;22,31;22,47;19.859.926,00;885.000
TRPL4;26/04/2023;22,49;22,68;22,23;22,35;39.193.318,00;1.749.600
TRPL4;25/04/2023;22,44;22,62;22,40;22,58;59.249.974,00;2.634.100
TRPL4;24/04/2023;22,41;22,71;22,38;22,62;31.547.799,00;1.398.400
TRPL4;20/04/2023;22,40;22,50;22,30;22,44;27.366.992,00;1.220.700
TRPL4;19/04/2023;22,32;22,54;22,24;22,40;33.715.175,00;1.504.100
TRPL4;18/04/2023;22,55;22,55;22,22;22,33;25.780.987,00;1.155.600
TRPL4;17/04/2023;22,52;22,57;22,30;22,44;40.934.615,00;1.826.500
TRPL4;14/04/2023;22,60;22,63;22,21;22,51;30.070.791,00;1.342.700
TRPL4;13/04/2023;22,65;22,65;22,32;22,57;52.306.520,00;2.323.900
TRPL4;12/04/2023;22,50;22,83;22,34;22,60;74.577.348,00;3.295.900
