Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
UGPA3;14/09/2023;18,33;18,79;18,33;18,66;18.545.788,00;997.200
UGPA3;13/09/2023;18,82;18,91;18,29;18,33;215.651.386,00;11.637.300
UGPA3;12/09/2023;19,00;19,20;18,89;19,11;101.086.232,00;5.297.300
UGPA3;11/09/2023;18,38;18,96;18,38;18,96;93.213.381,00;4.972.100
UGPA3;08/09/2023;18,30;18,60;18,23;18,38;102.901.032,00;5.581.700
UGPA3;06/09/2023;18,32;18,66;18,19;18,34;74.643.419,00;4.067.100
UGPA3;05/09/2023;18,20;18,50;18,16;18,33;58.349.058,00;3.175.400
UGPA3;04/09/2023;18,27;18,54;18,19;18,34;41.578.264,00;2.266.000
UGPA3;01/09/2023;18,26;18,58;18,26;18,41;72.653.553,00;3.945.500
UGPA3;31/08/2023;18,71;18,77;18,09;18,16;102.897.872,00;5.634.800
UGPA3;30/08/2023;18,91;18,94;18,71;18,73;35.302.304,00;1.877.100
UGPA3;29/08/2023;18,69;18,85;18,55;18,85;50.809.326,00;2.708.900
UGPA3;28/08/2023;18,64;18,70;18,29;18,61;46.278.002,00;2.502.000
UGPA3;25/08/2023;18,46;18,62;18,36;18,51;58.249.337,00;3.150.700
UGPA3;24/08/2023;18,47;18,65;18,39;18,46;43.125.595,00;2.332.900
UGPA3;23/08/2023;18,35;18,63;18,32;18,58;93.905.208,00;5.079.100
UGPA3;22/08/2023;18,25;18,56;18,11;18,52;76.589.251,00;4.164.400
UGPA3;21/08/2023;18,00;18,34;17,93;18,25;73.633.089,00;4.037.100
UGPA3;18/08/2023;18,34;18,52;18,13;18,30;76.099.075,00;4.164.300
UGPA3;17/08/2023;18,52;18,74;18,28;18,33;113.589.309,00;6.073.900
UGPA3;16/08/2023;18,33;18,88;18,33;18,48;109.447.591,00;5.796.400
UGPA3;15/08/2023;18,32;19,38;18,08;18,49;170.921.653,00;9.042.000
UGPA3;14/08/2023;18,36;18,61;18,22;18,34;69.356.965,00;3.718.100
UGPA3;11/08/2023;18,27;18,66;18,19;18,36;65.574.009,00;3.516.400
UGPA3;10/08/2023;18,86;18,86;17,73;18,25;229.733.061,00;12.456.800
UGPA3;09/08/2023;19,02;19,05;18,56;18,91;129.812.485,00;6.813.000
UGPA3;08/08/2023;18,78;19,23;18,59;19,03;74.354.998,00;3.853.800
UGPA3;07/08/2023;18,69;19,15;18,69;19,00;50.335.014,00;2.614.300
UGPA3;04/08/2023;18,69;19,30;18,65;18,79;89.975.475,00;4.676.900
UGPA3;03/08/2023;18,87;19,04;18,63;18,77;66.222.791,00;3.478.500
UGPA3;02/08/2023;18,72;18,89;18,50;18,80;56.262.346,00;2.965.100
UGPA3;01/08/2023;18,38;18,81;18,33;18,72;66.977.335,00;3.551.200
UGPA3;31/07/2023;18,70;18,79;18,56;18,64;55.976.482,00;2.960.100
UGPA3;28/07/2023;18,66;18,72;18,40;18,63;48.709.894,00;2.590.100
UGPA3;27/07/2023;18,74;18,91;18,43;18,45;77.613.846,00;4.113.100
UGPA3;26/07/2023;18,98;19,06;18,51;18,71;88.481.768,00;4.660.800
UGPA3;25/07/2023;19,61;19,63;18,89;19,06;62.920.839,00;3.256.900
UGPA3;24/07/2023;18,65;19,20;18,58;19,20;105.536.386,00;5.463.800
UGPA3;21/07/2023;18,73;19,01;18,57;18,83;65.864.543,00;3.452.000
UGPA3;20/07/2023;18,80;18,80;18,25;18,62;72.676.093,00;3.872.000
UGPA3;19/07/2023;18,99;19,01;18,31;18,63;91.417.428,00;4.855.700
UGPA3;18/07/2023;19,40;19,49;18,90;19,11;107.173.426,00;5.515.700
UGPA3;17/07/2023;19,42;19,66;19,26;19,47;127.071.344,00;6.445.000
UGPA3;14/07/2023;19,43;19,61;19,26;19,47;139.256.023,00;7.061.600
UGPA3;13/07/2023;19,06;19,66;19,06;19,52;140.987.024,00;7.123.600
UGPA3;12/07/2023;18,95;19,24;18,88;19,01;83.271.011,00;4.303.700
UGPA3;11/07/2023;19,03;19,03;18,44;18,97;142.910.763,00;7.489.100
UGPA3;10/07/2023;18,94;19,28;18,85;19,15;94.506.262,00;4.877.900
UGPA3;07/07/2023;18,37;19,13;18,27;19,04;181.809.805,00;9.474.500
UGPA3;06/07/2023;18,51;18,64;18,09;18,20;80.583.892,00;4.357.000
UGPA3;05/07/2023;18,44;18,77;18,33;18,60;97.579.563,00;5.166.100
UGPA3;04/07/2023;18,69;18,75;18,41;18,47;33.650.926,00;1.789.300
UGPA3;03/07/2023;18,68;18,92;18,60;18,66;81.248.981,00;4.272.500
UGPA3;30/06/2023;18,65;18,87;18,51;18,64;142.656.955,00;7.524.800
UGPA3;29/06/2023;17,65;18,75;17,65;18,50;215.993.460,00;11.495.400
UGPA3;28/06/2023;17,57;17,83;17,46;17,62;66.337.511,00;3.703.800
UGPA3;27/06/2023;17,87;17,90;17,32;17,59;151.983.892,00;8.554.200
UGPA3;26/06/2023;17,92;17,92;17,71;17,85;86.849.196,00;4.814.800
UGPA3;23/06/2023;17,77;17,90;17,52;17,87;95.708.729,00;5.318.900
UGPA3;22/06/2023;17,87;17,96;17,54;17,87;129.284.502,00;7.193.600
UGPA3;21/06/2023;17,83;18,22;17,83;18,08;86.997.915,00;4.756.600
UGPA3;20/06/2023;17,66;17,94;17,50;17,94;116.418.418,00;6.443.500
UGPA3;19/06/2023;17,39;17,71;17,30;17,67;40.316.817,00;2.262.500
UGPA3;16/06/2023;17,51;17,69;17,36;17,40;153.277.138,00;8.666.800
UGPA3;15/06/2023;17,73;17,83;17,58;17,67;91.005.833,00;5.070.800
UGPA3;14/06/2023;17,75;17,83;17,47;17,76;149.253.098,00;8.329.800
UGPA3;13/06/2023;17,73;17,77;17,46;17,58;108.140.329,00;6.065.500
UGPA3;12/06/2023;17,97;17,98;17,65;17,69;79.090.185,00;4.398.600
UGPA3;09/06/2023;17,64;18,01;17,50;17,86;141.751.642,00;7.846.600
UGPA3;07/06/2023;17,76;17,84;17,24;17,48;173.886.749,00;9.779.500
UGPA3;06/06/2023;17,90;17,98;17,49;17,64;147.589.478,00;8.225.000
UGPA3;05/06/2023;17,61;17,90;17,60;17,75;65.125.973,00;3.621.200
UGPA3;02/06/2023;17,64;18,08;17,60;17,76;199.026.114,00;11.022.700
UGPA3;01/06/2023;16,69;17,41;16,65;17,41;191.208.939,00;10.945.500
UGPA3;31/05/2023;16,74;16,76;16,51;16,70;207.512.188,00;12.278.000
UGPA3;30/05/2023;16,88;17,01;16,47;16,74;108.228.107,00;6.387.200
UGPA3;29/05/2023;16,66;16,71;16,49;16,70;73.173.387,00;4.336.700
UGPA3;26/05/2023;17,05;17,09;16,39;16,59;107.792.670,00;6.394.700
UGPA3;25/05/2023;17,44;17,78;16,83;16,86;159.632.316,00;9.227.100
UGPA3;24/05/2023;16,87;17,45;16,76;17,21;165.654.750,00;9.527.500
UGPA3;23/05/2023;17,23;17,33;16,99;17,02;73.942.560,00;4.254.200
UGPA3;22/05/2023;17,17;17,48;16,92;17,17;122.101.179,00;7.012.200
UGPA3;19/05/2023;17,52;17,54;17,07;17,28;160.799.852,00;9.173.500
UGPA3;18/05/2023;16,96;17,51;16,96;17,38;172.696.567,00;9.820.500
UGPA3;17/05/2023;16,72;17,08;16,68;16,97;95.174.154,00;5.539.100
UGPA3;16/05/2023;16,73;17,03;16,62;16,68;114.976.941,00;6.736.900
UGPA3;15/05/2023;16,74;16,87;16,57;16,74;109.681.877,00;6.469.000
UGPA3;12/05/2023;16,67;16,78;16,50;16,69;104.905.089,00;6.210.500
UGPA3;11/05/2023;16,29;17,27;16,23;16,98;194.266.955,00;11.365.400
UGPA3;10/05/2023;16,50;16,69;16,25;16,35;113.295.265,00;6.811.700
UGPA3;09/05/2023;16,63;16,91;16,40;16,51;117.818.186,00;7.016.300
UGPA3;08/05/2023;16,09;16,77;16,06;16,50;135.187.986,00;8.058.200
UGPA3;05/05/2023;16,06;16,27;15,73;16,15;184.544.970,00;11.319.300
UGPA3;04/05/2023;15,41;16,13;15,10;15,97;541.304.948,00;34.079.400
UGPA3;03/05/2023;14,11;14,39;13,97;14,29;122.881.477,00;8.504.900
UGPA3;02/05/2023;14,13;14,39;13,80;14,08;170.414.696,00;12.000.200
UGPA3;28/04/2023;14,01;14,38;13,94;14,25;108.229.099,00;7.489.800
UGPA3;27/04/2023;13,99;14,06;13,82;13,98;79.186.510,00;5.596.400
UGPA3;26/04/2023;14,22;14,30;13,92;13,97;95.564.483,00;6.709.800
UGPA3;25/04/2023;14,38;14,46;14,25;14,28;111.152.521,00;7.657.600
UGPA3;24/04/2023;14,16;14,48;14,02;14,39;129.783.771,00;8.954.000
UGPA3;20/04/2023;14,31;14,49;14,07;14,17;161.438.137,00;11.198.000
UGPA3;19/04/2023;14,33;14,54;14,24;14,30;177.730.159,00;12.199.700
UGPA3;18/04/2023;14,30;14,48;14,15;14,38;118.475.085,00;8.142.200
UGPA3;17/04/2023;14,43;14,52;14,03;14,27;183.592.386,00;12.679.700
UGPA3;14/04/2023;14,40;14,71;14,30;14,61;101.700.903,00;6.892.500
UGPA3;13/04/2023;14,70;14,79;14,53;14,53;99.983.554,00;6.748.300
UGPA3;12/04/2023;14,49;14,86;14,36;14,69;170.547.200,00;11.504.900
UGPA3;11/04/2023;14,40;14,68;14,33;14,53;109.250.525,00;7.428.400
UGPA3;10/04/2023;14,36;14,41;14,20;14,26;114.379.937,00;7.881.900
UGPA3;06/04/2023;14,03;14,38;13,91;14,24;128.090.060,00;8.859.200
UGPA3;05/04/2023;14,00;14,25;13,73;14,12;112.902.275,00;7.922.000
UGPA3;04/04/2023;13,86;14,17;13,82;14,00;102.304.454,00;7.196.800
UGPA3;03/04/2023;13,81;13,84;13,48;13,78;71.937.161,00;5.178.100
