Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
USIM5;14/09/2023;6,84;7,01;6,82;6,95;51.305.014,00;7.386.400
USIM5;13/09/2023;6,83;6,84;6,78;6,80;68.615.664,00;10.085.700
USIM5;12/09/2023;6,90;6,91;6,81;6,82;82.547.972,00;12.070.400
USIM5;11/09/2023;6,88;6,93;6,82;6,90;73.096.512,00;10.622.500
USIM5;08/09/2023;6,87;6,88;6,79;6,83;37.014.315,00;5.420.500
USIM5;06/09/2023;6,89;6,99;6,87;6,92;55.301.793,00;7.990.900
USIM5;05/09/2023;6,97;7,01;6,90;6,90;61.692.705,00;8.887.800
USIM5;04/09/2023;6,92;7,07;6,90;6,99;49.956.780,00;7.125.300
USIM5;01/09/2023;6,91;6,96;6,89;6,93;58.845.094,00;8.495.300
USIM5;31/08/2023;6,86;6,93;6,83;6,88;73.094.585,00;10.629.600
USIM5;30/08/2023;7,00;7,01;6,94;6,96;46.368.202,00;6.651.800
USIM5;29/08/2023;6,87;6,95;6,87;6,95;44.714.680,00;6.461.900
USIM5;28/08/2023;6,80;6,90;6,77;6,88;56.223.760,00;8.204.200
USIM5;25/08/2023;6,85;6,85;6,78;6,80;32.561.499,00;4.781.600
USIM5;24/08/2023;6,85;6,89;6,82;6,84;36.927.843,00;5.394.400
USIM5;23/08/2023;6,95;6,95;6,86;6,90;46.192.546,00;6.698.600
USIM5;22/08/2023;6,95;6,98;6,86;6,93;56.626.624,00;8.187.600
USIM5;21/08/2023;6,83;6,88;6,74;6,88;73.308.700,00;10.742.600
USIM5;18/08/2023;6,88;6,89;6,77;6,85;52.654.242,00;7.702.700
USIM5;17/08/2023;6,96;7,00;6,83;6,86;43.851.704,00;6.361.600
USIM5;16/08/2023;6,96;6,98;6,85;6,86;73.821.791,00;10.698.900
USIM5;15/08/2023;6,93;6,94;6,86;6,89;48.074.731,00;6.974.300
USIM5;14/08/2023;6,95;6,96;6,88;6,91;49.791.201,00;7.200.700
USIM5;11/08/2023;7,04;7,04;6,89;6,95;62.526.313,00;9.001.100
USIM5;10/08/2023;7,07;7,07;6,98;7,01;42.817.585,00;6.099.800
USIM5;09/08/2023;7,03;7,07;6,98;7,00;51.608.402,00;7.362.600
USIM5;08/08/2023;7,04;7,11;6,93;7,05;83.671.511,00;11.918.400
USIM5;07/08/2023;7,12;7,12;7,04;7,07;58.040.866,00;8.204.000
USIM5;04/08/2023;7,10;7,19;7,09;7,09;91.870.519,00;12.900.300
USIM5;03/08/2023;7,14;7,22;7,09;7,09;106.010.913,00;14.842.300
USIM5;02/08/2023;7,15;7,22;7,11;7,11;71.560.706,00;10.030.000
USIM5;01/08/2023;7,19;7,24;7,12;7,18;68.227.357,00;9.505.300
USIM5;31/07/2023;7,14;7,28;7,13;7,23;112.688.131,00;15.650.900
USIM5;28/07/2023;7,49;7,49;7,08;7,09;222.067.479,00;31.018.400
USIM5;27/07/2023;7,44;7,53;7,34;7,49;77.464.064,00;10.383.300
USIM5;26/07/2023;7,46;7,54;7,40;7,44;85.889.955,00;11.523.900
USIM5;25/07/2023;7,42;7,62;7,41;7,51;165.123.908,00;21.924.600
USIM5;24/07/2023;7,16;7,40;7,15;7,35;102.282.371,00;14.021.500
USIM5;21/07/2023;7,16;7,20;7,10;7,17;83.185.789,00;11.628.000
USIM5;20/07/2023;7,26;7,27;7,15;7,16;84.040.653,00;11.682.700
USIM5;19/07/2023;7,45;7,45;7,15;7,21;115.875.137,00;16.024.600
USIM5;18/07/2023;7,41;7,47;7,33;7,42;57.180.971,00;7.733.500
USIM5;17/07/2023;7,50;7,50;7,36;7,42;54.231.025,00;7.309.700
USIM5;14/07/2023;7,77;7,81;7,45;7,50;71.308.133,00;9.425.400
USIM5;13/07/2023;7,43;7,72;7,38;7,68;127.453.834,00;16.737.600
USIM5;12/07/2023;7,44;7,47;7,33;7,35;60.752.342,00;8.230.100
USIM5;11/07/2023;7,36;7,43;7,31;7,34;61.040.437,00;8.289.700
