Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
VALE3;14/09/2023;69,30;69,95;69,05;69,82;1.043.694.964,00;15.021.800
VALE3;13/09/2023;67,67;67,78;67,15;67,36;1.037.809.380,00;15.366.600
VALE3;12/09/2023;68,00;68,26;67,44;67,62;956.407.962,00;14.117.200
VALE3;11/09/2023;68,10;68,18;67,54;67,67;1.320.412.913,00;19.453.000
VALE3;08/09/2023;66,70;66,84;66,24;66,71;1.327.347.364,00;19.947.300
VALE3;06/09/2023;69,15;69,59;67,88;68,00;1.940.619.655,00;28.355.500
VALE3;05/09/2023;68,99;69,51;68,58;69,10;1.324.607.189,00;19.159.200
VALE3;04/09/2023;69,28;70,05;68,88;69,40;1.551.959.681,00;22.321.900
VALE3;01/09/2023;66,69;69,00;66,63;68,89;3.875.048.888,00;56.975.800
VALE3;31/08/2023;65,57;66,17;65,08;65,08;2.023.597.633,00;30.898.700
VALE3;30/08/2023;65,21;65,87;64,73;64,98;1.417.606.757,00;21.759.500
VALE3;29/08/2023;63,38;65,03;63,23;64,97;1.834.752.108,00;28.478.100
VALE3;28/08/2023;62,43;63,27;62,27;62,96;888.300.258,00;14.108.100
VALE3;25/08/2023;62,67;62,78;61,90;62,07;705.938.133,00;11.338.400
VALE3;24/08/2023;62,69;62,69;61,83;62,20;1.106.812.781,00;17.785.200
VALE3;23/08/2023;63,25;63,67;63,04;63,04;1.202.691.179,00;18.994.100
VALE3;22/08/2023;62,04;62,86;62,03;62,58;1.930.803.196,00;30.917.300
VALE3;21/08/2023;61,49;61,74;61,02;61,20;1.078.971.137,00;17.603.100
VALE3;18/08/2023;61,20;62,08;61,02;61,22;2.076.543.133,00;33.825.300
VALE3;17/08/2023;62,59;62,81;61,72;61,91;2.457.246.220,00;39.412.400
VALE3;16/08/2023;61,39;61,93;61,00;61,05;1.866.662.432,00;30.418.500
VALE3;15/08/2023;61,95;61,96;61,14;61,29;1.743.143.923,00;28.332.500
VALE3;14/08/2023;62,98;63,04;61,90;61,90;2.542.135.679,00;40.870.700
VALE3;11/08/2023;64,54;64,73;63,61;63,88;2.768.025.827,00;42.194.600
VALE3;10/08/2023;65,15;65,51;64,30;64,42;1.872.519.727,00;28.243.100
VALE3;09/08/2023;65,78;66,22;64,97;65,19;1.463.086.707,00;21.778.100
VALE3;08/08/2023;65,32;66,45;64,44;65,78;2.902.137.553,00;43.337.300
VALE3;07/08/2023;65,97;66,47;65,22;66,21;1.555.299.850,00;22.989.600
VALE3;04/08/2023;65,53;66,63;65,49;65,88;1.552.549.135,00;22.872.300
VALE3;03/08/2023;65,19;66,20;64,83;65,83;2.383.627.636,00;35.383.000
