Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
VAMO3;14/09/2023;11,13;11,28;11,03;11,18;10.987.373,00;982.000
VAMO3;13/09/2023;11,18;11,38;11,07;11,07;93.090.373,00;8.321.900
VAMO3;12/09/2023;10,81;11,17;10,69;11,13;77.957.357,00;7.067.700
VAMO3;11/09/2023;10,75;10,87;10,55;10,75;93.104.692,00;8.704.500
VAMO3;08/09/2023;10,80;10,92;10,52;10,65;109.202.135,00;10.226.800
VAMO3;06/09/2023;11,32;11,33;10,65;10,73;327.511.404,00;29.897.600
VAMO3;05/09/2023;12,14;12,14;11,55;11,55;101.146.922,00;8.634.300
VAMO3;04/09/2023;11,96;12,33;11,95;12,19;56.317.631,00;4.620.400
VAMO3;01/09/2023;11,80;12,04;11,80;11,96;139.033.385,00;11.642.300
VAMO3;31/08/2023;11,98;12,11;11,62;11,71;102.100.184,00;8.709.700
VAMO3;30/08/2023;11,90;11,98;11,76;11,91;44.482.282,00;3.742.200
VAMO3;29/08/2023;11,73;11,90;11,56;11,84;52.340.299,00;4.452.000
VAMO3;28/08/2023;11,70;11,76;11,44;11,60;48.897.241,00;4.225.300
VAMO3;25/08/2023;12,13;12,24;11,59;11,64;76.670.586,00;6.494.500
VAMO3;24/08/2023;12,27;12,43;12,04;12,14;69.816.801,00;5.729.100
VAMO3;23/08/2023;12,10;12,43;12,04;12,23;71.536.400,00;5.825.200
VAMO3;22/08/2023;11,58;12,10;11,52;12,02;67.302.771,00;5.674.600
VAMO3;21/08/2023;11,60;11,70;11,41;11,47;44.946.809,00;3.910.500
VAMO3;18/08/2023;11,40;11,77;11,35;11,60;87.038.494,00;7.499.300
VAMO3;17/08/2023;11,80;11,89;11,43;11,46;75.706.265,00;6.555.900
VAMO3;16/08/2023;11,83;11,85;11,60;11,74;65.754.610,00;5.611.000
VAMO3;15/08/2023;11,84;11,99;11,63;11,76;53.720.646,00;4.544.900
VAMO3;14/08/2023;11,79;11,99;11,62;11,81;36.129.333,00;3.056.700
VAMO3;11/08/2023;11,95;12,19;11,75;11,81;51.534.915,00;4.335.300
VAMO3;10/08/2023;12,06;12,28;11,90;12,02;60.078.549,00;4.966.400
VAMO3;09/08/2023;11,91;12,08;11,72;11,92;64.566.548,00;5.419.400
VAMO3;08/08/2023;11,58;11,98;11,31;11,91;75.549.305,00;6.461.700
VAMO3;07/08/2023;12,20;12,22;11,60;11,66;112.364.098,00;9.589.800
VAMO3;04/08/2023;12,10;12,68;11,98;12,12;206.026.599,00;16.702.700
VAMO3;03/08/2023;12,02;12,26;11,88;12,04;88.900.043,00;7.369.700
VAMO3;02/08/2023;12,06;12,25;11,59;11,77;107.898.419,00;9.077.400
VAMO3;01/08/2023;11,98;12,07;11,76;12,01;70.167.181,00;5.905.000
VAMO3;31/07/2023;11,79;12,00;11,79;11,94;40.476.336,00;3.392.200
VAMO3;28/07/2023;11,70;11,75;11,52;11,71;46.742.191,00;4.018.100
VAMO3;27/07/2023;11,80;11,94;11,62;11,68;81.491.371,00;6.930.800
VAMO3;26/07/2023;11,91;11,93;11,60;11,76;59.760.813,00;5.100.100
VAMO3;25/07/2023;12,00;12,24;11,83;11,91;60.698.165,00;5.052.800
VAMO3;24/07/2023;12,01;12,04;11,77;11,90;50.659.646,00;4.267.900
VAMO3;21/07/2023;11,55;12,07;11,48;11,93;109.513.747,00;9.185.000
VAMO3;20/07/2023;11,39;11,56;11,21;11,53;65.093.569,00;5.703.700
VAMO3;19/07/2023;11,58;11,58;10,99;11,20;123.349.728,00;11.056.000
VAMO3;18/07/2023;11,51;11,62;11,33;11,51;29.564.753,00;2.574.400
VAMO3;17/07/2023;11,35;11,54;11,24;11,48;43.881.449,00;3.843.700
VAMO3;14/07/2023;11,80;11,82;11,33;11,39;61.852.084,00;5.376.000
VAMO3;13/07/2023;11,78;11,96;11,68;11,76;48.816.509,00;4.128.000
VAMO3;12/07/2023;12,00;12,18;11,75;11,77;92.402.419,00;7.753.100
VAMO3;11/07/2023;11,95;12,00;11,42;11,78;95.860.285,00;8.205.500
VAMO3;10/07/2023;11,92;12,08;11,78;11,97;52.893.412,00;4.417.400
VAMO3;07/07/2023;11,90;12,12;11,76;11,90;112.665.290,00;9.421.700
VAMO3;06/07/2023;11,89;11,95;11,53;11,70;73.376.967,00;6.237.300
VAMO3;05/07/2023;11,62;12,18;11,45;11,95;124.220.347,00;10.435.600
VAMO3;04/07/2023;12,24;12,24;11,61;11,69;78.157.738,00;6.628.200
VAMO3;03/07/2023;12,25;12,44;12,06;12,20;57.833.326,00;4.725.300
VAMO3;30/06/2023;12,25;12,58;11,94;12,11;142.206.138,00;11.618.000
VAMO3;29/06/2023;11,40;12,08;11,20;12,00;218.699.179,00;18.688.900
VAMO3;28/06/2023;11,83;11,89;11,36;11,69;243.799.718,00;21.021.800
VAMO3;27/06/2023;11,97;12,37;11,78;11,90;205.813.459,00;17.149.400
VAMO3;26/06/2023;12,00;12,09;11,59;11,85;79.258.820,00;6.730.900
VAMO3;23/06/2023;12,45;12,51;11,34;12,00;216.436.855,00;18.337.100
VAMO3;22/06/2023;12,38;12,38;11,86;12,32;68.606.589,00;5.645.600
VAMO3;21/06/2023;12,36;12,43;11,90;12,38;186.580.761,00;15.388.000
VAMO3;20/06/2023;13,31;13,34;12,49;12,67;175.973.785,00;13.779.300
VAMO3;19/06/2023;13,62;13,62;13,22;13,38;69.865.280,00;5.225.200
VAMO3;16/06/2023;14,57;14,57;13,31;13,61;267.536.313,00;19.454.700
VAMO3;15/06/2023;14,69;14,93;14,58;14,65;66.820.338,00;4.528.900
VAMO3;14/06/2023;14,37;14,77;14,23;14,71;61.014.651,00;4.197.600
VAMO3;13/06/2023;14,68;14,89;14,04;14,30;87.624.335,00;6.055.700
VAMO3;12/06/2023;14,61;14,81;14,52;14,62;38.471.942,00;2.628.400
VAMO3;09/06/2023;14,49;14,86;14,39;14,60;48.669.560,00;3.330.500
VAMO3;07/06/2023;14,32;14,79;14,05;14,28;65.760.282,00;4.571.600
VAMO3;06/06/2023;13,60;14,54;13,57;14,31;115.114.786,00;8.116.900
VAMO3;05/06/2023;13,63;13,73;13,08;13,49;49.775.543,00;3.722.000
VAMO3;02/06/2023;13,58;14,13;13,50;13,62;123.590.697,00;9.018.700
VAMO3;01/06/2023;12,95;13,55;12,82;13,46;90.532.487,00;6.845.300
VAMO3;31/05/2023;12,79;13,09;12,64;12,87;47.344.896,00;3.666.900
VAMO3;30/05/2023;13,32;13,50;12,70;12,80;62.775.563,00;4.850.900
VAMO3;29/05/2023;13,39;13,43;13,08;13,27;22.974.026,00;1.737.700
VAMO3;26/05/2023;13,18;13,59;13,10;13,33;47.921.763,00;3.582.700
VAMO3;25/05/2023;12,76;13,39;12,74;13,10;70.977.165,00;5.442.900
VAMO3;24/05/2023;12,65;12,88;12,47;12,48;33.245.921,00;2.634.100
VAMO3;23/05/2023;12,73;13,10;12,63;12,75;54.628.578,00;4.237.200
VAMO3;22/05/2023;13,05;13,30;12,81;12,88;66.381.206,00;5.076.700
VAMO3;19/05/2023;12,11;13,70;12,00;13,06;183.577.573,00;14.158.400
VAMO3;18/05/2023;11,55;12,09;11,46;12,05;71.484.567,00;6.100.100
VAMO3;17/05/2023;11,40;11,58;11,34;11,50;56.832.536,00;4.955.400
VAMO3;16/05/2023;11,62;11,82;11,26;11,36;26.904.462,00;2.344.300
VAMO3;15/05/2023;11,60;11,66;11,40;11,59;46.308.694,00;3.997.500
VAMO3;12/05/2023;11,81;11,81;11,36;11,60;76.038.830,00;6.577.200
VAMO3;11/05/2023;11,34;12,03;11,19;11,82;142.923.002,00;12.360.700
VAMO3;10/05/2023;11,70;11,80;11,38;11,42;63.512.414,00;5.519.000
VAMO3;09/05/2023;11,35;11,68;11,11;11,63;65.777.417,00;5.699.700
VAMO3;08/05/2023;11,54;11,57;11,14;11,37;62.344.129,00;5.491.300
VAMO3;05/05/2023;10,83;11,45;10,83;11,38;104.474.211,00;9.256.500
VAMO3;04/05/2023;11,58;11,63;10,64;10,76;181.274.771,00;16.568.800
VAMO3;03/05/2023;11,55;11,75;11,27;11,56;80.598.821,00;6.995.300
VAMO3;02/05/2023;12,09;12,16;11,44;11,59;81.573.617,00;7.007.800
VAMO3;28/04/2023;12,37;12,40;11,83;12,20;98.430.421,00;8.154.900
VAMO3;27/04/2023;12,98;13,14;12,06;12,31;110.357.516,00;8.848.500
VAMO3;26/04/2023;12,84;13,12;12,80;12,85;28.362.331,00;2.190.400
VAMO3;25/04/2023;13,16;13,23;12,73;12,88;25.330.687,00;1.966.200
VAMO3;24/04/2023;13,17;13,32;13,03;13,16;23.226.453,00;1.762.400
VAMO3;20/04/2023;12,95;13,25;12,83;13,10;26.865.678,00;2.047.900
VAMO3;19/04/2023;13,05;13,20;12,69;12,91;80.593.349,00;6.249.700
VAMO3;18/04/2023;14,08;14,18;13,19;13,27;52.421.560,00;3.881.700
VAMO3;17/04/2023;14,28;14,35;13,96;14,09;47.949.655,00;3.386.800
VAMO3;14/04/2023;14,18;14,53;13,96;14,30;39.926.881,00;2.779.500
VAMO3;13/04/2023;13,81;14,44;13,67;14,22;63.206.824,00;4.440.900
