Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
VBBR3;14/09/2023;18,97;19,17;18,84;18,96;19.144.967,00;1.008.100
VBBR3;13/09/2023;18,93;19,35;18,80;18,90;204.740.300,00;10.745.700
VBBR3;12/09/2023;18,60;18,99;18,60;18,93;115.991.938,00;6.153.000
VBBR3;11/09/2023;18,30;18,69;17,93;18,55;328.097.027,00;17.904.700
VBBR3;08/09/2023;18,66;18,75;18,12;18,23;222.180.596,00;12.112.300
VBBR3;06/09/2023;18,84;19,00;18,63;18,67;169.853.559,00;9.059.500
VBBR3;05/09/2023;18,76;18,96;18,71;18,80;125.549.143,00;6.666.600
VBBR3;04/09/2023;18,88;19,11;18,77;18,93;116.807.041,00;6.169.400
VBBR3;01/09/2023;18,69;19,42;18,62;18,94;282.450.189,00;14.843.500
VBBR3;31/08/2023;18,88;19,40;18,39;18,46;413.493.409,00;21.939.300
VBBR3;30/08/2023;19,17;19,25;18,90;18,99;90.936.636,00;4.777.100
VBBR3;29/08/2023;18,87;19,09;18,75;19,07;85.830.134,00;4.525.700
VBBR3;28/08/2023;18,50;18,83;18,32;18,69;103.984.858,00;5.596.500
VBBR3;25/08/2023;18,59;18,89;18,37;18,46;134.307.281,00;7.243.300
VBBR3;24/08/2023;18,75;18,86;18,40;18,59;152.915.499,00;8.188.100
VBBR3;23/08/2023;18,85;19,44;18,62;18,71;301.486.335,00;15.892.100
VBBR3;22/08/2023;17,60;18,94;17,60;18,94;373.989.188,00;20.170.600
VBBR3;21/08/2023;17,83;18,15;17,58;17,60;115.463.952,00;6.512.500
VBBR3;18/08/2023;17,70;18,08;17,63;17,83;72.421.157,00;4.051.500
VBBR3;17/08/2023;18,16;18,60;17,70;17,70;225.407.583,00;12.525.600
VBBR3;16/08/2023;17,54;18,45;17,49;18,13;496.368.060,00;27.292.000
VBBR3;15/08/2023;17,00;17,77;16,95;17,62;310.911.338,00;17.842.000
VBBR3;14/08/2023;16,53;16,60;16,23;16,35;110.126.854,00;6.724.900
VBBR3;11/08/2023;16,43;16,98;16,32;16,60;180.279.858,00;10.805.200
VBBR3;10/08/2023;17,00;17,21;16,40;16,48;221.959.794,00;13.302.100
VBBR3;09/08/2023;17,25;17,25;16,81;16,87;146.155.868,00;8.612.100
VBBR3;08/08/2023;16,98;17,47;16,76;17,25;95.193.979,00;5.523.100
VBBR3;07/08/2023;17,15;17,25;17,01;17,16;66.107.204,00;3.854.200
VBBR3;04/08/2023;17,21;17,55;17,03;17,11;90.775.923,00;5.255.900
VBBR3;03/08/2023;17,45;17,67;17,17;17,22;141.861.156,00;8.205.000
VBBR3;02/08/2023;16,95;17,49;16,90;17,24;101.706.466,00;5.897.100
VBBR3;01/08/2023;17,00;17,14;16,85;17,06;74.002.092,00;4.359.600
