Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
VIVA3;14/09/2023;27,75;27,91;27,24;27,56;15.368.913,00;554.300
VIVA3;13/09/2023;27,81;28,32;27,48;27,63;61.749.934,00;2.211.900
VIVA3;12/09/2023;27,54;27,90;27,45;27,66;58.475.576,00;2.111.300
VIVA3;11/09/2023;27,55;27,97;27,01;27,54;26.966.947,00;982.100
VIVA3;08/09/2023;26,97;27,67;26,80;27,44;37.425.312,00;1.366.100
VIVA3;06/09/2023;27,64;28,12;26,87;27,03;48.169.605,00;1.771.000
VIVA3;05/09/2023;28,38;28,50;27,41;27,76;91.769.378,00;3.304.900
VIVA3;04/09/2023;28,19;28,65;28,02;28,65;34.085.752,00;1.198.800
VIVA3;01/09/2023;27,24;28,33;27,24;28,33;89.723.718,00;3.191.100
VIVA3;31/08/2023;28,73;28,97;26,85;27,18;164.216.459,00;5.932.300
VIVA3;30/08/2023;29,69;29,69;28,64;28,75;98.859.640,00;3.417.600
VIVA3;29/08/2023;29,48;29,74;29,05;29,54;77.704.520,00;2.635.000
VIVA3;28/08/2023;29,73;29,73;29,04;29,47;35.621.234,00;1.212.800
VIVA3;25/08/2023;30,38;30,54;29,29;29,64;78.927.561,00;2.664.600
VIVA3;24/08/2023;30,45;30,59;29,93;30,47;49.103.018,00;1.618.700
VIVA3;23/08/2023;29,99;30,49;29,75;30,45;33.083.645,00;1.091.600
VIVA3;22/08/2023;29,52;30,10;29,44;30,02;33.224.854,00;1.116.200
VIVA3;21/08/2023;29,28;29,61;29,13;29,44;38.422.853,00;1.309.800
VIVA3;18/08/2023;28,84;29,52;28,39;29,37;62.751.097,00;2.160.000
VIVA3;17/08/2023;29,75;29,75;28,64;28,95;133.898.050,00;4.623.600
VIVA3;16/08/2023;30,47;30,60;29,52;29,70;66.770.287,00;2.222.200
VIVA3;15/08/2023;30,12;30,25;29,50;29,99;49.138.653,00;1.645.500
VIVA3;14/08/2023;30,51;30,51;29,66;29,88;80.204.757,00;2.684.900
VIVA3;11/08/2023;30,76;31,16;30,38;30,51;43.433.810,00;1.421.300
VIVA3;10/08/2023;31,28;31,28;30,57;30,82;29.977.983,00;972.500
VIVA3;09/08/2023;30,50;31,14;29,30;30,99;386.404.110,00;12.537.400
VIVA3;08/08/2023;29,90;31,83;29,13;30,60;215.993.182,00;7.011.900
VIVA3;07/08/2023;29,90;30,10;29,44;29,94;52.063.629,00;1.747.000
VIVA3;04/08/2023;29,68;30,37;29,68;30,03;41.777.251,00;1.390.600
VIVA3;03/08/2023;30,23;30,64;29,51;29,80;118.945.221,00;3.988.500
VIVA3;02/08/2023;29,78;30,66;29,71;29,85;106.088.421,00;3.523.100
VIVA3;01/08/2023;29,28;29,78;29,09;29,77;53.618.396,00;1.808.900
VIVA3;31/07/2023;29,05;29,56;29,05;29,40;66.331.055,00;2.259.800
VIVA3;28/07/2023;29,30;29,35;28,64;29,00;79.161.593,00;2.727.100
VIVA3;27/07/2023;28,79;29,39;28,68;28,94;85.564.586,00;2.953.100
VIVA3;26/07/2023;29,19;29,39;28,46;28,79;96.369.236,00;3.356.300
VIVA3;25/07/2023;29,23;29,96;29,22;29,37;53.979.496,00;1.826.300
VIVA3;24/07/2023;29,18;29,33;28,58;29,23;24.644.350,00;846.500
VIVA3;21/07/2023;28,82;29,38;28,60;29,17;37.689.456,00;1.292.300
