Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
VIVT3;14/09/2023;42,81;42,98;42,70;42,85;6.145.638,00;143.500
VIVT3;13/09/2023;42,78;43,00;42,61;42,69;69.171.838,00;1.617.700
VIVT3;12/09/2023;42,47;42,94;42,36;42,77;58.929.860,00;1.378.900
VIVT3;11/09/2023;42,07;42,59;41,58;42,49;97.684.316,00;2.315.300
VIVT3;08/09/2023;41,79;42,27;41,64;41,86;105.522.494,00;2.511.900
VIVT3;06/09/2023;41,42;42,57;41,42;41,73;116.213.458,00;2.767.400
VIVT3;05/09/2023;41,51;42,12;41,11;41,46;107.078.715,00;2.565.700
VIVT3;04/09/2023;41,68;41,85;41,24;41,62;41.384.457,00;994.500
VIVT3;01/09/2023;41,48;42,05;41,16;41,68;130.922.742,00;3.146.500
VIVT3;31/08/2023;42,10;42,30;41,21;41,21;160.992.771,00;3.874.500
VIVT3;30/08/2023;42,80;42,86;41,88;41,88;55.262.988,00;1.310.000
VIVT3;29/08/2023;41,93;42,68;41,80;42,62;68.138.313,00;1.599.700
VIVT3;28/08/2023;41,22;41,91;41,22;41,91;60.088.293,00;1.437.700
VIVT3;25/08/2023;41,61;41,85;40,77;41,26;126.946.320,00;3.077.900
VIVT3;24/08/2023;41,80;41,89;41,46;41,54;54.934.994,00;1.315.100
VIVT3;23/08/2023;41,89;42,10;41,56;41,78;90.831.840,00;2.165.300
VIVT3;22/08/2023;42,00;42,17;41,66;41,89;92.715.054,00;2.204.900
VIVT3;21/08/2023;42,43;42,55;41,74;41,89;77.688.308,00;1.846.100
VIVT3;18/08/2023;42,06;42,87;41,78;42,49;102.626.153,00;2.403.700
VIVT3;17/08/2023;41,81;42,48;41,58;42,14;103.412.478,00;2.441.600
VIVT3;16/08/2023;42,01;42,29;41,68;41,79;100.049.844,00;2.380.400
VIVT3;15/08/2023;42,14;42,48;41,94;41,98;57.204.785,00;1.351.000
VIVT3;14/08/2023;42,39;42,52;41,90;42,34;57.646.847,00;1.358.700
VIVT3;11/08/2023;42,50;42,91;42,16;42,37;68.925.677,00;1.617.300
VIVT3;10/08/2023;42,21;42,74;42,17;42,45;59.875.567,00;1.407.400
VIVT3;09/08/2023;42,24;42,62;41,69;42,17;125.351.359,00;2.957.000
VIVT3;08/08/2023;42,18;42,79;41,83;42,55;64.603.013,00;1.515.100
VIVT3;07/08/2023;42,49;42,90;42,26;42,32;87.968.213,00;2.063.300
VIVT3;04/08/2023;42,29;43,01;42,06;42,52;62.386.544,00;1.459.800
VIVT3;03/08/2023;42,56;42,60;41,90;42,29;103.316.306,00;2.433.600
VIVT3;02/08/2023;42,14;42,81;42,14;42,45;62.526.844,00;1.464.100
VIVT3;01/08/2023;41,65;42,57;41,51;42,26;85.911.088,00;2.026.200
VIVT3;31/07/2023;41,93;42,24;41,53;41,59;102.733.257,00;2.428.100
VIVT3;28/07/2023;42,08;42,12;41,59;41,84;59.394.735,00;1.399.900
VIVT3;27/07/2023;43,09;43,30;41,64;41,68;90.154.315,00;2.124.700
VIVT3;26/07/2023;42,04;43,15;41,49;42,96;209.676.123,00;4.881.300
VIVT3;25/07/2023;40,85;41,41;40,37;40,86;91.254.226,00;2.211.100
VIVT3;24/07/2023;40,38;41,04;40,09;40,71;117.805.011,00;2.860.800
VIVT3;21/07/2023;40,33;41,17;40,21;40,59;167.604.580,00;4.056.700
VIVT3;20/07/2023;40,17;40,34;39,74;40,19;80.663.533,00;1.989.600
VIVT3;19/07/2023;39,79;39,95;39,42;39,79;53.610.314,00;1.331.900
VIVT3;18/07/2023;40,23;40,52;39,36;39,74;114.080.141,00;2.825.800
VIVT3;17/07/2023;39,98;40,27;39,87;40,10;51.620.190,00;1.273.100
VIVT3;14/07/2023;40,59;40,73;39,85;39,98;84.524.183,00;2.083.000
VIVT3;13/07/2023;41,08;41,14;40,64;40,64;74.280.603,00;1.794.700
VIVT3;12/07/2023;40,75;41,03;40,37;40,78;84.249.765,00;2.039.600
VIVT3;11/07/2023;41,23;41,30;40,61;40,67;77.958.229,00;1.887.800
VIVT3;10/07/2023;41,55;41,68;41,19;41,41;50.422.213,00;1.202.700
VIVT3;07/07/2023;41,89;42,05;41,52;41,59;62.896.834,00;1.486.200
VIVT3;06/07/2023;42,29;42,50;41,69;41,87;98.574.984,00;2.322.100
VIVT3;05/07/2023;42,32;42,61;41,98;42,41;99.174.881,00;2.310.000
VIVT3;04/07/2023;42,45;42,60;42,32;42,32;32.081.391,00;746.800
VIVT3;03/07/2023;42,75;43,12;42,29;42,40;49.674.946,00;1.151.500
VIVT3;30/06/2023;42,85;43,29;42,72;42,73;75.324.678,00;1.731.100
VIVT3;29/06/2023;42,46;42,79;42,15;42,56;73.838.078,00;1.715.000
VIVT3;28/06/2023;42,06;42,45;41,84;42,22;75.535.766,00;1.765.200
VIVT3;27/06/2023;41,92;42,72;41,72;41,82;103.003.793,00;2.423.900
