Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WEGE3;14/09/2023;37,05;37,22;36,55;36,60;25.946.269,00;705.700
WEGE3;13/09/2023;35,96;37,72;35,86;36,93;527.875.072,00;14.248.300
WEGE3;12/09/2023;35,28;35,65;35,08;35,65;286.035.674,00;8.084.700
WEGE3;11/09/2023;35,57;35,68;34,81;35,28;244.904.235,00;6.944.500
WEGE3;08/09/2023;35,55;35,63;35,11;35,40;154.489.588,00;4.368.600
WEGE3;06/09/2023;35,94;36,31;35,55;35,55;167.934.410,00;4.692.100
WEGE3;05/09/2023;36,00;36,34;35,74;35,91;155.466.365,00;4.320.900
WEGE3;04/09/2023;36,10;36,13;35,58;36,13;143.134.590,00;3.984.700
WEGE3;01/09/2023;35,76;36,21;35,57;35,95;372.282.024,00;10.363.900
WEGE3;31/08/2023;36,21;36,45;35,79;35,88;271.006.600,00;7.529.300
WEGE3;30/08/2023;36,65;36,71;36,11;36,30;159.635.389,00;4.387.300
WEGE3;29/08/2023;36,76;36,96;36,34;36,49;139.103.957,00;3.804.300
WEGE3;28/08/2023;36,52;36,68;36,15;36,62;162.167.308,00;4.453.700
WEGE3;25/08/2023;35,98;36,70;35,85;36,36;226.609.056,00;6.236.800
WEGE3;24/08/2023;36,45;36,45;35,64;35,98;277.468.610,00;7.726.000
WEGE3;23/08/2023;36,51;36,68;35,95;36,45;240.410.506,00;6.635.700
WEGE3;22/08/2023;36,04;36,55;35,86;36,47;267.303.947,00;7.379.600
WEGE3;21/08/2023;36,25;36,42;35,85;36,04;175.215.878,00;4.858.900
WEGE3;18/08/2023;36,74;36,74;35,90;36,26;370.865.387,00;10.220.100
WEGE3;17/08/2023;37,99;37,99;36,52;36,91;311.832.603,00;8.410.300
WEGE3;16/08/2023;39,32;39,32;37,44;37,61;466.258.371,00;12.258.200
WEGE3;15/08/2023;39,22;39,78;39,16;39,35;152.225.200,00;3.860.800
WEGE3;14/08/2023;39,88;39,95;39,02;39,31;258.596.805,00;6.580.800
WEGE3;11/08/2023;40,27;40,33;39,50;39,80;248.229.567,00;6.225.000
WEGE3;10/08/2023;40,78;41,16;39,87;40,24;255.081.014,00;6.317.300
WEGE3;09/08/2023;40,49;41,07;40,37;40,78;180.531.538,00;4.435.600
WEGE3;08/08/2023;40,64;40,93;40,39;40,66;282.917.303,00;6.973.800
WEGE3;07/08/2023;40,50;41,08;40,41;40,93;169.639.745,00;4.153.500
WEGE3;04/08/2023;40,43;41,45;40,32;40,85;246.607.289,00;6.018.000
WEGE3;03/08/2023;40,05;40,73;39,96;40,43;201.574.777,00;4.988.500
WEGE3;02/08/2023;39,70;40,07;39,40;40,03;176.971.993,00;4.441.600
WEGE3;01/08/2023;39,92;40,14;39,59;39,86;201.674.894,00;5.063.400
WEGE3;31/07/2023;40,29;40,29;39,81;39,92;285.081.250,00;7.131.800
WEGE3;28/07/2023;40,90;41,43;40,19;40,32;237.336.989,00;5.866.200
WEGE3;27/07/2023;40,48;41,04;40,07;40,35;342.020.256,00;8.408.900
WEGE3;26/07/2023;40,43;40,86;40,01;40,48;321.706.800,00;7.935.500
WEGE3;25/07/2023;41,68;42,08;40,48;40,50;404.712.736,00;9.896.800
WEGE3;24/07/2023;39,12;41,68;39,10;41,54;1.171.459.579,00;28.817.300
WEGE3;21/07/2023;38,05;39,00;37,78;38,74;560.527.041,00;14.461.200
WEGE3;20/07/2023;37,91;38,24;37,20;38,02;848.014.193,00;22.345.900
WEGE3;19/07/2023;36,86;37,95;35,60;37,77;1.551.715.228,00;42.024.300
WEGE3;18/07/2023;35,22;36,31;35,20;35,81;376.786.118,00;10.479.300
WEGE3;17/07/2023;35,82;35,84;34,92;35,17;425.924.267,00;12.041.800
WEGE3;14/07/2023;35,99;36,22;35,73;35,87;159.066.592,00;4.411.400
WEGE3;13/07/2023;35,88;36,43;35,85;35,93;110.259.067,00;3.043.900
WEGE3;12/07/2023;35,88;36,08;35,70;35,93;174.050.226,00;4.827.800
WEGE3;11/07/2023;36,15;36,21;35,39;35,82;248.411.967,00;6.930.900
WEGE3;10/07/2023;36,82;36,87;36,07;36,15;165.260.055,00;4.530.900
WEGE3;07/07/2023;36,68;37,55;36,61;36,86;156.368.018,00;4.201.400
WEGE3;06/07/2023;37,36;37,44;36,52;36,75;214.208.572,00;5.779.300
WEGE3;05/07/2023;37,01;37,58;36,94;37,36;174.587.156,00;4.653.900
WEGE3;04/07/2023;37,56;37,65;37,05;37,05;99.738.671,00;2.669.000
WEGE3;03/07/2023;37,73;37,81;37,20;37,55;162.721.820,00;4.328.700
WEGE3;30/06/2023;36,94;37,90;36,62;37,61;300.558.706,00;7.989.300
WEGE3;29/06/2023;36,59;36,86;36,29;36,70;329.832.621,00;8.950.800
WEGE3;28/06/2023;36,50;36,64;36,14;36,44;227.900.347,00;6.221.400
WEGE3;27/06/2023;36,33;36,51;35,84;36,36;222.872.944,00;6.125.800
WEGE3;26/06/2023;36,51;36,53;35,69;36,26;237.363.558,00;6.540.800
WEGE3;23/06/2023;36,30;36,41;35,96;36,41;188.898.873,00;5.184.500
WEGE3;22/06/2023;36,08;36,37;35,92;36,21;168.346.125,00;4.629.600
WEGE3;21/06/2023;36,84;36,94;36,14;36,26;434.070.513,00;11.876.900
WEGE3;20/06/2023;37,47;37,47;36,69;36,76;251.151.276,00;6.766.200
WEGE3;19/06/2023;37,68;38,00;37,38;37,48;129.299.254,00;3.423.400
WEGE3;16/06/2023;37,52;38,11;37,51;37,66;409.987.037,00;10.803.900
WEGE3;15/06/2023;37,72;37,80;37,37;37,65;232.566.345,00;6.146.000
WEGE3;14/06/2023;37,38;37,68;37,22;37,68;433.318.186,00;11.506.200
WEGE3;13/06/2023;37,71;37,74;37,04;37,16;380.146.596,00;10.173.400
WEGE3;12/06/2023;37,78;37,83;37,42;37,56;294.449.205,00;7.798.600
WEGE3;09/06/2023;38,07;38,60;37,54;37,61;326.474.171,00;8.594.000
WEGE3;07/06/2023;38,19;38,25;37,74;37,96;275.575.465,00;7.222.500
WEGE3;06/06/2023;37,69;38,14;37,64;38,01;262.262.743,00;6.882.000
WEGE3;05/06/2023;37,59;37,93;37,25;37,44;184.065.803,00;4.877.200
WEGE3;02/06/2023;37,09;37,71;36,74;37,48;373.551.496,00;9.973.100
WEGE3;01/06/2023;37,64;37,81;37,00;37,00;387.742.039,00;10.334.000
WEGE3;31/05/2023;38,02;38,15;37,42;37,42;470.276.257,00;12.460.900
WEGE3;30/05/2023;38,98;39,06;38,04;38,15;243.865.572,00;6.336.900
WEGE3;29/05/2023;39,31;39,34;38,53;38,68;133.945.716,00;3.435.200
WEGE3;26/05/2023;39,18;39,43;38,85;39,31;256.556.544,00;6.507.700
WEGE3;25/05/2023;40,06;40,08;38,65;38,84;303.416.563,00;7.730.400
WEGE3;24/05/2023;39,90;40,13;39,55;39,62;122.098.930,00;3.057.200
WEGE3;23/05/2023;40,10;40,66;39,82;40,02;223.651.887,00;5.537.800
WEGE3;22/05/2023;39,70;40,67;39,65;40,15;258.084.026,00;6.394.700
WEGE3;19/05/2023;39,27;40,27;38,89;39,93;454.734.357,00;11.401.700
WEGE3;18/05/2023;39,25;39,38;38,88;39,10;211.528.760,00;5.381.900
WEGE3;17/05/2023;39,69;39,86;39,17;39,26;153.482.610,00;3.875.800
WEGE3;16/05/2023;39,29;39,87;39,21;39,50;168.533.822,00;4.249.200
WEGE3;15/05/2023;38,80;39,57;38,77;39,44;220.686.933,00;5.576.000
WEGE3;12/05/2023;38,90;39,43;38,60;38,71;213.465.636,00;5.468.900
WEGE3;11/05/2023;38,98;39,30;38,67;39,12;263.161.284,00;6.699.800
WEGE3;10/05/2023;39,60;39,82;39,14;39,15;171.061.228,00;4.326.100
WEGE3;09/05/2023;39,04;39,72;38,99;39,66;143.521.172,00;3.617.600
WEGE3;08/05/2023;39,23;39,35;38,62;39,00;182.582.894,00;4.654.200
WEGE3;05/05/2023;38,96;39,33;38,60;39,02;305.840.098,00;7.822.200
WEGE3;04/05/2023;39,80;40,00;38,97;39,10;210.865.224,00;5.334.600
WEGE3;03/05/2023;40,45;40,78;39,67;39,70;219.263.566,00;5.447.100
WEGE3;02/05/2023;40,47;41,36;40,15;40,61;234.373.920,00;5.753.900
