Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
YDUQ3;14/09/2023;21,14;21,26;20,88;20,98;16.491.734,00;783.500
YDUQ3;13/09/2023;20,56;21,45;20,45;21,09;133.290.557,00;6.324.600
YDUQ3;12/09/2023;20,80;21,26;20,47;20,62;125.418.898,00;6.010.000
YDUQ3;11/09/2023;20,90;21,03;20,30;20,88;79.473.033,00;3.846.800
YDUQ3;08/09/2023;20,17;20,95;19,98;20,84;82.410.122,00;3.981.300
YDUQ3;06/09/2023;19,86;20,89;19,78;20,33;142.541.259,00;6.995.000
YDUQ3;05/09/2023;20,30;20,42;19,64;19,87;85.425.214,00;4.271.500
YDUQ3;04/09/2023;21,03;21,39;20,52;20,57;56.343.392,00;2.696.800
YDUQ3;01/09/2023;20,50;21,43;20,50;21,11;76.227.606,00;3.625.400
YDUQ3;31/08/2023;20,95;20,95;20,24;20,37;79.742.253,00;3.881.600
YDUQ3;30/08/2023;20,79;21,09;20,47;20,82;84.954.072,00;4.087.400
YDUQ3;29/08/2023;21,01;21,11;19,97;20,65;104.536.762,00;5.116.500
YDUQ3;28/08/2023;21,35;21,51;20,57;20,86;109.763.854,00;5.260.900
YDUQ3;25/08/2023;22,00;22,05;20,70;21,04;96.381.024,00;4.564.200
YDUQ3;24/08/2023;22,31;22,66;21,91;21,95;79.405.746,00;3.571.000
YDUQ3;23/08/2023;21,96;22,35;21,76;22,25;96.871.295,00;4.376.100
YDUQ3;22/08/2023;21,49;21,97;21,41;21,97;154.445.868,00;7.132.900
YDUQ3;21/08/2023;21,88;22,08;21,20;21,32;75.791.163,00;3.524.100
YDUQ3;18/08/2023;21,90;22,77;21,49;22,18;107.749.050,00;4.793.400
YDUQ3;17/08/2023;22,50;22,50;20,96;21,98;184.620.510,00;8.423.300
YDUQ3;16/08/2023;21,74;22,61;21,61;22,22;225.996.688,00;10.068.500
YDUQ3;15/08/2023;20,37;21,17;19,68;21,15;183.488.671,00;8.855.900
YDUQ3;14/08/2023;23,71;23,78;20,28;20,28;418.288.444,00;19.501.600
YDUQ3;11/08/2023;22,22;24,32;22,22;23,71;286.780.704,00;11.952.500
YDUQ3;10/08/2023;21,74;22,26;21,51;21,92;92.723.278,00;4.170.900
